id,topicId,slot,reviewStatus,decision,candidatePath,srcAfterApproval,altZhHans,captionZhHans,ragCardIds,reviewerNotes
pep-high-s4-sets-logic-concept,pep-high-s4-sets-logic,concept,approved,approved,coordination/content-qa/mainland-pep-high-illustrations-v1/candidates/pep-high-s4-sets-logic/concept.png,/lesson-illustrations/mainland-pep-high/pep-high-s4-sets-logic/concept.png,两个半透明集合区域在全集框中相交，展示元素归属、交集、并集和边界意识。,先确定全集，再比较满足不同条件的区域。,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,Owner approved for production 2026-05-27
pep-high-s4-sets-logic-worked-example,pep-high-s4-sets-logic,worked-example,approved,approved,coordination/content-qa/mainland-pep-high-illustrations-v1/candidates/pep-high-s4-sets-logic/worked-example.png,/lesson-illustrations/mainland-pep-high/pep-high-s4-sets-logic/worked-example.png,集合运算工作区突出偶数集合与大于某阈值集合的重叠部分，不使用教材原文。,可视化解法先找共同区域，再扩展到合并区域。,pep-high-sets-logic,Owner approved for production 2026-05-27
pep-high-s4-quadratic-inequalities-concept,pep-high-s4-quadratic-inequalities,concept,approved,approved,coordination/content-qa/mainland-pep-high-illustrations-v1/candidates/pep-high-s4-quadratic-inequalities/concept.png,/lesson-illustrations/mainland-pep-high/pep-high-s4-quadratic-inequalities/concept.png,一条抛物线穿过横轴，并用区间阴影联系根、符号与不等式解集。,二次不等式要先用根把数轴分成符号区间。,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,Owner approved for production 2026-05-27
pep-high-s4-quadratic-inequalities-worked-example,pep-high-s4-quadratic-inequalities,worked-example,approved,approved,coordination/content-qa/mainland-pep-high-illustrations-v1/candidates/pep-high-s4-quadratic-inequalities/worked-example.png,/lesson-illustrations/mainland-pep-high/pep-high-s4-quadratic-inequalities/worked-example.png,例题图把抛物线与符号表并列，帮助目视检查所选解区间。,写最终解集前，先用图像检查区间选择。,pep-high-quadratic-inequalities,Owner approved for production 2026-05-27
pep-high-s4-function-properties-concept,pep-high-s4-function-properties,concept,approved,approved,coordination/content-qa/mainland-pep-high-illustrations-v1/candidates/pep-high-s4-function-properties/concept.png,/lesson-illustrations/mainland-pep-high/pep-high-s4-function-properties/concept.png,函数机器把每个输入对应到一个输出，旁边曲线展示定义域、值域、单调性和对称线索。,函数先是每个允许输入对应唯一输出的规则，再由图像观察性质。,pep-high-function-concepts-properties|pep-high-function-zero-modeling,Owner approved for production 2026-05-27
pep-high-s4-function-properties-worked-example,pep-high-s4-function-properties,worked-example,approved,approved,coordination/content-qa/mainland-pep-high-illustrations-v1/candidates/pep-high-s4-function-properties/worked-example.png,/lesson-illustrations/mainland-pep-high/pep-high-s4-function-properties/worked-example.png,读图工作区突出有效输入范围、输出高度和单调区间。,先读定义域，再分区间描述函数值怎样变化。,pep-high-function-concepts-properties,Owner approved for production 2026-05-27
pep-high-s4-exp-log-concept,pep-high-s4-exp-log,concept,approved,approved,coordination/content-qa/mainland-pep-high-illustrations-v1/candidates/pep-high-s4-exp-log/concept.png,/lesson-illustrations/mainland-pep-high/pep-high-s4-exp-log/concept.png,指数增长和对数增长曲线围绕一条对角镜像线呈现互逆关系。,比较指数与对数函数，要同时看增长形状和互逆结构。,pep-high-exponential-logarithmic-functions,Owner approved for production 2026-05-27
pep-high-s4-exp-log-worked-example,pep-high-s4-exp-log,worked-example,approved,approved,coordination/content-qa/mainland-pep-high-illustrations-v1/candidates/pep-high-s4-exp-log/worked-example.png,/lesson-illustrations/mainland-pep-high/pep-high-s4-exp-log/worked-example.png,转换工作区用彩色箭头连接指数曲线、对数曲线和对应点。,指数式与对数式转换，本质是从两个视角看同一关系。,pep-high-exponential-logarithmic-functions,Owner approved for production 2026-05-27
pep-high-s4-trigonometry-concept,pep-high-s4-trigonometry,concept,approved,approved,coordination/content-qa/mainland-pep-high-illustrations-v1/candidates/pep-high-s4-trigonometry/concept.png,/lesson-illustrations/mainland-pep-high/pep-high-s4-trigonometry/concept.png,单位圆把旋转角运动连接到波形图，展示符号、周期和图像特征。,单位圆能解释三角函数图像为何按规律重复并呈现不同符号。,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,Owner approved for production 2026-05-27
pep-high-s4-trigonometry-worked-example,pep-high-s4-trigonometry,worked-example,approved,approved,coordination/content-qa/mainland-pep-high-illustrations-v1/candidates/pep-high-s4-trigonometry/worked-example.png,/lesson-illustrations/mainland-pep-high/pep-high-s4-trigonometry/worked-example.png,三角例题图用单位圆角度和高亮波形区段检查符号与周期解。,先用单位圆判断符号和参考角，再用波形检查周期。,pep-high-trigonometric-functions|pep-high-sine-cosine-theorems,Owner approved for production 2026-05-27
