questionId,grade,batch,type,topic,topicId,storedAnswer,acceptedAnswers,independentAnswer,solvableStatus,answerMatchStatus,qaStatus,severity,sourceStatus,notes,recommendedAction
pep-primary-p1-u-mc-001,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-002,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,17,17,17,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-003,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,10,10,10,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-004,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,10,10,10,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-005,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,9,9,9,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-006,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,8,8,8,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-007,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,7,7,7,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-008,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,6,6,6,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-009,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,5,5,5,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-010,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,4,4,4,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-011,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-012,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,6,6,6,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-013,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,1,1,1,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-014,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,3,3,3,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-015,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,5,5,5,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-016,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,7,7,7,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-017,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,9,9,9,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-018,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,11,11,11,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-019,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,13,13,13,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
pep-primary-p1-u-mc-020,P1,primary-rag-v1,multiple-choice,20以内数感,pep-primary-p1-upper-number-sense,15,15,15,pass,pass,pass,none,pass,OK,No blocking action; include in grade/batch/type pass-sample review before external quality claims.
