"clusterId","grade","semester","unitTitle","type","conceptIds","promptPattern","count","exampleQuestionIds","recommendedAction"
"gap-cluster-028","P1","upper","5以内数的认识和加减法","multiple-choice","within-5-numbers | early-addition-subtraction | p1-number-sense | 5以内加减法","树上有#只小鸟,又飞来了#只。现在树上一共有几只小鸟?","2","pep-primary-p1-upper-001 | pep-primary-p1-upper-041","manual S18 review"
"gap-cluster-170","P3","upper","长方形和正方形","multiple-choice","rectangle-square | perimeter | side-length-reasoning | 长方形","一个长方形的长是#厘米,宽是#厘米。下面哪个说法是正确的?","2","pep-primary-p3-upper-013 | pep-primary-p3-upper-043","manual S18 review"
"gap-cluster-296","P5","lower","分数的意义和性质","multiple-choice","fraction-meaning-operations | equivalent-fractions | simplifying-fractions | common-denominator","下面哪个分数与 #/# 相等?","2","pep-primary-p5-lower-007 | pep-primary-p5-lower-037","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-332","P5","upper","易错提优","short-answer","p5-upper-integrated-review | decimal-operations | simple-equations | polygon-area","小马虎在计算一道小数除法时,把被除数 # 错看成了 #,得到的商比正确的商多 #。正确的商是多少?","2","pep-primary-p5-upper-015 | pep-primary-p5-upper-030","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-384","P6","lower","负数","multiple-choice","negative-numbers | number-line | percent | discount-rate-interest","某天,甲地的气温是#℃,乙地的气温是#℃。下列说法正确的是( )。","2","pep-primary-p6-lower-025 | pep-primary-p6-lower-043","manual S18 review"
"gap-cluster-001","P1","lower","分类观察","short-answer","plane-shapes | classification | shape-composition | 平面图形","老师给小朋友分图形卡片,有正方形、三角形、圆形三种。小明说:“我按形状分类,正方形有#张,三角形有#张,圆形有#张。”小红说:“我按颜色分类,红色有#张,蓝色有#张,黄色有#张。”请问图形卡片一共有多少张?","1","pep-primary-p1-lower-006","manual S18 review"
"gap-cluster-002","P1","lower","情境应用","short-answer","renminbi | classification | data-organization | simple-application","妈妈去超市买了#个苹果,每个苹果#元,又买了一盒#元的牛奶。妈妈一共花了多少钱?请写出算式和答案。","1","pep-primary-p1-lower-009","manual S18 review or add a narrow story-problem solver after sampling"
"gap-cluster-003","P1","lower","图形拼组","fill-in","plane-shapes | classification | shape-composition | 平面图形","小芳用#个完全一样的正方形纸片拼图形。请写出一种一定能拼成长方形的拼法。","1","pep-primary-p1-lower-011","manual S18 review unless prompt is fully textual and unambiguous"
"gap-cluster-004","P1","lower","一年级下册综合复习","short-answer","within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法","学校图书角原来有#本故事书,同学们借走一些后还剩#本。借走了多少本?请列式并计算。","1","pep-primary-p1-lower-015","manual S18 review"
"gap-cluster-005","P1","lower","认识平面图形","multiple-choice","plane-shapes | classification | shape-composition | 平面图形","下面哪个图形不是用#个同样的小正方形拼成的?","1","pep-primary-p1-lower-016","manual S18 review"
"gap-cluster-006","P1","lower","20以内退位减法","fill-in","within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法","计算##时,先把#分成#和#,先算##=#,再算#+#=#。这种方法是______。","1","pep-primary-p1-lower-017","manual S18 review"
"gap-cluster-007","P1","lower","分类观察","short-answer","plane-shapes | classification | shape-composition | 平面图形","桌面上有下面这些图形:一个红色正方形,一个蓝色正方形,一个红色三角形,一个蓝色三角形,一个红色圆形。想一想,按颜色分类,红色图形有几个?按形状分类,正方形有几个?","1","pep-primary-p1-lower-021","manual S18 review"
"gap-cluster-008","P1","lower","破十法","multiple-choice","within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法","计算 # - # 时,下面哪种方法正确使用了“破十法”?","1","pep-primary-p1-lower-022","manual S18 review"
"gap-cluster-009","P1","lower","图形拼组","fill-in","plane-shapes | classification | shape-composition | 平面图形","用两个完全一样的三角形可以拼成一个什么图形?","1","pep-primary-p1-lower-026","manual S18 review unless prompt is fully textual and unambiguous"
"gap-cluster-010","P1","lower","比较大小","multiple-choice","within-100-numbers | place-value-tens-ones | number-order | 100以内数认识","下面哪组数字是按从大到小的顺序排列的?","1","pep-primary-p1-lower-028","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-011","P1","lower","分类与整理","fill-in","renminbi | classification | data-organization | simple-application","下表是一(#)班同学最喜欢的水果情况: 苹果:#人,香蕉:#人,草莓:#人,西瓜:#人。 最喜欢草莓的人数比最喜欢苹果的多几人?","1","pep-primary-p1-lower-029","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-012","P1","lower","一年级下册综合复习","short-answer","within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法","一(#)班有#人,一(#)班有#人。两个班一共有多少人?一(#)班比一(#)班多多少人?","1","pep-primary-p1-lower-030","extend fraction/percent/ratio solver for explicit numeric stems; manual review for reasoning wording"
"gap-cluster-013","P1","lower","认识平面图形","multiple-choice","plane-shapes | classification | shape-composition | 平面图形","小丽用彩纸拼了一个图案:她先放了一个红色的圆,然后在圆的右边放了一个蓝色的正方形,最后在正方形下面放了一个黄色的三角形。请问这个图案中一共有几种不同的平面图形?","1","pep-primary-p1-lower-031","manual S18 review"
