id,topicId,slot,reviewStatus,decision,candidatePath,srcAfterApproval,altZhHans,captionZhHans,ragCardIds,reviewerNotes
hjb-junior-s1-upper-polynomial-add-subtract-concept,hjb-junior-s1-upper-polynomial-add-subtract,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-upper-polynomial-add-subtract/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-upper-polynomial-add-subtract/concept.png,代数块和同色项组展示同类项合并、括号展开和符号处理。,整式加减要先归类同类项，并始终追踪符号。,hjb-junior-s1-upper-polynomial-add-subtract,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-upper-polynomial-add-subtract-worked-example,hjb-junior-s1-upper-polynomial-add-subtract,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-upper-polynomial-add-subtract/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-upper-polynomial-add-subtract/worked-example.png,分步代数块工作区把相同项归组，并用符号检查路径完成化简。,先收集相同结构，再检查每个符号，最后写出化简结果。,hjb-junior-s1-upper-polynomial-add-subtract,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-upper-polynomial-multiply-divide-concept,hjb-junior-s1-upper-polynomial-multiply-divide,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-upper-polynomial-multiply-divide/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-upper-polynomial-multiply-divide/concept.png,幂运算块、单项式块和面积模型矩形联系整式乘除。,看清结构，才能选择合适的幂运算规则或乘积模型。,hjb-junior-s1-upper-polynomial-multiply-divide,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-upper-polynomial-multiply-divide-worked-example,hjb-junior-s1-upper-polynomial-multiply-divide,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-upper-polynomial-multiply-divide/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-upper-polynomial-multiply-divide/worked-example.png,面积模型展开为彩色小块，再沿除法路径还原为因子块。,用矩形模型检查乘法，再反向理解除法。,hjb-junior-s1-upper-polynomial-multiply-divide,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-upper-factorization-concept,hjb-junior-s1-upper-factorization,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-upper-factorization/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-upper-factorization/concept.png,整式块被重组成因式组，并突出公因式条和公式结构。,因式分解就是在整式中找出隐藏的乘积结构。,hjb-junior-s1-upper-factorization,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-upper-factorization-worked-example,hjb-junior-s1-upper-factorization,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-upper-factorization/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-upper-factorization/worked-example.png,因式分解板先提出公共部分，再折叠剩余块，并用展开作检查。,先完整提出公因式，再乘回去检查。,hjb-junior-s1-upper-factorization,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-upper-algebraic-fractions-concept,hjb-junior-s1-upper-algebraic-fractions,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-upper-algebraic-fractions/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-upper-algebraic-fractions/concept.png,分层分式卡展示分子、分母、取值限制和等价变形。,分式变形时，分母取值限制必须一直保留。,hjb-junior-s1-upper-algebraic-fractions,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-upper-algebraic-fractions-worked-example,hjb-junior-s1-upper-algebraic-fractions,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-upper-algebraic-fractions/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-upper-algebraic-fractions/worked-example.png,化简板把分子分母因子配对，同时保留不可取值提示。,约去的是因子，不是项；原来的限制条件要保留。,hjb-junior-s1-upper-algebraic-fractions,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-upper-figure-transformations-concept,hjb-junior-s1-upper-figure-transformations,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-upper-figure-transformations/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-upper-figure-transformations/concept.png,图形经过平移、旋转、翻折和对称运动，对应点留下彩色轨迹。,图形运动改变位置或方向，但关键形状特征保持不变。,hjb-junior-s1-upper-figure-transformations,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-upper-figure-transformations-worked-example,hjb-junior-s1-upper-figure-transformations,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-upper-figure-transformations/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-upper-figure-transformations/worked-example.png,网格工作区用顶点虚线轨迹和重叠图检查平移、旋转与翻折。,先匹配对应点，再检查大小、方向和朝向。,hjb-junior-s1-upper-figure-transformations,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-lower-linear-inequalities-concept,hjb-junior-s1-lower-linear-inequalities,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-lower-linear-inequalities/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-lower-linear-inequalities/concept.png,数轴、边界点、解集射线和天平面板展示不等式解集。,不等式的解表示一组数，而不只是一个答案。,hjb-junior-s1-lower-linear-inequalities,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-lower-linear-inequalities-worked-example,hjb-junior-s1-lower-linear-inequalities,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-lower-linear-inequalities/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-lower-linear-inequalities/worked-example.png,解题路径展示两边同变、方向翻转线索和最终数轴检查。,两边变形要同步，遇到需要翻转方向的步骤要特别检查。,hjb-junior-s1-lower-linear-inequalities,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-lower-intersecting-parallel-lines-concept,hjb-junior-s1-lower-intersecting-parallel-lines,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-lower-intersecting-parallel-lines/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-lower-intersecting-parallel-lines/concept.png,相交线和平行线突出角对、垂直线索和匹配角弧。,角关系结论必须依赖能够支持它的线的位置条件。,hjb-junior-s1-lower-intersecting-parallel-lines,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-lower-intersecting-parallel-lines-worked-example,hjb-junior-s1-lower-intersecting-parallel-lines,worked-example,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-lower-intersecting-parallel-lines/worked-example.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-lower-intersecting-parallel-lines/worked-example.png,推理工作区用平行条件开启匹配角弧，并逐步到达目标角。,计算前先说清角关系，避免被图形外观误导。,hjb-junior-s1-lower-intersecting-parallel-lines,Approved by owner/S18 manual review for production launch on 2026-05-27.
hjb-junior-s1-lower-triangles-concept,hjb-junior-s1-lower-triangles,concept,approved,approved,coordination/content-qa/mainland-hjb-junior-illustrations-v1/candidates/hjb-junior-s1-lower-triangles/concept.png,/lesson-illustrations/mainland-hjb-junior/hjb-junior-s1-lower-triangles/concept.png,三角形图展示边角关系、内外角线索和边长木棒检查。,三角形推理要先确认哪些边角条件成立。,hjb-junior-s1-lower-triangles,Approved by owner/S18 manual review for production launch on 2026-05-27.
