"questionId","grade","volume","chapter","type","difficulty","solverRule","independentAnswer","answer","acceptedAnswers","qaStatus","severity","issueCodes","issueDetails","recommendedAction"
"hjb-high-ds-v3-s4-001","S4","必修 第一册","集合与逻辑","multiple-choice","Core","v3-set-union-multiple-count","27","27","27","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-002","S4","必修 第一册","集合与逻辑","fill-in","Challenge","v3-set-union-multiple-count","26","26","26","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-003","S4","必修 第一册","集合与逻辑","short-answer","Foundation","v3-set-union-multiple-count","26","26","26","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-004","S4","必修 第一册","集合与逻辑","multiple-choice","Exam","v3-set-union-multiple-count","17","17","17","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-005","S4","必修 第一册","集合与逻辑","fill-in","Core","v3-set-union-multiple-count","19","19","19","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-006","S4","必修 第一册","集合与逻辑","short-answer","Challenge","v3-set-union-multiple-count","28","28","28","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-007","S4","必修 第一册","集合与逻辑","multiple-choice","Foundation","v3-set-union-multiple-count","27","27","27","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-008","S4","必修 第一册","集合与逻辑","fill-in","Exam","v3-set-union-multiple-count","20","20","20","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-009","S4","必修 第一册","集合与逻辑","short-answer","Core","v3-set-union-multiple-count","29","29","29","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-010","S4","必修 第一册","集合与逻辑","multiple-choice","Challenge","v3-set-union-multiple-count","25","25","25","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-011","S4","必修 第一册","集合与逻辑","fill-in","Foundation","v3-set-union-multiple-count","26","26","26","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-012","S4","必修 第一册","集合与逻辑","short-answer","Exam","v3-set-union-multiple-count","28","28","28","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-013","S4","必修 第一册","集合与逻辑","multiple-choice","Core","v3-set-union-multiple-count","22","22","22","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v3-s4-014","S4","必修 第一册","集合与逻辑","fill-in","Challenge","v3-set-union-multiple-count","29","29","29","pass","none","","","Include in S18 pass-sample review before app integration."
