id,grade,semester,type,knowledgePointId,status,severity,issueTags,correctedAnswer,rationale,answer,promptZhHans
pep-junior-v3-s1-k01-mc-001,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,题目正确，温差计算无误，选项唯一，答案与解释一致。,11°C,某日，杭州市的最高气温为 8°C，最低气温为 -3°C，则这天的温差是多少？
pep-junior-v3-s1-k01-mc-002,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,数轴移动计算正确，选项无歧义，答案与解释一致。,3,在数轴上，点 A 表示 -2，点 B 在点 A 的右侧 5 个单位长度处，则点 B 表示的数是？
pep-junior-v3-s1-k01-mc-003,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,基准变化应用正确，答案+12分合理，选项无重复。,+12 分,某班级进行数学测验，及格标准为 60 分。小明考了 72 分，若将及格线记为 0 分，超过及格线的分数记为正，则小明的分数可记为？
pep-junior-v3-s1-k01-mc-004,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,绝对值比较正确，0的绝对值最小，选项清晰。,0,下列各数中，绝对值最小的是？
pep-junior-v3-s1-k01-mc-005,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,余额计算正确，最终700元，选项无歧义。,700 元,小明记录了一周内每天存取款后的账户余额变化（存入为正，取出为负）：+200 元，-150 元，+300 元，-100 元，-50 元。若初始余额为 500 元，则最终余额是多少？
pep-junior-v3-s1-k01-mc-006,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,相反数定义题，0的相反数是本身，答案正确。,0,一个数的相反数是它本身，这个数是？
pep-junior-v3-s1-k01-mc-007,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,数轴距离计算正确，6-(-4)=10，选项无问题。,10,数轴上点 M 表示 -4，点 N 表示 6，则 M 和 N 之间的距离是？
pep-junior-v3-s1-k01-mc-008,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,绝对值方程，a=±5，选项C明确，解释正确。,±5,如果 |a| = 5，那么 a 的值是？
pep-junior-v3-s1-k01-mc-009,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,负数比较大小正确，-2>-4，其他选项均错。,-2 > -4,下列比较大小正确的是？
pep-junior-v3-s1-k01-mc-010,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,有理数加减计算正确，结果为4，选项无歧义。,4,计算：(-3) + 5 - (-2) 的结果是？
pep-junior-v3-s1-k01-mc-011,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,温差计算正确，(-2)-(-9)=7℃，选项唯一。,7℃,某城市冬季某天的最高气温为 -2℃，最低气温为 -9℃，则这天的温差（最高气温与最低气温的差）是多少？
pep-junior-v3-s1-k01-mc-012,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,中点公式应用正确，(-3+4)/2=0.5，选项清晰。,0.5,在数轴上，点 A 表示 -3，点 B 表示 4，点 C 是线段 AB 的中点，则点 C 表示的数是多少？
pep-junior-v3-s1-k01-mc-013,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,题目正确，相反数定义清晰，答案2.5无误，选项无歧义。,2.5,若 a 与 b 互为相反数，且 a = -2.5，则 b 的值是多少？
