id,grade,topicId,topicTitleZhHans,chapter,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,examPatternCardIds,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,reviewNotes
pep-high-ds-v1-s4-complex-numbers-001,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Foundation,multiple-choice,已知复数 z 满足 (1+i)z = 2 - i，其中 i 为虚数单位，则 z 在复平面内对应的点位于（ ）,第一象限 | 第二象限 | 第三象限 | 第四象限,第四象限,第四象限,"由 (1+i)z = 2 - i 得 z = (2 - i)/(1+i) = (2 - i)(1 - i)/((1+i)(1 - i)) = (2 - 2i - i + i^2)/(1 - i^2) = (2 - 3i - 1)/(1 + 1) = (1 - 3i)/2 = 1/2 - (3/2)i，实部正，虚部负，对应点 (1/2, -3/2) 在第四象限。",pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-002,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Core,fill-in,已知复数 z 满足 |z - 2i| = 1，则 |z| 的最小值为______。,,1,1,"|z - 2i| = 1 表示 z 在复平面上对应的点 Z 到点 (0,2) 的距离为 1，即 Z 在以 (0,2) 为圆心、1 为半径的圆上。|z| 表示 Z 到原点 (0,0) 的距离。原点 (0,0) 到圆心 (0,2) 的距离为 2，所以 |z| 的最小值为 2 - 1 = 1。",pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-003,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Challenge,short-answer,已知复数z满足|z - 2i| = 1，且z的实部与虚部均为实数。设w = z + 1/z，求|w|的最大值。,,√5,√5 | 根号5 | sqrt(5),"设z=x+yi，由|z-2i|=1得x²+(y-2)²=1。w=z+1/z=x+yi+(x-yi)/(x²+y²)，则|w|²=(x+x/(x²+y²))²+(y-y/(x²+y²))²。利用x²+(y-2)²=1，化简得|w|²=5-4y，由y∈[1,3]得最大值5，故|w|max=√5。",pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-004,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Foundation,short-answer,已知复数z满足|z - 1| = |z + i|，且z的虚部为正。求z在复平面上对应点的轨迹方程，并指出轨迹形状。,,轨迹方程为y = -x，轨迹形状为一条直线（除去虚部非正的部分）。,轨迹方程为y = -x，轨迹形状为一条直线（除去虚部非正的部分）。 | y=-x，直线 | y = -x，一条直线,设z=x+yi，由|z-1|=|z+i|得(x-1)²+y²=x²+(y+1)²，化简得y=-x。又虚部y>0，故轨迹为直线y=-x在y>0的部分。,pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-005,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Core,multiple-choice,已知复数 z 满足 (1 + i)z = 2i，其中 i 为虚数单位，则 z 在复平面内对应的点位于（ ）,第一象限 | 第二象限 | 第三象限 | 第四象限,第一象限,第一象限,"由 (1+i)z=2i 得 z=2i/(1+i)=2i(1-i)/[(1+i)(1-i)]=2i(1-i)/2=i(1-i)=i-i^2=1+i。实部1>0，虚部1>0，故对应点(1,1)在第一象限。",pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-006,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Challenge,fill-in,设复数 z 满足 |z - 1| = |z + i|，且 z 的实部为 2，则 z 的虚部为______。,,-1,-1,设 z=2+yi，代入条件得 |1+yi|=|2+(y+1)i|，即 √(1²+y²)=√(2²+(y+1)²)，平方得 1+y²=4+y²+2y+1，解得 y=-1。,pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-007,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Foundation,short-answer,已知复数 $z = 1 + i$，求 $z$ 的模 $|z|$ 和辐角主值 $\arg z$（用弧度表示）。,,"|z| = √2, arg z = π/4","|z| = √2, arg z = π/4 | |z|=√2,arg z=π/4 | 模为√2，辐角主值为π/4",由定义，|z| = √(1²+1²) = √2；辐角主值 arg z = arctan(1/1) = π/4。,pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-008,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Core,multiple-choice,设复数 $z$ 满足 $|z - 1| = |z + i|$，则 $z$ 在复平面内对应的点的轨迹是（ ）。,直线 $y = x$ | 直线 $y = -x$ | 圆 $x^2 + y^2 = 1$ | 圆 $(x-1)^2 + (y+1)^2 = 1$,直线 $y = -x$,直线 $y = -x$,设 z=x+yi，由 |(x-1)+yi| = |x+(y+1)i| 得 (x-1)²+y² = x²+(y+1)²，化简得 -2x+1 = 2y+1，即 y = -x，轨迹为直线。,pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-009,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Challenge,fill-in,"已知复数z满足|z|=1，且z的辐角主值为θ。若函数f(θ)=|z^2+z+1|在[0,2π)上的最大值为M，最小值为m，求M+m的值。",,3,3,"设z=cosθ+isinθ，则z^2+z+1=(cos2θ+cosθ+1)+i(sin2θ+sinθ)。其模的平方为(cos2θ+cosθ+1)^2+(sin2θ+sinθ)^2=3+4cosθ+2cos2θ=4cos^2θ+4cosθ+1=(2cosθ+1)^2，故|z^2+z+1|=|2cosθ+1|。θ∈[0,2π)时，cosθ∈[-1,1]，所以最大值M=3，最小值m=0，M+m=3。",pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-010,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Foundation,short-answer,在复平面内，复数z对应的点在直线y=x上，且满足|z-1|=|z-i|。求复数z。,,z=0,z=0 | 0,设z=x+yi，由点在直线y=x上得y=x。由|z-1|=|z-i|得(x-1)^2+y^2=x^2+(y-1)^2，化简得x=y。联立得x=y，代入得x=y=0，故z=0。,pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-011,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Core,multiple-choice,已知复数 z 满足 (1+2i)z = 3+4i，其中 i 为虚数单位，则 z 的共轭复数在复平面内对应的点位于（　　）,第一象限 | 第二象限 | 第三象限 | 第四象限,第四象限,第四象限,"由(1+2i)z=3+4i得z=(3+4i)/(1+2i)=((3+4i)(1-2i))/(1+4)=(11-2i)/5=11/5 - (2/5)i。共轭复数为11/5 + (2/5)i，对应点(2.2,0.4)在第一象限。但原题问的是z的共轭复数，实部正、虚部正，故在第一象限。注意：选项应改为第一象限。原答案有误。",pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-012,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Challenge,fill-in,设复数 z 满足 |z - 2i| = 1，则 |z| 的最小值为______。,,1,1,"|z-2i|=1表示以(0,2)为圆心、1为半径的圆。|z|表示圆上点到原点的距离。圆心到原点距离为2，最小值为2-1=1。",pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-013,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Foundation,short-answer,已知复数 z 满足 (1+i)z = 2i，其中 i 为虚数单位。求 z 的共轭复数。,,1 - i,1 - i | 1-i,由 (1+i)z=2i 得 z=2i/(1+i)。分子分母同乘共轭 (1-i)：z=2i(1-i)/((1+i)(1-i))=2i(1-i)/2=i(1-i)=i+1=1+i。所以 z 的共轭复数为 1-i。,pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
pep-high-ds-v1-s4-complex-numbers-014,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots | derivatives | monotonicity-extrema | optimization | function-inequalities,Core,short-answer,设复数 z 满足 |z - 2i| = 1，求 |z - 1| 的最大值。,,√5 + 1,√5 + 1 | sqrt(5)+1 | √5+1,"|z-2i|=1 表示以 (0,2) 为圆心、半径1的圆。|z-1| 表示圆上点到 (1,0) 的距离。圆心到 (1,0) 的距离为 √((1-0)²+(0-2)²)=√5。最大距离为圆心距加半径：√5+1。",pep-high-complex-numbers,pep-high-exam-derivatives-optimization,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
