questionId,grade,family,needLevel,illustrationKind,priority,promptZhHans,imageBriefZhHans
pep-primary-p1-u-mc-001,P1,number-sense,core,ten-frame,P1,乐乐有14枚彩笔，已经用掉11枚，还剩多少枚？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：乐乐有14枚彩笔，已经用掉11枚，还剩多少枚？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-002,P1,number-sense,core,ten-frame,P1,第2小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第2小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-003,P1,number-sense,core,ten-frame,P1,第3小组：一个数的组成中，总数是11，其中一部分是10，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第3小组：一个数的组成中，总数是11，其中一部分是10，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-004,P1,number-sense,core,ten-frame,P1,第4小组：一个数的组成中，总数是12，其中一部分是2，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第4小组：一个数的组成中，总数是12，其中一部分是2，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-005,P1,number-sense,core,ten-frame,P1,第5小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第5小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-006,P1,number-sense,core,ten-frame,P1,第6小组：一个数的组成中，总数是14，其中一部分是6，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第6小组：一个数的组成中，总数是14，其中一部分是6，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-007,P1,number-sense,core,ten-frame,P1,第7小组：一个数的组成中，总数是15，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第7小组：一个数的组成中，总数是15，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-008,P1,number-sense,core,ten-frame,P1,第8小组：一个数的组成中，总数是16，其中一部分是10，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第8小组：一个数的组成中，总数是16，其中一部分是10，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-009,P1,number-sense,core,ten-frame,P1,第9小组：一个数的组成中，总数是17，其中一部分是12，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第9小组：一个数的组成中，总数是17，其中一部分是12，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-010,P1,number-sense,core,ten-frame,P1,第10小组：一个数的组成中，总数是18，其中一部分是14，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第10小组：一个数的组成中，总数是18，其中一部分是14，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-011,P1,number-sense,core,ten-frame,P1,第11小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第11小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-012,P1,number-sense,core,ten-frame,P1,第12小组：一个数的组成中，总数是8，其中一部分是2，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第12小组：一个数的组成中，总数是8，其中一部分是2，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-013,P1,number-sense,core,ten-frame,P1,第13小组：一个数的组成中，总数是9，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第13小组：一个数的组成中，总数是9，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-014,P1,number-sense,core,ten-frame,P1,第14小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第14小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-015,P1,number-sense,core,ten-frame,P1,第15小组：一个数的组成中，总数是11，其中一部分是6，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第15小组：一个数的组成中，总数是11，其中一部分是6，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-016,P1,number-sense,core,ten-frame,P1,第16小组：一个数的组成中，总数是12，其中一部分是5，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第16小组：一个数的组成中，总数是12，其中一部分是5，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-017,P1,number-sense,core,ten-frame,P1,第17小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第17小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
