"questionId","grade","type","difficulty","topicId","chapter","queueReason","reviewer","decision","mathQaStatus","terminologyQaStatus","sourceDistanceStatus","p0IssueCodes","p1IssueCodes","p2IssueCodes","templateFamilySize","promptZhHans","answer","notes"
"hjb-high-ds-v3-s4-001","S4","multiple-choice","Core","hjb-high-s4-集合与逻辑","集合与逻辑","grade-type-coverage | grade-difficulty-coverage | type-anchor | difficulty-anchor","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0001：选择：设全集 U={1,2,3,...,119}，A 为 U 中能被 6 整除的数，B 为 U 中能被 13 整除的数。求 A∪B 的元素个数。","27","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-002","S4","fill-in","Challenge","hjb-high-s4-集合与逻辑","集合与逻辑","grade-type-coverage | grade-difficulty-coverage | type-anchor | difficulty-anchor","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-challenge-exam-too-routine","17","V3安全变式0002：填空：设全集 U={1,2,3,...,123}，A 为 U 中能被 6 整除的数，B 为 U 中能被 14 整除的数。求 A∪B 的元素个数。","26","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-003","S4","short-answer","Foundation","hjb-high-s4-集合与逻辑","集合与逻辑","grade-type-coverage | grade-difficulty-coverage | type-anchor | difficulty-anchor","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","16","V3安全变式0003：解答：设全集 U={1,2,3,...,123}，A 为 U 中能被 7 整除的数，B 为 U 中能被 12 整除的数。求 A∪B 的元素个数。","26","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-004","S4","multiple-choice","Exam","hjb-high-s4-集合与逻辑","集合与逻辑","grade-difficulty-coverage | difficulty-anchor","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-challenge-exam-too-routine","17","V3安全变式0004：选择：设全集 U={1,2,3,...,106}，A 为 U 中能被 6 整除的数，B 为 U 中能被 12 整除的数。求 A∪B 的元素个数。","17","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-008","S4","fill-in","Exam","hjb-high-s4-集合与逻辑","集合与逻辑","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-challenge-exam-too-routine","17","V3安全变式0008：填空：设全集 U={1,2,3,...,165}，A 为 U 中能被 8 整除的数，B 为 U 中能被 16 整除的数。求 A∪B 的元素个数。","20","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-015","S4","short-answer","Foundation","hjb-high-s4-集合与逻辑","集合与逻辑","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","16","V3安全变式0015：解答：设全集 U={1,2,3,...,129}，A 为 U 中能被 7 整除的数，B 为 U 中能被 13 整除的数。求 A∪B 的元素个数。","26","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-017","S4","fill-in","Core","hjb-high-s4-集合与逻辑","集合与逻辑","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0017：填空：设全集 U={1,2,3,...,68}，A 为 U 中能被 4 整除的数，B 为 U 中能被 7 整除的数。求 A∪B 的元素个数。","24","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
"hjb-high-ds-v3-s4-034","S4","multiple-choice","Challenge","hjb-high-s4-集合与逻辑","集合与逻辑","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-challenge-exam-too-routine","17","V3安全变式0034：选择：设全集 U={1,2,3,...,152}，A 为 U 中能被 7 整除的数，B 为 U 中能被 17 整除的数。求 A∪B 的元素个数。","28","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-044","S4","fill-in","Exam","hjb-high-s4-集合与逻辑","集合与逻辑","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","needs-remediation","p2-needs-remediation","manual-sample-pass","manual-sample-pass","","","p2-challenge-exam-too-routine","17","V3安全变式0044：填空：设全集 U={1,2,3,...,59}，A 为 U 中能被 3 整除的数，B 为 U 中能被 8 整除的数。求 A∪B 的元素个数。","24","Mathematically solvable and source-safe, but manual QA flags it as too repetitive or too routine for its assigned difficulty."
"hjb-high-ds-v3-s4-047","S4","fill-in","Foundation","hjb-high-s4-集合与逻辑","集合与逻辑","grade-pass-sample | grade-pass-sample","S18/Codex manual QA","manual-sample-pass","manual-sample-pass","manual-sample-pass","manual-sample-pass","","","","17","V3安全变式0047：填空：设全集 U={1,2,3,...,107}，A 为 U 中能被 7 整除的数，B 为 U 中能被 10 整除的数。求 A∪B 的元素个数。","24","Manual sample row is mathematically coherent, source-safe, and acceptable as a candidate pending broader package remediation."
