"id","grade","semester","topicId","unitTitle","type","difficulty","reviewReason","reviewStatus","reviewer","reviewNotes"
"hjb-junior-ds-v2-s1-003","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Exam","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-010","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-022","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-026","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-052","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","multiple-choice","Challenge","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-054","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Foundation","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-067","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","multiple-choice","Core","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-084","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Exam","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-096","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Exam","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-105","S1","upper","hjb-junior-s1-upper-factorization","因式分解","short-answer","Exam","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-106","S1","upper","hjb-junior-s1-upper-factorization","因式分解","multiple-choice","Core","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-117","S1","upper","hjb-junior-s1-upper-factorization","因式分解","short-answer","Exam","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-127","S1","upper","hjb-junior-s1-upper-factorization","因式分解","multiple-choice","Core","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-129","S1","upper","hjb-junior-s1-upper-factorization","因式分解","short-answer","Exam","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-141","S1","upper","hjb-junior-s1-upper-factorization","因式分解","short-answer","Exam","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
"hjb-junior-ds-v2-s1-147","S1","upper","hjb-junior-s1-upper-factorization","因式分解","short-answer","Exam","grade-pass-sample","approved","S18","Owner-authorized S18 production approval recorded after post-repair gates passed with 0 blockers."
