reviewReason,id,grade,topicId,topicTitleZhHans,chapter,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,examPatternCardIds,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,hybridMode,generatorFamily,generatorVariant,reviewNotes
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-fi-002,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots,Core,fill-in,专题复习第2组：复数z=0+3i，则|z|^2=______。,,9,9,|z|^2=0^2+3^2=9。,pep-high-complex-numbers,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,complex,complex-modulus-squared,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-fi-005,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots,Core,fill-in,错题订正第5组：复数z=-2+2i，则|z|^2=______。,,8,8,|z|^2=-2^2+2^2=8。,pep-high-complex-numbers,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,complex,complex-modulus-squared,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-fi-008,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots,Core,fill-in,单元诊断第8组：复数z=1+1i，则|z|^2=______。,,2,2,|z|^2=1^2+1^2=2。,pep-high-complex-numbers,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,complex,complex-modulus-squared,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-fi-011,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots,Core,fill-in,模型迁移第11组：复数z=-1+4i，则|z|^2=______。,,17,17,|z|^2=-1^2+4^2=17。,pep-high-complex-numbers,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,complex,complex-modulus-squared,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-mc-003,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots,Challenge,multiple-choice,模型迁移第3组：设z1=1+4i，z2=0-1i，则z1+z2=（ ）。,1-3i | 0+4i | 1+3i | 1+5i,1+3i,1+3i,实部相加得1，虚部相加得3，所以为1+3i。,pep-high-complex-numbers,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,complex,complex-addition,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-mc-006,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots,Challenge,multiple-choice,专题复习第6组：设z1=-1+3i，z2=-3-1i，则z1+z2=（ ）。,-4+2i | 2+4i | -4-2i | 3+3i,-4+2i,-4+2i,实部相加得-4，虚部相加得2，所以为-4+2i。,pep-high-complex-numbers,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,complex,complex-addition,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-mc-009,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots,Challenge,multiple-choice,错题订正第9组：设z1=2+2i，z2=0-1i，则z1+z2=（ ）。,2-1i | 0+2i | 2+1i | 2+3i,2+1i,2+1i,实部相加得2，虚部相加得1，所以为2+1i。,pep-high-complex-numbers,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,complex,complex-addition,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-mc-012,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots,Challenge,multiple-choice,单元诊断第12组：设z1=0+1i，z2=-3-1i，则z1+z2=（ ）。,-3+0i | 3+2i | 0+1i | -3+0i1,-3+0i,-3+0i,实部相加得-3，虚部相加得0，所以为-3+0i。,pep-high-complex-numbers,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,complex,complex-addition,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-sa-001,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots,Foundation,short-answer,错题订正第1组：计算(-1+2i)(-2+2i)。,,-2-6i,-2-6i,按复数乘法展开，实部为(-1)×(-2)-2×2=-2，虚部为(-1)×2+2×(-2)=-6。,pep-high-complex-numbers,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,complex,complex-product,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-sa-004,S4,pep-high-s4-complex-numbers,复数,复数,complex-numbers | complex-operations | complex-plane | complex-roots,Foundation,short-answer,单元诊断第4组：计算(2+1i)(1+2i)。,,0+5i,0+5i,按复数乘法展开，实部为2×1-1×2=0，虚部为2×2+1×1=5。,pep-high-complex-numbers,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,complex,complex-product,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-fi-002,S4,pep-high-s4-exp-log,指数函数与对数函数,指数函数与对数函数,exponential-functions | logarithmic-functions | inverse-functions | function-modeling | function-zero | bisection-method | growth-comparison,Challenge,fill-in,专题复习第2组：若5^x=625，则x=______。,,4,4,625=5^4，同底指数相等，所以x=4。,pep-high-exponential-logarithmic-functions | pep-high-function-zero-modeling,pep-high-exam-legacy-stream-migration | pep-high-exam-function-zero-models,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,exp-log,exponential-equation,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-fi-005,S4,pep-high-s4-exp-log,指数函数与对数函数,指数函数与对数函数,exponential-functions | logarithmic-functions | inverse-functions | function-modeling | function-zero | bisection-method | growth-comparison,Core,fill-in,错题订正第5组：若5^x=625，则x=______。,,4,4,625=5^4，同底指数相等，所以x=4。,pep-high-exponential-logarithmic-functions | pep-high-function-zero-modeling,pep-high-exam-legacy-stream-migration | pep-high-exam-function-zero-models,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,exp-log,exponential-equation,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-fi-008,S4,pep-high-s4-exp-log,指数函数与对数函数,指数函数与对数函数,exponential-functions | logarithmic-functions | inverse-functions | function-modeling | function-zero | bisection-method | growth-comparison,Exam,fill-in,单元诊断第8组：若5^x=625，则x=______。,,4,4,625=5^4，同底指数相等，所以x=4。,pep-high-exponential-logarithmic-functions | pep-high-function-zero-modeling,pep-high-exam-legacy-stream-migration | pep-high-exam-function-zero-models,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,exp-log,exponential-equation,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-fi-011,S4,pep-high-s4-exp-log,指数函数与对数函数,指数函数与对数函数,exponential-functions | logarithmic-functions | inverse-functions | function-modeling | function-zero | bisection-method | growth-comparison,Foundation,fill-in,模型迁移第11组：若5^x=625，则x=______。,,4,4,625=5^4，同底指数相等，所以x=4。,pep-high-exponential-logarithmic-functions | pep-high-function-zero-modeling,pep-high-exam-legacy-stream-migration | pep-high-exam-function-zero-models,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,exp-log,exponential-equation,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-mc-003,S4,pep-high-s4-exp-log,指数函数与对数函数,指数函数与对数函数,exponential-functions | logarithmic-functions | inverse-functions | function-modeling | function-zero | bisection-method | growth-comparison,Foundation,multiple-choice,模型迁移第3组：计算log_2(2^4)的值。,3 | 8 | 4 | 5,4,4,log_2(2^4)=4。,pep-high-exponential-logarithmic-functions | pep-high-function-zero-modeling,pep-high-exam-legacy-stream-migration | pep-high-exam-function-zero-models,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,exp-log,log-power,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-mc-006,S4,pep-high-s4-exp-log,指数函数与对数函数,指数函数与对数函数,exponential-functions | logarithmic-functions | inverse-functions | function-modeling | function-zero | bisection-method | growth-comparison,Challenge,multiple-choice,专题复习第6组：计算log_2(2^3)的值。,3 | 4 | 2 | 6,3,3,log_2(2^3)=3。,pep-high-exponential-logarithmic-functions | pep-high-function-zero-modeling,pep-high-exam-legacy-stream-migration | pep-high-exam-function-zero-models,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,exp-log,log-power,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-mc-009,S4,pep-high-s4-exp-log,指数函数与对数函数,指数函数与对数函数,exponential-functions | logarithmic-functions | inverse-functions | function-modeling | function-zero | bisection-method | growth-comparison,Core,multiple-choice,错题订正第9组：计算log_2(2^2)的值。,1 | 4 | 2 | 3,2,2,log_2(2^2)=2。,pep-high-exponential-logarithmic-functions | pep-high-function-zero-modeling,pep-high-exam-legacy-stream-migration | pep-high-exam-function-zero-models,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,exp-log,log-power,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
