blindId,grade,semester,type,difficulty,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,reviewerMathCorrectness,reviewerGradeFit,reviewerLanguageQuality,reviewerExplanationQuality,reviewerClassroomUsability,reviewerTemplateFeel,reviewerNotes
MPPQ-001,P1,lower,fill-in,Core,按规律填数：45，50，55，__，65，__。,,60，70,60，70,这些数每次增加5：45+5=50，50+5=55，55+5=60，60+5=65，65+5=70。所以填60和70。,,,,,,,
MPPQ-002,P1,lower,fill-in,Core,第121小组：计算：77+15=？,,92,92,按位计算可得：77+15=92。,,,,,,,
MPPQ-003,P1,lower,fill-in,Foundation,按规律填数：2，5，8，11，______，______。,,14，17,14，17,规律是每次加3：2+3=5，5+3=8，8+3=11，11+3=14，14+3=17。,,,,,,,
MPPQ-004,P1,lower,fill-in,Foundation,第110小组：计算：50-14=？,,36,36,按位计算可得：50-14=36。,,,,,,,
MPPQ-005,P1,lower,multiple-choice,Challenge,计算12 - 5时，想：5 + __ = 12，所以12 - 5 = __。下面哪个选项正确？,5 + 7 = 12，所以12 - 5 = 7 | 5 + 6 = 11，所以12 - 5 = 6 | 5 + 8 = 13，所以12 - 5 = 8 | 5 + 5 = 10，所以12 - 5 = 5,5 + 7 = 12，所以12 - 5 = 7,5 + 7 = 12，所以12 - 5 = 7,想加算减：因为5+7=12，所以12-5=7。其他选项的加法结果都不等于12。,,,,,,,
MPPQ-006,P1,lower,short-answer,Challenge,第192小组：班级统计红卡5张、蓝卡5张、绿卡5张，数量最多的是几张？,,5,5,比较三个数量，最大的是5张。,,,,,,,
MPPQ-007,P1,lower,multiple-choice,Core,下面哪个算式的得数比50大？,23 + 26 | 78 - 30 | 90 - 45 | 35 + 16,35 + 16,35 + 16,23+26=49，小于50；78-30=48，小于50；90-45=45，小于50；35+16=51，大于50。,,,,,,,
MPPQ-008,P1,lower,short-answer,Core,第174小组：班级统计红卡7张、蓝卡5张、绿卡6张，数量最多的是几张？,,7,7,比较三个数量，最大的是7张。,,,,,,,
MPPQ-009,P1,lower,multiple-choice,Exam,小华有1张5元，2张1元，3枚5角。他想买一本6元的笔记本，他的钱够吗？,够，还剩1元5角 | 不够，差5角 | 刚好够 | 不够，差1元,够，还剩1元5角,够，还剩1元5角,小华的钱：5元 + 2元 = 7元，1枚5角 = 0.5元，总共7.5元。笔记本6元，7.5 - 6 = 1.5元，即1元5角，所以够，还剩1元5角。,,,,,,,
MPPQ-010,P1,upper,fill-in,Foundation,第92小组：下面描述的是哪种立体图形：相对的面是长方形？,,长方体,长方体,这个特征对应长方体。,,,,,,,
MPPQ-011,P1,lower,multiple-choice,Foundation,计算12 - 5时，想：5 + □ = 12，所以12 - 5 = □。方框里依次填什么？,"7, 7 | 6, 6 | 5, 5 | 8, 8","7, 7","7, 7",因为5 + 7 = 12，所以12 - 5 = 7。,,,,,,,
MPPQ-012,P1,upper,multiple-choice,Foundation,第2小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？,4 | 2 | 7 | 3,3,3,用总数减去已知部分：10-7=3。,,,,,,,
MPPQ-013,P1,lower,short-answer,Challenge,"按规律填数：25, 30, 35, __, 45, 50。请写出缺少的数，并说明规律。",,40，规律是每次加5,"40，规律是每次加5 | 40, 每次加5 | 40 每次增加5",观察数列：25到30是加5，30到35是加5，所以35加5是40，40加5是45，符合规律。,,,,,,,
MPPQ-014,P1,lower,fill-in,Core,第122小组：计算：34-20=？,,14,14,按位计算可得：34-20=14。,,,,,,,
MPPQ-015,P1,lower,short-answer,Core,用“想加算减”的方法计算 12 - 7。因为 7 + __ = 12，所以 12 - 7 = __。,,5，5,5，5,想加算减：想7加几等于12，7+5=12，所以12-7=5。,,,,,,,
MPPQ-016,P1,lower,fill-in,Foundation,第111小组：计算：57+19=？,,76,76,按位计算可得：57+19=76。,,,,,,,
MPPQ-017,P1,lower,short-answer,Foundation,一（1）班有42人，一（2）班有38人。两个班一共有多少人？一（1）班比一（2）班多多少人？,,一共80人，多4人,"一共80人，多4人 | 80人，4人 | 80,4",总人数：42+38=80（人）；相差人数：42-38=4（人）。,,,,,,,
MPPQ-018,P1,lower,short-answer,Challenge,第193小组：班级统计红卡6张、蓝卡7张、绿卡8张，数量最多的是几张？,,8,8,比较三个数量，最大的是8张。,,,,,,,
MPPQ-019,P1,upper,fill-in,Core,10可以分成3和几？请填数字。,,7,7,因为3和7合起来是10，所以10可以分成3和7。,,,,,,,
MPPQ-020,P1,lower,short-answer,Core,第175小组：班级统计红卡3张、蓝卡7张、绿卡4张，数量最多的是几张？,,7,7,比较三个数量，最大的是7张。,,,,,,,
MPPQ-021,P1,upper,fill-in,Foundation,计算9+7时，用凑十法：把7分成（ ）和（ ），先算9+（ ）=10，再算10+（ ）=（ ）。,,1，6，1，6，16,1，6，1，6，16,凑十法：看到9，想到1，把7分成1和6，9+1=10，10+6=16。,,,,,,,
MPPQ-022,P1,upper,fill-in,Foundation,第96小组：下面描述的是哪种立体图形：相对的面是长方形？,,长方体,长方体,这个特征对应长方体。,,,,,,,
MPPQ-023,P1,upper,multiple-choice,Challenge,9比5多多少？,3 | 4 | 5 | 6,4,4,求9比5多几，用减法：9-5=4。,,,,,,,
MPPQ-024,P1,upper,multiple-choice,Foundation,第5小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？,9 | 10 | 8 | 4,9,9,用总数减去已知部分：13-4=9。,,,,,,,
MPPQ-025,P1,upper,multiple-choice,Core,下面哪个算式的得数最大？,3+4 | 2+6 | 5+2 | 4+3,2+6,2+6,3+4=7，2+6=8，5+2=7，4+3=7，所以2+6的得数最大，是8。,,,,,,,
MPPQ-026,P1,lower,fill-in,Core,第123小组：计算：41+7=？,,48,48,按位计算可得：41+7=48。,,,,,,,
MPPQ-027,P1,upper,multiple-choice,Exam,下面哪个钟面表示的是8时？,分针指向12，时针指向6 | 分针指向12，时针指向8 | 分针指向12，时针指向12 | 分针指向6，时针指向8,分针指向12，时针指向8,分针指向12，时针指向8,整时的时候，分针指向12，时针指向几就是几时。所以分针指向12，时针指向8是8时。,,,,,,,
MPPQ-028,P1,lower,fill-in,Foundation,第112小组：计算：64-6=？,,58,58,按位计算可得：64-6=58。,,,,,,,
MPPQ-029,P1,upper,multiple-choice,Foundation,下面哪两个数合起来是10？,2和7 | 4和5 | 3和7 | 1和8,3和7,3和7,3+7=10，其他选项：2+7=9，4+5=9，1+8=9，都不等于10。,,,,,,,
MPPQ-030,P1,lower,short-answer,Challenge,第194小组：班级统计红卡7张、蓝卡9张、绿卡6张，数量最多的是几张？,,9,9,比较三个数量，最大的是9张。,,,,,,,
MPPQ-031,P1,upper,short-answer,Challenge,小明有8块糖，妈妈又给了他5块。小明用凑十法算出一共有多少块糖。请写出他的计算过程。,,8+5=13，把5分成2和3，8+2=10，10+3=13。,8+5=13，把5分成2和3，8+2=10，10+3=13。 | 8+5=13 | 把5分成2和3，8+2=10，10+3=13 | 8+2=10，10+3=13,凑十法：看到8，想到2，从5里拿出2给8凑成10，5还剩3，10+3=13。,,,,,,,
MPPQ-032,P1,lower,short-answer,Core,第176小组：班级统计红卡4张、蓝卡9张、绿卡7张，数量最多的是几张？,,9,9,比较三个数量，最大的是9张。,,,,,,,
MPPQ-033,P1,upper,short-answer,Core,下面的物体中，哪些是圆柱？请写出序号。①足球 ②易拉罐 ③魔方 ④水杯 ⑤铅笔,,②④,"②④ | 2,4 | ②和④ | 2和4",圆柱上下一样粗，两头是圆形。易拉罐和水杯是圆柱，足球是球，魔方是正方体，铅笔不是圆柱。,,,,,,,
MPPQ-034,P1,upper,fill-in,Foundation,第100小组：下面描述的是哪种立体图形：相对的面是长方形？,,长方体,长方体,这个特征对应长方体。,,,,,,,
MPPQ-035,P1,upper,short-answer,Foundation,用凑十法计算8 + 7。先算8 + 2 = 10，再算10 + ____ = 15。,,5,5,把7分成2和5，8+2=10，10+5=15，所以填5。,,,,,,,
MPPQ-036,P1,upper,multiple-choice,Foundation,第6小组：一个数的组成中，总数是14，其中一部分是6，另一部分是多少？,9 | 7 | 6 | 8,8,8,用总数减去已知部分：14-6=8。,,,,,,,
MPPQ-037,P1,lower,fill-in,Core,计算13 - 8时，可以用破十法：把13分成10和3，先算10 - 8 = __，再算 __ + 3 = __。请按顺序填写三个空。,,"2, 2, 5","2, 2, 5",破十法：13分成10和3，10减8等于2，2加3等于5，所以13 - 8 = 5。,,,,,,,
MPPQ-038,P1,lower,fill-in,Core,第125小组：计算：55+17=？,,72,72,按位计算可得：55+17=72。,,,,,,,
MPPQ-039,P1,lower,fill-in,Foundation,计算13 - 8时，可以用破十法：把13分成10和3，先算10 - 8 = □，再算□ + 3 = □。请按顺序填写方框里的数。,,"2, 2, 5","2, 2, 5",10 - 8 = 2，然后2 + 3 = 5，所以三个方框依次填2、2、5。,,,,,,,
MPPQ-040,P1,lower,fill-in,Foundation,第113小组：计算：71+11=？,,82,82,按位计算可得：71+11=82。,,,,,,,
