id,bank,grade,type,gradeAppropriate,solvable,answerCorrect,display,notes
hk-ease-10506,HK/HK_UNITED_PRIME_MIA,P4,fill-in,pass,pass,fail,pass,grader-mixed-number-hole | accepted-alias-wrong-value: answer='1 3/7'=1.4285714285714286; aliases: '13/7'->1.8571428571428572 | collapsed mixed-number alias accepts wrong value
hk-ease-10507,HK/HK_UNITED_PRIME_MIA,P4,fill-in,pass,pass,fail,pass,grader-mixed-number-hole | accepted-alias-wrong-value: answer='2 8/9'=2.888888888888889; aliases: '28/9'->3.111111111111111 | collapsed mixed-number alias accepts wrong value
hk-ease-10510,HK/HK_UNITED_PRIME_MIA,P4,fill-in,pass,pass,fail,pass,grader-mixed-number-hole | accepted-alias-wrong-value: answer='3 3/5'=3.6; aliases: '33/5'->6.6 | collapsed mixed-number alias accepts wrong value
hk-ease-188,HK/HK_UNITED_PRIME_MIA,S1,fill-in,pass,pass,fail,info,grader-mixed-number-hole | grader-mixed-number-hole | accepted-alias-wrong-value: answer='2 23/30'=2.7666666666666666; aliases: '223/30'->7.433333333333334 | cosmetic:zh-field-is-english | collapsed mixed-number alias accepts wrong value
hk-ease-1189,HK/HK_UNITED_PRIME_MIA,S1,fill-in,pass,pass,fail,pass,grader-mixed-number-hole | accepted-alias-wrong-value: answer='5 5/8'=5.625; aliases: '55/8'->6.875 | collapsed mixed-number alias accepts wrong value
hk-ease-1190,HK/HK_UNITED_PRIME_MIA,S1,fill-in,pass,pass,fail,pass,grader-mixed-number-hole | accepted-alias-wrong-value: answer='2 2/5'=2.4; aliases: '22/5'->4.4 | collapsed mixed-number alias accepts wrong value
hk-ease-1193,HK/HK_UNITED_PRIME_MIA,S1,fill-in,pass,pass,fail,pass,grader-mixed-number-hole | accepted-alias-wrong-value: answer='1 11/40'=1.275; aliases: '111/40'->2.775 | collapsed mixed-number alias accepts wrong value
hk-ease-1194,HK/HK_UNITED_PRIME_MIA,S1,fill-in,pass,pass,fail,pass,grader-mixed-number-hole | accepted-alias-wrong-value: answer='3 2/7'=3.2857142857142856; aliases: '32/7'->4.571428571428571 | collapsed mixed-number alias accepts wrong value
hk-ease-1197,HK/HK_UNITED_PRIME_MIA,S1,fill-in,pass,pass,fail,pass,grader-mixed-number-hole | accepted-alias-wrong-value: answer='9 3/4'=9.75; aliases: '93/4'->23.25 | collapsed mixed-number alias accepts wrong value
hk-ease-1198,HK/HK_UNITED_PRIME_MIA,S1,fill-in,pass,pass,fail,pass,grader-mixed-number-hole | accepted-alias-wrong-value: answer='2 7/40'=2.175; aliases: '27/40'->0.675 | collapsed mixed-number alias accepts wrong value
hk-ease-1200,HK/HK_UNITED_PRIME_MIA,S1,fill-in,pass,pass,fail,pass,grader-mixed-number-hole | accepted-alias-wrong-value: answer='1 19/72'=1.2638888888888888; aliases: '119/72'->1.6527777777777777 | collapsed mixed-number alias accepts wrong value
