id,batch,grade,semester,knowledgePointId,unitTitle,type,difficulty,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,paperPatternCardIds,examPatternCardIds,sourceDistanceStatus,mathQaStatus,reviewNotes
pep-junior-v2-s1-k01-mc-001,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-13℃，中午上升17℃，傍晚又下降4℃。傍晚气温是多少？,2 | -2 | 1 | 0,0,0,按正负变化计算：-13+17-4=0，所以傍晚气温是0℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-upper-paper-rational-number-operations,pep-junior-exam-number-sense-real-numbers,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-002,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-14℃，中午上升19℃，傍晚又下降5℃。傍晚气温是多少？,-2 | 1 | 0 | 2,0,0,按正负变化计算：-14+19-5=0，所以傍晚气温是0℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-upper-paper-midterm-final-integrated,pep-junior-exam-linear-equation-inequality-models,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-003,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-15℃，中午上升21℃，傍晚又下降6℃。傍晚气温是多少？,1 | 0 | 2 | -2,0,0,按正负变化计算：-15+21-6=0，所以傍晚气温是0℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-lower-paper-inequalities,pep-junior-exam-statistics-probability,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-004,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-16℃，中午上升23℃，傍晚又下降7℃。傍晚气温是多少？,0 | 2 | -2 | 1,0,0,按正负变化计算：-16+23-7=0，所以傍晚气温是0℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-upper-paper-expression-simplification,pep-junior-exam-coordinate-transformations,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-005,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-17℃，中午上升25℃，傍晚又下降8℃。傍晚气温是多少？,2 | -2 | 1 | 0,0,0,按正负变化计算：-17+25-8=0，所以傍晚气温是0℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-upper-paper-linear-equation-modeling,pep-junior-exam-applied-modeling-finance-rate,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-006,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-18℃，中午上升16℃，傍晚又下降3℃。傍晚气温是多少？,-7 | 5 | -5 | -3,-5,-5,按正负变化计算：-18+16-3=-5，所以傍晚气温是-5℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-upper-paper-geometric-figures,pep-junior-exam-polynomial-factorization-fractions,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-007,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-19℃，中午上升18℃，傍晚又下降4℃。傍晚气温是多少？,5 | -5 | -3 | -7,-5,-5,按正负变化计算：-19+18-4=-5，所以傍晚气温是-5℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-linear-functions-graphs,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-008,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-20℃，中午上升20℃，傍晚又下降5℃。傍晚气温是多少？,-5 | -3 | -7 | 5,-5,-5,按正负变化计算：-20+20-5=-5，所以傍晚气温是-5℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-lower-paper-real-numbers,pep-junior-exam-quadratic-equations-functions,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-009,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-12℃，中午上升22℃，傍晚又下降6℃。傍晚气温是多少？,6 | 2 | -4 | 4,4,4,按正负变化计算：-12+22-6=4，所以傍晚气温是4℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-lower-paper-coordinate-plane,pep-junior-exam-triangles-congruence-proof,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-010,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-13℃，中午上升24℃，傍晚又下降7℃。傍晚气温是多少？,2 | -4 | 4 | 6,4,4,按正负变化计算：-13+24-7=4，所以傍晚气温是4℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-lower-paper-linear-systems,pep-junior-exam-quadrilaterals-pythagorean,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-011,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-14℃，中午上升15℃，傍晚又下降8℃。傍晚气温是多少？,7 | -7 | -5 | -9,-7,-7,按正负变化计算：-14+15-8=-7，所以傍晚气温是-7℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-lower-paper-data-collection,pep-junior-exam-circle-geometry,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-012,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-15℃，中午上升17℃，傍晚又下降3℃。傍晚气温是多少？,-1 | 1 | -3 | 0,-1,-1,按正负变化计算：-15+17-3=-1，所以傍晚气温是-1℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-lower-paper-midterm-final-integrated,pep-junior-exam-similarity-right-triangle-trig,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-013,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-16℃，中午上升19℃，傍晚又下降4℃。傍晚气温是多少？,1 | -3 | 0 | -1,-1,-1,按正负变化计算：-16+19-4=-1，所以傍晚气温是-1℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s2-upper-paper-triangle-angle-relations,pep-junior-exam-inverse-proportion-models,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-014,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-17℃，中午上升21℃，傍晚又下降5℃。傍晚气温是多少？,-3 | 0 | -1 | 1,-1,-1,按正负变化计算：-17+21-5=-1，所以傍晚气温是-1℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s2-upper-paper-congruence-proof,pep-junior-exam-dynamic-geometry-functions,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-015,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-18℃，中午上升23℃，傍晚又下降6℃。傍晚气温是多少？,0 | -1 | 1 | -3,-1,-1,按正负变化计算：-18+23-6=-1，所以傍晚气温是-1℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s2-upper-paper-axis-symmetry-isosceles,pep-junior-exam-proof-calculation-integrated,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-016,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-19℃，中午上升25℃，傍晚又下降7℃。傍晚气温是多少？,-1 | 1 | -3 | 0,-1,-1,按正负变化计算：-19+25-7=-1，所以傍晚气温是-1℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s2-upper-paper-polynomial-multiplication-factorization,pep-junior-exam-number-sense-real-numbers,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-017,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-20℃，中午上升16℃，傍晚又下降8℃。傍晚气温是多少？,-10 | -14 | 12 | -12,-12,-12,按正负变化计算：-20+16-8=-12，所以傍晚气温是-12℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s2-upper-paper-algebraic-fractions,pep-junior-exam-linear-equation-inequality-models,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-018,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-12℃，中午上升18℃，傍晚又下降3℃。傍晚气温是多少？,1 | -3 | 3 | 5,3,3,按正负变化计算：-12+18-3=3，所以傍晚气温是3℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s2-upper-paper-integrated-review,pep-junior-exam-statistics-probability,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-019,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-13℃，中午上升20℃，傍晚又下降4℃。傍晚气温是多少？,-3 | 3 | 5 | 1,3,3,按正负变化计算：-13+20-4=3，所以傍晚气温是3℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s3-upper-paper-quadratic-equations,pep-junior-exam-coordinate-transformations,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-020,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-14℃，中午上升22℃，傍晚又下降5℃。傍晚气温是多少？,3 | 5 | 1 | -3,3,3,按正负变化计算：-14+22-5=3，所以傍晚气温是3℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s3-upper-paper-quadratic-functions,pep-junior-exam-applied-modeling-finance-rate,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-021,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-15℃，中午上升24℃，傍晚又下降6℃。傍晚气温是多少？,5 | 1 | -3 | 3,3,3,按正负变化计算：-15+24-6=3，所以傍晚气温是3℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s3-upper-paper-rotation-transformations,pep-junior-exam-polynomial-factorization-fractions,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-022,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-16℃，中午上升15℃，傍晚又下降7℃。傍晚气温是多少？,-10 | 8 | -8 | -6,-8,-8,按正负变化计算：-16+15-7=-8，所以傍晚气温是-8℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s3-upper-paper-circle-geometry,pep-junior-exam-linear-functions-graphs,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-mc-023,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-17℃，中午上升17℃，傍晚又下降8℃。傍晚气温是多少？,8 | -8 | -6 | -10,-8,-8,按正负变化计算：-17+17-8=-8，所以傍晚气温是-8℃。,pep-junior-s1-upper-rational-numbers,pep-junior-s3-upper-paper-probability-introduction,pep-junior-exam-quadratic-equations-functions,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-fi-001,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-6，点B表示2。A、B两点之间的距离是____。,,8,8,两点距离为2-(-6)=8，所以距离是8。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-upper-paper-rational-number-operations,pep-junior-exam-number-sense-real-numbers,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-fi-002,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-7，点B表示5。A、B两点之间的距离是____。,,12,12,两点距离为5-(-7)=12，所以距离是12。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-upper-paper-midterm-final-integrated,pep-junior-exam-linear-equation-inequality-models,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-fi-003,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-8，点B表示8。A、B两点之间的距离是____。,,16,16,两点距离为8-(-8)=16，所以距离是16。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-lower-paper-inequalities,pep-junior-exam-statistics-probability,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-fi-004,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-9，点B表示4。A、B两点之间的距离是____。,,13,13,两点距离为4-(-9)=13，所以距离是13。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-upper-paper-expression-simplification,pep-junior-exam-coordinate-transformations,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-fi-005,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-10，点B表示7。A、B两点之间的距离是____。,,17,17,两点距离为7-(-10)=17，所以距离是17。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-upper-paper-linear-equation-modeling,pep-junior-exam-applied-modeling-finance-rate,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-fi-006,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-11，点B表示3。A、B两点之间的距离是____。,,14,14,两点距离为3-(-11)=14，所以距离是14。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-upper-paper-geometric-figures,pep-junior-exam-polynomial-factorization-fractions,passed,pass,deterministic-original-v2-1200
pep-junior-v2-s1-k01-fi-007,junior-rag-v2-1200,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-12，点B表示6。A、B两点之间的距离是____。,,18,18,两点距离为6-(-12)=18，所以距离是18。,pep-junior-s1-upper-rational-numbers,pep-junior-s1-lower-paper-lines-parallel-angles,pep-junior-exam-linear-functions-graphs,passed,pass,deterministic-original-v2-1200
