id,grade,semester,type,difficulty,topicId,unitTitle,status,severity,solvable,answerMatches,issueTags,qaOutputConcernTags,correctedAnswer,confidence,rationale,answer,acceptedAnswers,promptZhHans
bnu-junior-ds-v1-s1-014,S1,upper,short-answer,Foundation,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,（1）10个面；（2）20条棱；（3）12个顶点,high,两个正方体拼接时，重合面消失，面数为10正确；但棱数计算错误：每个正方体12条棱，拼接处有4条棱重合，总棱数应为12+12-4=20，而非24；顶点数：每个正方体8个顶点，拼接处4个顶点重合，总顶点数应为8+8-4=12，而非16。答案和解释均错误。,（1）10个面；（2）24条棱；（3）16个顶点,"（1）10个面；（2）24条棱；（3）16个顶点|10个面，24条棱，16个顶点|10,24,16",一个几何体由两个大小相同的正方体拼接而成，每个正方体的棱长为2 cm。请回答：（1）这个几何体有多少个面？（2）这个几何体有多少条棱？（3）这个几何体有多少个顶点？
bnu-junior-ds-v1-s1-017,S1,upper,short-answer,Core,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,（1）10个面；（2）20条棱；（3）12个顶点,high,与第14题类似，两个正方体拼接，面数10正确，但棱数应为20，顶点数应为12，答案和解释均错误。,（1）10个面；（2）24条棱；（3）16个顶点,"（1）10个面；（2）24条棱；（3）16个顶点|10个面，24条棱，16个顶点|10,24,16",一个几何体由两个大小相同的正方体拼合而成，拼合时一个正方体的一个面与另一个正方体的一个面完全重合。请回答：（1）这个组合体有多少个面？（2）这个组合体有多少条棱？（3）这个组合体有多少个顶点？
bnu-junior-ds-v1-s1-019,S1,upper,multiple-choice,Exam,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,fail,blocker,true,false,answer_mismatch|explanation_mismatch,rationale_status_tension|answer_match_tension,6个,medium,"题目与第13题条件相同，最少需要6个小立方块，而非5个。解释中“前排第1列2个、第3列2个，后排第2列1个”总数为5，但此时从左面看，前排第1列2个、第3列2个，后排第2列1个，从左面看应为2列，第1列最高2（前排第1列），第2列最高1（后排第2列），符合条件，但正面看第2列只有后排1个，正面看第2列应为1，符合2,1,2，但此时总数为5，似乎可行？但需验证：若前排第1列2个，第2列0个，第3列2个；后排第1列0个，第2列1个，第3列0个。正面看：第1列最高2，第2列最高1，第3列最高2，符合；左面看：前排最高2（第1列和第3列都是2），后排最高1（第2列1），即左面看第1列最高2，第2列最高1，符合。总数为2+2+1=5。但第13题同样条件答案为6，且第13题解释为最少6个。实际上，这种摆放是可能的，最少应为5个。但第13题答案6个，此处答案5个，存在矛盾。重新分析：正面看3列，左面看2列，设俯视图为2行3列。正面第1列最高2，第2列最高1，第3列最高2；左面第1列最高2，第2列最高1。最少时，可让第1列和第3列的两层都在同一排（前排），第2列的一层在另一排（后排），总数为2+1+2=5。但需检查左面看：前排有第1列2、第3列2，所以前排最高2；后排只有第2列1，最高1，左面看第1列最高2，第2列最高1，符合。因此最少5个是可行的。第13题答案6个是错误的，第19题答案5个正确。但第13题已通过，此处第19题答案5个，解释合理，应通过。然而，第13题答案6个，第19题答案5个，两者矛盾，需统一。实际上，最少应为5个。故第19题答案正确，第13题答案错误。但第13题已判pass，需修正。此处第19题答案5个，解释合理，应pass。",5个,5个,一个几何体由若干个完全相同的小立方块搭成。从正面看，看到3列，从左到右每列最高层数分别为2、1、2；从左面看，看到2列，从左到右每列最高层数分别为2、1。搭成这个几何体最少需要多少个小立方块？
bnu-junior-ds-v1-s1-026,S1,upper,short-answer,Foundation,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,√145 cm,high,题目要求最短路线，解释中计算了三种路径：√185、13、√145，其中√145≈12.04最小，但答案却给出√185，与解释矛盾，答案错误。,\sqrt{185} cm,\sqrt{185} cm|√185 cm|根号185 cm|根号185厘米,一个长方体形状的包装盒，长8 cm，宽5 cm，高4 cm。一只蚂蚁从盒子外表面的一个顶点A出发，沿表面爬行到与A相对的顶点B。蚂蚁爬行的最短路线长度是多少厘米？
bnu-junior-ds-v1-s1-028,S1,upper,multiple-choice,Challenge,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,fail,blocker,true,false,answer_mismatch|explanation_mismatch,rationale_status_tension|answer_match_tension,3,medium,解释中得出3对面是4，因此与4相对的面是3，答案正确，但选项中有3，答案匹配。然而解释中“正方体相对面数字之和为7”是错误前提，题目未说明数字是1-6且相对面和为7，但根据相邻和可推导出正确结果，答案3正确。但解释逻辑有误，应基于条件推导。不过答案与选项匹配，且可解。但解释错误，应标记。,3,3,有一个密封的正方体盒子，六个面上分别标有数字1、2、3、4、5、6。已知与数字1相邻的四个面上的数字之和为14，与数字2相邻的四个面上的数字之和为13，与数字3相邻的四个面上的数字之和为12。请问与数字4相对的面上的数字是多少？
bnu-junior-ds-v1-s1-040,S1,upper,multiple-choice,Challenge,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,fail,major,true,false,answer_mismatch|explanation_mismatch,,5,high,由正视图和左视图可确定最少需要5个小立方块，解释中计算2+1+2=5正确，但最终答案写6，前后矛盾。正确答案应为5。,6,6,一个几何体由若干个相同的小立方块搭成，从正面看有3列，从左到右每列小立方块的数量分别是2、1、2；从左面看有2列，从左到右每列小立方块的数量分别是2、1。则搭成这个几何体最少需要多少个小立方块？
bnu-junior-ds-v1-s1-137,S1,upper,short-answer,Exam,bnu-junior-s1-upper-plane-figures,基本平面图形,fail,major,true,false,answer_mismatch|explanation_mismatch|missing_condition,,7.5 cm 或 3.5 cm,high,题目未明确点C的位置，需分类讨论：C在AB延长线上时MN=7.5 cm；C在线段AB上时MN=3.5 cm。原答案仅给出一种情况，不完整。,7.5 cm,7.5 cm|7.5,已知点A、B、C在同一直线上，AB=15 cm，BC=7 cm，点M是线段AC的中点，点N是线段BC的中点。求线段MN的长度。
bnu-junior-ds-v1-s1-138,S1,upper,fill-in,Core,bnu-junior-s1-upper-plane-figures,基本平面图形,fail,major,true,false,answer_mismatch|explanation_mismatch|missing_condition,,50° 或 150°,high,射线OC在∠AOB外部有两种情况，∠BOC可能为50°或150°，原答案仅取较小角，但题目未限定，应给出两种可能。,50,50|50°,已知∠AOB=80°，射线OC在∠AOB外部，且∠AOC=130°。则∠BOC=______度。
bnu-junior-ds-v1-s1-142,S1,upper,multiple-choice,Foundation,bnu-junior-s1-upper-plane-figures,基本平面图形,fail,blocker,false,false,unsolvable|missing_condition|answer_mismatch,,,high,点O为直线AB上一点，则∠AOB为平角180°，但题目说射线OC在∠AOB内部，且给出∠AOC=50°、∠BOC=30°，这与平角矛盾，条件冲突，无法求解。,80°,80°,已知点O为直线AB上一点，射线OC在∠AOB内部，且∠AOC = 50°，∠BOC = 30°。下列哪个选项正确表示了∠AOB的度数？
bnu-junior-ds-v1-s1-172,S1,upper,multiple-choice,Foundation,bnu-junior-s1-upper-linear-equations,一元一次方程,fail,major,true,false,answer_mismatch|ambiguous_mc,,,high,题目中“有一人植的树不足3棵”意味着最后一人可能植1棵或2棵，选项B（4x+16=6(x-1)+2）仅对应植2棵的情况，但若植1棵则方程应为4x+16=6(x-1)+1，题目未明确具体棵数，导致方程不唯一，选项B并非必然正确，且选项C（+3）不符合“不足3棵”。因此答案不唯一，选项设置不合理。,4x + 16 = 6(x - 1) + 2,4x + 16 = 6(x - 1) + 2,某校七年级学生参加植树活动，若每人植4棵，则剩余16棵未植；若每人植6棵，则有一人植的树不足3棵，其余人恰好植完。设学生人数为x，下列方程正确的是（ ）
bnu-junior-ds-v1-s1-175,S1,upper,multiple-choice,Foundation,bnu-junior-s1-upper-linear-equations,一元一次方程,fail,major,true,false,answer_mismatch|ambiguous_mc,,,high,与172题类似，“不足3棵”意味着最后一人可能植1棵或2棵，选项B（4x+20=5(x-1)+3）中+3表示最后一人植3棵，不符合“不足3棵”，因此选项B错误。其他选项也不正确，导致无正确选项。,4x + 20 = 5(x - 1) + 3,4x + 20 = 5(x - 1) + 3,某校七年级学生参加植树活动，如果每人植4棵树，还剩20棵树未植；如果每人植5棵树，则最后一名学生植的树不足3棵。设学生人数为x，下列方程正确的是（ ）
bnu-junior-ds-v1-s1-178,S1,upper,multiple-choice,Foundation,bnu-junior-s1-upper-linear-equations,一元一次方程,fail,major,true,false,answer_mismatch|explanation_mismatch,,,high,解释中计算x=15时方案二费用为20+4.8×15=92元，方案一120元，方案二更省钱，但答案选项A却说“购买15本时方案一更省钱”，与解释矛盾。正确结论应为方案二更省钱，且费用相等时x=25，但选项A结论错误。选项B和D中费用相等时x=20错误，选项C结论正确但费用相等时x=20错误。因此所有选项均不正确。,方案一：8x元；方案二：(20+4.8x)元；购买15本时方案一更省钱；当x=25时费用相等,方案一：8x元；方案二：(20+4.8x)元；购买15本时方案一更省钱；当x=25时费用相等,某文具店促销，购买笔记本有两种方案：方案一，每本按标价8元出售；方案二，购买会员卡需20元，之后每本按标价的6折出售。设购买笔记本x本。(1) 用含x的代数式分别表示两种方案的总费用；(2) 若购买15本，通过计算说明哪种方案更省钱；(3) 购买多少本时，两种方案总费用相等？
bnu-junior-ds-v1-s1-193,S1,upper,multiple-choice,Foundation,bnu-junior-s1-upper-linear-equations,一元一次方程,fail,blocker,true,false,ambiguous_mc|bad_options|answer_mismatch,,,high,选项C和D代入x=2均成立，导致题目有两个正确选项，不符合单选题唯一解的要求。题目本身可解，但选项设计有误，答案不唯一。,4x - 5 = 2x - 1,4x - 5 = 2x - 1,下列方程中，解为x=2的是（ ）
bnu-junior-ds-v1-s1-230,S1,upper,short-answer,Exam,bnu-junior-s1-upper-data-collection,数据的收集与整理,fail,major,true,false,answer_mismatch|explanation_mismatch,,80~89分的人数最多，有8人。,high,答案声称80~89分有7人，但解释中统计为8人，实际数据整理后80~89分有8人，答案与解释矛盾且错误。,80~89分的人数最多，有7人。,80~89分的人数最多，有7人。,"某班同学参加环保知识竞赛，成绩记录如下：85, 90, 78, 92, 88, 76, 95, 89, 84, 91, 87, 83, 80, 86, 94。请将这些数据按分数段整理，并回答：哪个分数段的人数最多？"
bnu-junior-ds-v1-s1-257,S1,lower,short-answer,Core,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,-3a^2,high,题目计算正确结果为-3a^2，但答案给出-2a^5，解释中也错误得出-3a^2，答案与解释均不匹配。,-2a^5,-2a^5,计算：(-2a^3)^2 · (-3a^2)^3 ÷ (6a^5)^2。
bnu-junior-ds-v1-s1-276,S1,lower,fill-in,Foundation,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,-2a^5b^3,high,解析计算过程正确，结果为-2a^5b^3，但答案和acceptedAnswers均为-2a^3b^3，与解析矛盾，答案错误。,-2a^3b^3,-2a^3b^3,计算：(-2a^2b)^3 ÷ (4a^3b^2) · (-ab)^2。
bnu-junior-ds-v1-s1-278,S1,lower,short-answer,Foundation,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,-3x^2,high,题目可解，但答案错误。正确计算应为-3x^2，而非-2x^2。解释中最后一步得出-3x^2，与答案矛盾。,-2x^2,-2x^2|-2 x^2,计算：(2x^3)^2 · (-3x^2)^3 ÷ (6x^5)^2，并将结果化为最简形式。
bnu-junior-ds-v1-s1-281,S1,lower,short-answer,Core,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,2a^5b^3,high,题目可解，但答案错误。正确结果应为2a^5b^3，而非2a^4b^3。解释中得出2a^5b^3，与答案矛盾。,2a^4b^3,2a^4b^3|2a^4 b^3,计算：\((-2a^2b)^3 \cdot \left(\frac{1}{2}ab^2\right)^2 \div (-a^3b^4)\)。
bnu-junior-ds-v1-s1-284,S1,lower,short-answer,Foundation,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,-6,high,题目可解，但答案错误。化简得2x-5，代入x=-1/2得-6，而非-3。解释中得出-6，与答案矛盾。,-3,-3,先化简，再求值：\((x+2)(x-2) - (x-1)^2\)，其中 \(x = -\frac{1}{2}\)。
bnu-junior-ds-v1-s1-287,S1,lower,short-answer,Core,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,fail,blocker,true,false,answer_mismatch|explanation_mismatch|accepted_answer_gap,,6a^2b + 4ab^2 + 2ab,high,题目可解，但答案错误。另一边长为3a^2b+2ab^2-ab，周长为2(2ab+3a^2b+2ab^2-ab)=6a^2b+4ab^2+2ab。答案中多出2a^2b+2ab^2-2ab，且acceptedAnswers包含错误表达式。,6a^2b + 4ab^2 + 2a^2b + 2ab^2 - 2ab,6a^2b + 4ab^2 + 2a^2b + 2ab^2 - 2ab|8a^2b + 6ab^2 - 2ab,"已知长方形的面积为 \(6a^3b^2 + 4a^2b^3 - 2a^2b^2\)，一边长为 \(2ab\)，求其周长。（用含 \(a, b\) 的代数式表示）"
bnu-junior-ds-v1-s1-292,S1,lower,multiple-choice,Foundation,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,-72a^5b^3,high,题目计算(-2a^2)^3·(3ab^2)^2÷(a^3b)，正确结果为-72a^5b^3，但答案给出-72a^4b^3，解释中也错误地得出-72a^5b^3，答案与解释矛盾且均错误。,-72a^4b^3,-72a^4b^3,计算：(-2a^2)^3 · (3ab^2)^2 ÷ (a^3b) 的结果是（ ）。
bnu-junior-ds-v1-s1-293,S1,lower,short-answer,Core,bnu-junior-s1-lower-polynomial-multiply-divide,整式的乘除,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,72a^5b^3,high,题目计算(-2a^2b)^3·(3ab^2)^2÷(-a^3b^4)，正确结果为72a^5b^3，但答案给出72a^3b^3，解释中得出72a^5b^3，答案与解释不一致且答案错误。,72a^3b^3,72a^3b^3|72 a^3 b^3,计算：(-2a^2b)^3 · (3ab^2)^2 ÷ (-a^3b^4)。
bnu-junior-ds-v1-s1-296,S1,lower,short-answer,Foundation,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,10°,high,题目求∠EOD，由∠AOC=130°得∠AOD=50°，∠EOD=∠AOD-∠AOE=10°，但答案给出90°，解释中得出10°，答案与解释矛盾且答案错误。,90°,90°|90,已知直线AB与直线CD相交于点O，射线OE在∠AOD内部，且∠AOE＝40°。若∠AOC＝130°，求∠EOD的度数。
bnu-junior-ds-v1-s1-307,S1,lower,multiple-choice,Core,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,125°,high,题目求∠AOD，由OE⊥AB得∠AOE=90°，∠AOC=90°-55°=35°，∠AOD与∠AOC是邻补角，∠AOD=180°-35°=145°，但选项无145°。若考虑∠AOD与∠BOC对顶，∠BOC=90°+55°=145°，仍无匹配。检查解释：解释中计算了∠AOC=35°，但未求∠AOD，答案35°错误。正确应为∠AOD=180°-35°=145°或∠AOD=∠BOC=145°，但选项无145°。若∠COE=55°在∠AOE内部，则∠AOC=35°，∠AOD=145°；若∠COE在∠AOE外部，则∠AOC=90°+55°=145°，∠AOD=35°。题目未明确射线位置，但常见情况∠AOD=145°。选项无145°，故题目有误。,35°,35°,已知直线 AB 与 CD 相交于点 O，OE ⊥ AB。若 ∠COE = 55°，则 ∠AOD 的度数是（ ）
bnu-junior-ds-v1-s1-311,S1,lower,short-answer,Core,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,40°,high,题目中∠AOE=30°，∠EOD=70°，则∠AOD=100°，对顶角∠BOC=100°，邻补角∠BOD=80°。MN⊥CD，∠MOD=90°，点M在AB上方，OM在∠BOD内部，∠BOM=∠MOD-∠BOD？错误。正确：∠BOD=80°，∠MOD=90°，若OM在∠BOD内部，则∠BOM=∠MOD-∠BOD=10°；若OM在∠BOD外部，则∠BOM=∠BOD+∠MOD=170°。解释中数值矛盾（∠AOE=20°，∠EOD=30°），且计算错误。答案40°与题目条件不符。,∠BOM＝40°,∠BOM＝40°|40°|40,已知直线AB与直线CD相交于点O，射线OE在∠AOD内部，且∠AOE＝30°，∠EOD＝70°。直线MN过点O，且MN⊥CD，垂足为O，点M在直线AB的上方。求∠BOM的度数。
bnu-junior-ds-v1-s1-312,S1,lower,fill-in,Foundation,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,65°,high,由对顶角得∠BOD=80°，邻补角∠AOD=100°，∠EOD=100°-35°=65°，答案应为65°，但给出的答案是45°，解释中也算出65°，答案与解释矛盾。,45°,45°|45度,已知直线AB与CD相交于点O，射线OE在∠AOD内部，且∠AOE=35°。若∠AOC=80°，求∠EOD的度数。
bnu-junior-ds-v1-s1-315,S1,lower,fill-in,Core,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,95°,high,答案应为95°，但题目给出15°，且解释中计算正确但答案错误，答案与解释矛盾。,15°,15°|15度,已知直线AB与CD相交于点O，射线OE在∠AOD内部，且∠AOE=35°。若∠BOD=50°，求∠EOD的度数。
bnu-junior-ds-v1-s1-317,S1,lower,short-answer,Core,bnu-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,fail,blocker,true,false,answer_mismatch|explanation_mismatch,,80°,high,答案字段写为50°但推理得80°，解释正确但答案错误，acceptedAnswers包含80°但主答案错误。,∠BOD＝50°。理由：由∠AOE＝50°，∠COE＝130°，得∠AOC＝∠COE－∠AOE＝80°。因为∠AOC与∠BOD是对顶角，所以∠BOD＝∠AOC＝80°。,∠BOD＝50°。理由：由∠AOE＝50°，∠COE＝130°，得∠AOC＝∠COE－∠AOE＝80°。因为∠AOC与∠BOD是对顶角，所以∠BOD＝∠AOC＝80°。|∠BOD＝80°|80°,已知直线AB与直线CD相交于点O，射线OE在∠AOD内部，且∠AOE＝50°。若∠COE＝130°，求∠BOD的度数，并说明每一步推理的依据。
