id,grade,semester,type,difficulty,topicId,topicTitleZhHans,volume,chapter,status,severity,confidence,solvableStatus,answerMatchStatus,explanationMatchStatus,independentAnswer,correctedAnswer,issueTags,qaOutputConcernTags,rationaleZhHans,answer,acceptedAnswers,promptZhHans
bnu-high-ds-v1-s4-004,S4,upper,multiple-choice,Challenge,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,pass,fail,fail,必要不充分条件,必要不充分条件,math_error|answer_mismatch|explanation_contradiction,,"题目可解。p的解集为[1,3]，q的解集为[2,3]。p不是q的子集，q是p的子集，故p是q的必要不充分条件。但答案和解析前半部分错误地给出“充要条件”，解析后半部分又自我纠正为“必要不充分条件”，与答案矛盾。",充要条件,充要条件,已知条件p：|x - 2| ≤ 1，条件q：x² - 5x + 6 ≤ 0，则p是q的（ ）
bnu-high-ds-v1-s4-009,S4,upper,fill-in,Core,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,fail,fail,fail,"(-∞, +∞)","(-∞, +∞)",math_error|answer_mismatch|explanation_contradiction,,"不等式2^{x²-3x}>1/8即2^{x²-3x}>2⁻³，底数2>1，指数函数递增，得x²-3x>-3，即x²-3x+3>0，判别式Δ=-3<0，恒成立，解集为R。题目答案(-∞,1)∪(2,+∞)错误，解析虽指出恒成立但未修正答案，自相矛盾。","(-∞, 1) ∪ (2, +∞)","(-∞, 1) ∪ (2, +∞) | (-∞,1)∪(2,+∞)",不等式 2^{x² - 3x} > 1/8 的解集用区间表示为______。
bnu-high-ds-v1-s4-014,S4,upper,short-answer,Foundation,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,pass,fail,fail,"[-2, 2]","[-2, 2]",math_error|answer_mismatch|explanation_contradiction,,"解不等式组：2x-1<x+3得x<4，x²-4≤0得-2≤x≤2，交集为[-2,2]。题目答案[-2,4)错误，解析虽指出应为[-2,2]但未修正答案，自相矛盾。","[-2, 4)","[-2, 4)","解不等式组：{ 2x - 1 < x + 3,  x² - 4 ≤ 0 }，并将解集用区间表示。"
bnu-high-ds-v1-s4-019,S4,upper,multiple-choice,Exam,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,major,high,pass,pass,fail,A ∈ B,,explanation_contradiction,,题目可解，B是A的幂集，A是A的子集，故A∈B正确。但解析中称“{1}∈B”正确，而选项C为“{1} ∈ B”，解析未指出C也正确，导致多选题歧义。实际上{1}∈B也成立，但题目为单选，答案仅选A∈B，解析未说明为何不选C，存在解释矛盾。,A ∈ B,A ∈ B,"已知集合 A = {1, 2, 3, 4}，B = {x | x ⊆ A}，则下列关系中正确的是（ ）"
bnu-high-ds-v1-s4-020,S4,upper,short-answer,Challenge,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,pass,fail,fail,充要条件,充要条件,answer_mismatch|explanation_contradiction,,p：|x-1|≤2得-1≤x≤3；q：x²-2x-3≤0得-1≤x≤3，p与q等价，应为充要条件。答案“充分不必要条件”错误，解析已指出错误并修正为充要条件，但答案字段未更新。,充分不必要条件,充分不必要条件,已知 p：|x - 1| ≤ 2，q：x² - 2x - 3 ≤ 0。判断 p 是 q 的什么条件，并说明理由。
bnu-high-ds-v1-s4-024,S4,upper,fill-in,Challenge,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,pass,fail,fail,0,0,answer_mismatch|explanation_contradiction,,"由解集(-1,2)知a<0，-1和2是ax²+bx+2=0的根。韦达定理：-1+2=-b/a，-1×2=2/a，解得a=-1，b=1，a+b=0。答案“-1”错误，解析已算出a+b=0，但答案字段未更新。",-1,-1,"若关于x的不等式ax² + bx + 2 > 0的解集为(-1, 2)，则a + b的值为______。"
bnu-high-ds-v1-s4-032,S4,upper,short-answer,Challenge,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,pass,fail,fail,-14,-14,math_error|answer_mismatch|explanation_contradiction,,由解集知a<0，对应方程根为-1/2和1/3，韦达定理得-b/a=-1/6，2/a=-1/6，解得a=-12，b=-2，a+b=-14，但答案和解析均错误给出-10，解析中计算过程也矛盾。,-10,-10,已知关于 x 的不等式 ax² + bx + 2 > 0 的解集为 {x | -1/2 < x < 1/3}。求 a + b 的值。
bnu-high-ds-v1-s4-033,S4,upper,fill-in,Core,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,pass,fail,fail,"(-1, 2]","(-1, 2]",math_error|answer_mismatch|explanation_contradiction,,"独立求解得A=[-1,2]，B=(-1,5)，交集为(-1,2]。题目答案[-1,5)错误，解析虽正确得出(-1,2]但与答案矛盾。","[-1, 5)","[-1, 5) | [-1,5)",设集合 A = {x | |2x - 1| ≤ 3}，B = {x | x² - 4x - 5 < 0}。则 A ∩ B 用区间表示为______。
bnu-high-ds-v1-s4-043,S4,upper,multiple-choice,Exam,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,pass,pass,fail,"[-1, 0] 和 [2, +∞)",,explanation_contradiction,,"解析称x>0时在(0,2]递增，但正确答案包含[2,+∞)递增，解析自相矛盾且与答案不符。","[-1, 0] 和 [2, +∞)","[-1, 0] 和 [2, +∞)","已知函数 f(x) = { x^2 + 2x, x ≤ 0; -x^2 + 4x, x > 0 }，则 f(x) 的单调递增区间是（ ）"
bnu-high-ds-v1-s4-045,S4,upper,fill-in,Core,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,pass,fail,fail,6,6,math_error|answer_mismatch|explanation_contradiction,,"独立计算值域为[2,4]，m+M=6，但答案为10，解析也得出6，答案与解析矛盾且错误。",10,10,"若函数 f(x) = (x + 1)/(x - 2) 在区间 [3, 5] 上的值域为 [m, M]，则 m + M = _______。"
bnu-high-ds-v1-s4-055,S4,upper,multiple-choice,Exam,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,pass,fail,fail,"(-∞, 1/3) ∪ (1, +∞)","(-∞, 1/3) ∪ (1, +∞)",math_error|answer_mismatch|explanation_contradiction,,"偶函数在[0,+∞)减，得(-∞,0]增，f(m)>f(2m-1)等价于|m|<|2m-1|，平方解得m<1/3或m>1，无其他限制，正确解集应为(-∞,1/3)∪(1,+∞)，选项B。原答案(1/3,1)错误，解析中“检验得m∈(1/3,1)”无依据且与不等式矛盾。","(1/3, 1)","(1/3, 1)","已知函数 f(x) 是定义在 R 上的偶函数，且在 [0,+∞) 上单调递减。若 f(m)>f(2m-1)，则实数 m 的取值范围是（ ）。"
bnu-high-ds-v1-s4-056,S4,upper,short-answer,Challenge,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,pass,fail,fail,9,9,math_error|answer_mismatch|explanation_contradiction,,由条件得f(0)=0，f(-x)=2x^2-f(x)，f(1)=1得f(2)=4，f(3)=9，f(-3)=2×9-9=9。原答案15错误，解析中计算混乱且最终未给出正确值。,15,15,"已知函数 f(x) 的定义域为 R，且对任意实数 x,y 满足 f(x+y)=f(x)+f(y)+2xy。若 f(1)=1，求 f(-3) 的值。"
bnu-high-ds-v1-s4-057,S4,upper,fill-in,Core,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,pass,fail,fail,1,1,math_error|answer_mismatch|explanation_contradiction,,由奇函数得c=0，a=0，代入f(1)=2得b=1，a+b+c=1。答案0错误，解析也指出应为1，与答案矛盾。,0,0,已知函数 f(x)=x^3+ax^2+bx+c 是定义在 R 上的奇函数，且 f(1)=2，f(2)=10。则 a+b+c 的值为______。
bnu-high-ds-v1-s4-058,S4,upper,multiple-choice,Foundation,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,fail,fail,fail,,,bad_options|unsolvable|explanation_contradiction,,选项C y=|x|+1/x非奇非偶，不满足偶函数条件，无正确选项。解析也指出无正确选项，题目不可解。,y = |x| + 1/x,y = |x| + 1/x,"下列函数中，既是偶函数又在区间 (0, +∞) 上单调递增的是（ ）。"
bnu-high-ds-v1-s4-060,S4,upper,fill-in,Challenge,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,pass,fail,fail,2024×1012+1,2024×1012+1,math_error|answer_mismatch|explanation_contradiction,,由f(x+1)-f(x-1)=2x累加得f(2024)=2024×1012+1，与答案2023×2024+1不符。解析也指出不符，题目条件与答案矛盾。,2023×2024+1,2023×2024+1 | 2023*2024+1,已知函数 f(x) 的定义域为 R，且对任意实数 x 满足 f(x+1)=f(x-1)+2x。若 f(0)=1，则 f(2024) 的值为______。
bnu-high-ds-v1-s4-061,S4,upper,multiple-choice,Core,bnu-high-s4-函数,函数,必修 第一册,函数,warn,major,medium,pass,pass,weak,f(x) 是奇函数,,ambiguous_mc,,f(x)是奇函数正确，但值域为R也正确，题目为单选，存在两个正确选项，造成歧义。解析承认值域为R但未处理多选问题。,f(x) 是奇函数,f(x) 是奇函数,已知函数 f(x) 的定义域为 R，且满足 f(x) = x^3 - 3x。关于该函数，下列判断正确的是：
bnu-high-ds-v1-s4-067,S4,upper,multiple-choice,Exam,bnu-high-s4-函数,函数,必修 第一册,函数,fail,blocker,high,fail,fail,fail,"f(x) 的值域为 (-∞, -2] ∪ [2, +∞)","f(x) 的值域为 (-∞, -2] ∪ [2, +∞)",ambiguous_mc|answer_mismatch|explanation_contradiction,,选项C正确，解析也承认C正确，但答案选A且解释称奇函数判断更直接，造成多选或无唯一正确选项，违反单选题要求。,f(x) 是奇函数,f(x) 是奇函数,已知函数 f(x) = (x^2 + 1)/(x)，则下列结论正确的是：
