lesson_id,topic_id,grade,semester,unit_title,automated_validation,release_decision,s18_decision,s09_decision,s05_decision,s11_post_integration_route_smoke,notes
mainland-pep-junior-lesson-01,pep-junior-s1-upper-rational-numbers,S1,upper,有理数与数轴基础,passed,approved,approved,approved,approved,pending-route-smoke,
mainland-pep-junior-lesson-02,pep-junior-s1-upper-expressions-linear-equations,S1,upper,整式初步与一元一次方程,passed,approved,approved,approved,approved,pending-route-smoke,
mainland-pep-junior-lesson-03,pep-junior-s1-upper-geometric-figures,S1,upper,几何图形初步,passed,approved,approved,approved,approved,pending-route-smoke,
mainland-pep-junior-lesson-04,pep-junior-s1-lower-lines-coordinates,S1,lower,相交线、平行线与平面直角坐标系,passed,approved,approved,approved,approved,pending-route-smoke,
mainland-pep-junior-lesson-05,pep-junior-s1-lower-equations-inequalities-data,S1,lower,二元一次方程组、不等式与数据初步,passed,approved,approved,approved,approved,pending-route-smoke,
mainland-pep-junior-lesson-06,pep-junior-s2-upper-triangles-congruence,S2,upper,三角形、全等与轴对称,passed,approved,approved,approved,approved,pending-route-smoke,
mainland-pep-junior-lesson-07,pep-junior-s2-upper-polynomials-fractions,S2,upper,整式乘法、因式分解与分式,passed,approved,approved,approved,approved,pending-route-smoke,
mainland-pep-junior-lesson-08,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,S2,lower,二次根式、勾股定理与平行四边形,passed,approved,approved,approved,approved,pending-route-smoke,
mainland-pep-junior-lesson-09,pep-junior-s2-lower-linear-functions-data,S2,lower,一次函数与数据分析,passed,approved,approved,approved,approved,pending-route-smoke,
mainland-pep-junior-lesson-10,pep-junior-s3-upper-quadratics-circle-probability,S3,upper,一元二次方程、二次函数、圆与概率初步,passed,approved,approved,approved,approved,pending-route-smoke,
mainland-pep-junior-lesson-11,pep-junior-s3-lower-inverse-similarity-trigonometry,S3,lower,反比例函数、相似与锐角三角函数,passed,approved,approved,approved,approved,pending-route-smoke,
