"questionId","grade","volume","chapter","type","difficulty","answer","acceptedAnswers","qaStatus","severity","issueCodes","issueDetails","recommendedAction"
"hjb-high-ds-v2-s4-001","S4","必修 第一册","集合与逻辑","multiple-choice","Core","{1,3}","{1,3}","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v2-s4-002","S4","必修 第一册","集合与逻辑","fill-in","Challenge","{0, 1/2, 1/3}","{0, 1/2, 1/3} | {0,1/2,1/3}","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v2-s4-003","S4","必修 第一册","集合与逻辑","short-answer","Foundation","{0,2}","{0,2} | {0, 2}","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v2-s4-004","S4","必修 第一册","集合与逻辑","multiple-choice","Exam","a ≥ 3","a ≥ 3 | a>=3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v2-s4-005","S4","必修 第一册","集合与逻辑","fill-in","Core","(-∞, -1) ∪ (3, +∞)","(-∞, -1) ∪ (3, +∞) | (-∞,-1)∪(3,+∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v2-s4-006","S4","必修 第一册","集合与逻辑","short-answer","Challenge","a = 2 或 a = 3","a = 2 或 a = 3 | a=2或a=3","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v2-s4-007","S4","必修 第一册","集合与逻辑","multiple-choice","Foundation","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v2-s4-008","S4","必修 第一册","集合与逻辑","fill-in","Exam","m ≤ 1","m ≤ 1 | m≤1","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v2-s4-009","S4","必修 第一册","集合与逻辑","short-answer","Core","-1","-1","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v2-s4-010","S4","必修 第一册","集合与逻辑","multiple-choice","Challenge","充分不必要条件","充分不必要条件","pass","none","","","Include in S18 pass-sample review before app integration."
"hjb-high-ds-v2-s4-011","S4","必修 第一册","集合与逻辑","fill-in","Foundation","{2, 4, 6, 8}","{2, 4, 6, 8} | {2,4,6,8}","pass","none","","","Include in S18 pass-sample review before app integration."
