"id","grade","semester","topicId","unitTitle","type","difficulty","reviewReason","reviewStatus","reviewer","reviewNotes"
"bnu-primary-ds-v1-p1-002","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","fill-in","Core","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-009","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","short-answer","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-010","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Core","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-011","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","fill-in","Challenge","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-013","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-015","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","short-answer","Challenge","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-018","P1","upper","bnu-primary-p1-upper-comparison","比较","short-answer","Core","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-024","P1","upper","bnu-primary-p1-upper-comparison","比较","short-answer","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-044","P1","upper","bnu-primary-p1-upper-within-10-add-sub","加与减（一）","fill-in","Challenge","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-048","P1","upper","bnu-primary-p1-upper-within-10-add-sub","加与减（一）","short-answer","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-054","P1","upper","bnu-primary-p1-upper-classification","分类","short-answer","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-057","P1","upper","bnu-primary-p1-upper-classification","分类","short-answer","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-063","P1","upper","bnu-primary-p1-upper-classification","分类","short-answer","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-064","P1","upper","bnu-primary-p1-upper-classification","分类","multiple-choice","Core","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-069","P1","upper","bnu-primary-p1-upper-position-order","位置与顺序","short-answer","Core","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-074","P1","upper","bnu-primary-p1-upper-position-order","位置与顺序","fill-in","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-082","P1","upper","bnu-primary-p1-upper-solid-shapes","认识图形","multiple-choice","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-086","P1","upper","bnu-primary-p1-upper-solid-shapes","认识图形","fill-in","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-099","P1","upper","bnu-primary-p1-upper-within-20-add-sub","加与减（二）","short-answer","Core","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-104","P1","upper","bnu-primary-p1-upper-within-20-add-sub","加与减（二）","fill-in","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-108","P1","upper","bnu-primary-p1-upper-within-20-add-sub","加与减（二）","short-answer","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-115","P1","upper","bnu-primary-p1-upper-clock-introduction","认识钟表","multiple-choice","Core","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-119","P1","upper","bnu-primary-p1-upper-clock-introduction","认识钟表","fill-in","Core","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-123","P1","upper","bnu-primary-p1-upper-clock-introduction","认识钟表","short-answer","Core","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-131","P1","upper","bnu-primary-p1-upper-review","一年级上册整理与复习","fill-in","Core","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-132","P1","upper","bnu-primary-p1-upper-review","一年级上册整理与复习","short-answer","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-133","P1","upper","bnu-primary-p1-upper-review","一年级上册整理与复习","multiple-choice","Core","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
"bnu-primary-ds-v1-p1-138","P1","upper","bnu-primary-p1-upper-review","一年级上册整理与复习","short-answer","Foundation","grade-pass-sample","approved","S18","Manual sample approved for public integration after deterministic audit pass and v1 minor-warning remediation."
