id,topicId,slot,reviewStatus,decision,candidatePath,srcAfterApproval,altZhHans,captionZhHans,ragCardIds,reviewerNotes
pep-junior-s1-upper-rational-numbers-concept,pep-junior-s1-upper-rational-numbers,concept,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s1-upper-rational-numbers/concept.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s1-upper-rational-numbers/concept.png,数轴以零为中心展开，正负方向、相反数镜像点和到零的距离被不同颜色突出。,有理数学习先把方向、位置和距离放在同一条数轴上理解。,pep-junior-s1-upper-rational-numbers,"Review 有理数与数轴 concept illustration for math correctness, source distance, and age fit."
pep-junior-s1-upper-rational-numbers-worked-example,pep-junior-s1-upper-rational-numbers,worked-example,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s1-upper-rational-numbers/worked-example.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s1-upper-rational-numbers/worked-example.png,数轴运算工作区用弧形移动箭头表示起点、方向变化、终点和距离检查。,先看移动方向，再用离零距离和终点位置检查有理数运算。,pep-junior-s1-upper-rational-numbers,"Review 有理数与数轴 worked example illustration for math correctness, source distance, and age fit."
pep-junior-s1-upper-expressions-linear-equations-concept,pep-junior-s1-upper-expressions-linear-equations,concept,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s1-upper-expressions-linear-equations/concept.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s1-upper-expressions-linear-equations/concept.png,天平两侧放置空白代数块，同色块成组，显示数量表达和方程平衡关系。,用字母表示数量时，先看同类结构，再保持等式两边平衡。,pep-junior-s1-upper-expressions-linear-equations,"Review 整式初步与一元一次方程 concept illustration for math correctness, source distance, and age fit."
pep-junior-s1-upper-expressions-linear-equations-worked-example,pep-junior-s1-upper-expressions-linear-equations,worked-example,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s1-upper-expressions-linear-equations/worked-example.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s1-upper-expressions-linear-equations/worked-example.png,解方程视觉流程展示两边同时移去相同空白块，最后留下未知块与单位块的对应。,解一元一次方程的关键是每一步都对等式两边做相同改变。,pep-junior-s1-upper-expressions-linear-equations,"Review 整式初步与一元一次方程 worked example illustration for math correctness, source distance, and age fit."
pep-junior-s1-upper-geometric-figures-concept,pep-junior-s1-upper-geometric-figures,concept,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s1-upper-geometric-figures/concept.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s1-upper-geometric-figures/concept.png,点、线、射线、线段、角和透明立体图形被排列成几何对象学习图。,几何推理从准确识别对象和定义开始，而不是只凭图形外观判断。,pep-junior-s1-upper-geometric-figures,"Review 几何图形初步 concept illustration for math correctness, source distance, and age fit."
pep-junior-s1-upper-geometric-figures-worked-example,pep-junior-s1-upper-geometric-figures,worked-example,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s1-upper-geometric-figures/worked-example.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s1-upper-geometric-figures/worked-example.png,几何作图检查区展示线段端点、圆规弧迹、角度弧和长度比较线索。,比较线段或角时，要让测量和作图证据支持结论。,pep-junior-s1-upper-geometric-figures,"Review 几何图形初步 worked example illustration for math correctness, source distance, and age fit."
pep-junior-s1-lower-lines-coordinates-concept,pep-junior-s1-lower-lines-coordinates,concept,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s1-lower-lines-coordinates/concept.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s1-lower-lines-coordinates/concept.png,平行线被截线穿过并高亮角关系，旁边坐标网格展示点的水平和竖直移动。,角关系需要线的位置条件，坐标移动需要分清横向和纵向变化。,pep-junior-s1-lower-lines-coordinates,"Review 相交线、平行线与平面直角坐标系 concept illustration for math correctness, source distance, and age fit."
pep-junior-s1-lower-lines-coordinates-worked-example,pep-junior-s1-lower-lines-coordinates,worked-example,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s1-lower-lines-coordinates/worked-example.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s1-lower-lines-coordinates/worked-example.png,例题图把同位角弧与坐标点移动并列，用颜色区分角条件和位置变化。,先确认平行条件，再读角；先看横向移动，再看竖向移动。,pep-junior-s1-lower-lines-coordinates,"Review 相交线、平行线与平面直角坐标系 worked example illustration for math correctness, source distance, and age fit."
pep-junior-s1-lower-equations-inequalities-data-concept,pep-junior-s1-lower-equations-inequalities-data,concept,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s1-lower-equations-inequalities-data/concept.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s1-lower-equations-inequalities-data/concept.png,两个约束路径汇合到公共点，不等式区间和数据点云并列显示模型、解集与数据判断。,方程组、不等式和数据分析都在回答条件能支持什么结论。,pep-junior-s1-lower-equations-inequalities-data,"Review 方程组、不等式与数据初步 concept illustration for math correctness, source distance, and age fit."
pep-junior-s1-lower-equations-inequalities-data-worked-example,pep-junior-s1-lower-equations-inequalities-data,worked-example,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s1-lower-equations-inequalities-data/worked-example.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s1-lower-equations-inequalities-data/worked-example.png,解题工作区展示约束收窄、边界点检查和数据点分组形成合理结论。,先定义限制条件，再检查边界，最后让数据结论不过度延伸。,pep-junior-s1-lower-equations-inequalities-data,"Review 方程组、不等式与数据初步 worked example illustration for math correctness, source distance, and age fit."
pep-junior-s2-upper-triangles-congruence-concept,pep-junior-s2-upper-triangles-congruence,concept,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s2-upper-triangles-congruence/concept.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s2-upper-triangles-congruence/concept.png,两个三角形用对应边角颜色连接，旁边轴对称图形展示镜像和对应点。,全等和对称都要先找清楚对应关系，再使用性质或判定。,pep-junior-s2-upper-triangles-congruence,"Review 三角形、全等与轴对称 concept illustration for math correctness, source distance, and age fit."
pep-junior-s2-upper-triangles-congruence-worked-example,pep-junior-s2-upper-triangles-congruence,worked-example,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s2-upper-triangles-congruence/worked-example.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s2-upper-triangles-congruence/worked-example.png,证明示意图在共享边三角形中标出对应边和角，并用折叠线提示对称关系。,写证明前，先确认对应顶点、对应边角和足够的判定条件。,pep-junior-s2-upper-triangles-congruence,"Review 三角形、全等与轴对称 worked example illustration for math correctness, source distance, and age fit."
pep-junior-s2-upper-polynomials-fractions-concept,pep-junior-s2-upper-polynomials-fractions,concept,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s2-upper-polynomials-fractions/concept.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s2-upper-polynomials-fractions/concept.png,空白彩色矩形块从面积模型重组为分组结构，并显示上下匹配块的约分线索。,整式运算和分式化简都要先看结构，再进行符号运算。,pep-junior-s2-upper-polynomials-fractions,"Review 整式乘法、因式分解与分式 concept illustration for math correctness, source distance, and age fit."
pep-junior-s2-upper-polynomials-fractions-worked-example,pep-junior-s2-upper-polynomials-fractions,worked-example,approved,approved,coordination/content-qa/mainland-pep-junior-illustrations-v1/candidates/pep-junior-s2-upper-polynomials-fractions/worked-example.png,/lesson-illustrations/mainland-pep-junior/pep-junior-s2-upper-polynomials-fractions/worked-example.png,例题图展示展开块、共同分组、匹配块消去和分母限制的视觉提醒。,因式分解要能反向展开检查，分式方程还要检查限制条件。,pep-junior-s2-upper-polynomials-fractions,"Review 整式乘法、因式分解与分式 worked example illustration for math correctness, source distance, and age fit."
