id,grade,batch,chapter,type,difficulty,severity,issueCodes,cluster,decision,repairType,oldPromptZhHans,newPromptZhHans,oldOptionsZhHans,newOptionsZhHans,oldAnswer,newAnswer,oldAcceptedAnswers,newAcceptedAnswers,oldExplanationZhHans,newExplanationZhHans,adjudicationNotes
hjb-high-ds-v1-s4-051,S4,hjb-v1,等式与不等式,short-answer,Foundation,P1,ambiguous-prompt,right-end-constant,fixed,prompt-clarification,变式0051：解答：解不等式 x+8>18，并写出解集右端常数的值。,变式0051：解答：解不等式 x+8>18，并写出解集右端常数的值。,,,10,10,10,10,两边同时减去 8，得 x>18-8=10，所以解集右端常数为 10。,两边同时减去 8，得 x>18-8=10，所以解集右端常数为 10。,Already remediated to ask for the right-side constant after solving the inequality.
hjb-high-ds-v1-s4-052,S4,hjb-v1,等式与不等式,multiple-choice,Exam,P1,ambiguous-prompt,right-end-constant,fixed,prompt-clarification,变式0052：选择：解不等式 x+11>8，并写出解集右端常数的值。,变式0052：选择：解不等式 x+11>8，并写出解集右端常数的值。,-3 | -2 | -4 | -1,-3 | -2 | -4 | -1,-3,-3,-3,-3,两边同时减去 11，得 x>8-11=-3，所以解集右端常数为 -3。,两边同时减去 11，得 x>8-11=-3，所以解集右端常数为 -3。,Already remediated to ask for the right-side constant after solving the inequality.
hjb-high-ds-v1-s4-053,S4,hjb-v1,等式与不等式,fill-in,Core,P1,ambiguous-prompt,right-end-constant,fixed,prompt-clarification,变式0053：填空：解不等式 x+11>8，并写出解集右端常数的值。,变式0053：填空：解不等式 x+11>8，并写出解集右端常数的值。,,,-3,-3,-3,-3,两边同时减去 11，得 x>8-11=-3，所以解集右端常数为 -3。,两边同时减去 11，得 x>8-11=-3，所以解集右端常数为 -3。,Already remediated to ask for the right-side constant after solving the inequality.
hjb-high-ds-v1-s4-054,S4,hjb-v1,等式与不等式,short-answer,Challenge,P1,ambiguous-prompt,right-end-constant,fixed,prompt-clarification,变式0054：解答：解不等式 x+7>16，并写出解集右端常数的值。,变式0054：解答：解不等式 x+7>16，并写出解集右端常数的值。,,,9,9,9,9,两边同时减去 7，得 x>16-7=9，所以解集右端常数为 9。,两边同时减去 7，得 x>16-7=9，所以解集右端常数为 9。,Already remediated to ask for the right-side constant after solving the inequality.
hjb-high-ds-v1-s4-055,S4,hjb-v1,等式与不等式,multiple-choice,Foundation,P1,ambiguous-prompt,right-end-constant,fixed,prompt-clarification,变式0055：选择：解不等式 x+5>9，并写出解集右端常数的值。,变式0055：选择：解不等式 x+5>9，并写出解集右端常数的值。,5 | 4 | 3 | 6,5 | 4 | 3 | 6,4,4,4,4,两边同时减去 5，得 x>9-5=4，所以解集右端常数为 4。,两边同时减去 5，得 x>9-5=4，所以解集右端常数为 4。,Already remediated to ask for the right-side constant after solving the inequality.
hjb-high-ds-v1-s4-056,S4,hjb-v1,等式与不等式,fill-in,Exam,P1,ambiguous-prompt,right-end-constant,fixed,prompt-clarification,变式0056：填空：解不等式 x+8>19，并写出解集右端常数的值。,变式0056：填空：解不等式 x+8>19，并写出解集右端常数的值。,,,11,11,11,11,两边同时减去 8，得 x>19-8=11，所以解集右端常数为 11。,两边同时减去 8，得 x>19-8=11，所以解集右端常数为 11。,Already remediated to ask for the right-side constant after solving the inequality.
hjb-high-ds-v1-s4-057,S4,hjb-v1,等式与不等式,short-answer,Core,P1,ambiguous-prompt,right-end-constant,fixed,prompt-clarification,变式0057：解答：解不等式 x+10>12，并写出解集右端常数的值。,变式0057：解答：解不等式 x+10>12，并写出解集右端常数的值。,,,2,2,2,2,两边同时减去 10，得 x>12-10=2，所以解集右端常数为 2。,两边同时减去 10，得 x>12-10=2，所以解集右端常数为 2。,Already remediated to ask for the right-side constant after solving the inequality.
hjb-high-ds-v1-s4-058,S4,hjb-v1,等式与不等式,multiple-choice,Challenge,P1,ambiguous-prompt,right-end-constant,fixed,prompt-clarification,变式0058：选择：解不等式 x+2>18，并写出解集右端常数的值。,变式0058：选择：解不等式 x+2>18，并写出解集右端常数的值。,17 | 15 | 16 | 18,17 | 15 | 16 | 18,16,16,16,16,两边同时减去 2，得 x>18-2=16，所以解集右端常数为 16。,两边同时减去 2，得 x>18-2=16，所以解集右端常数为 16。,Already remediated to ask for the right-side constant after solving the inequality.
hjb-high-ds-v1-s4-059,S4,hjb-v1,等式与不等式,fill-in,Foundation,P1,ambiguous-prompt,right-end-constant,fixed,prompt-clarification,变式0059：填空：解不等式 x+11>10，并写出解集右端常数的值。,变式0059：填空：解不等式 x+11>10，并写出解集右端常数的值。,,,-1,-1,-1,-1,两边同时减去 11，得 x>10-11=-1，所以解集右端常数为 -1。,两边同时减去 11，得 x>10-11=-1，所以解集右端常数为 -1。,Already remediated to ask for the right-side constant after solving the inequality.
hjb-high-ds-v1-s4-060,S4,hjb-v1,等式与不等式,short-answer,Exam,P1,ambiguous-prompt,right-end-constant,fixed,prompt-clarification,变式0060：解答：解不等式 x+5>6，并写出解集右端常数的值。,变式0060：解答：解不等式 x+5>6，并写出解集右端常数的值。,,,1,1,1,1,两边同时减去 5，得 x>6-5=1，所以解集右端常数为 1。,两边同时减去 5，得 x>6-5=1，所以解集右端常数为 1。,Already remediated to ask for the right-side constant after solving the inequality.
