"reviewId","grade","stage","topicId","unitTitle","routeName","stations","busStops","reviewFocus"
"roadmap-review-01","P1","primary","pep-primary-p1-upper-number-sense","20以内数感","人教版小学一年级 · 20以内数感","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学一年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：20以内数感 / 练习场题组已关联 / 20以内数感 / 认读 / 比较 / 数学语言与表示 / 20以内数感表示 / 认读关系 / 图形、表格、算式互译 / 步骤表达与推理 / 20以内数感易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-02","P1","primary","pep-primary-p1-upper-shapes-position-time","图形、位置与整时","人教版小学一年级 · 图形、位置与整时","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学一年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：图形、位置与整时 / 练习场题组已关联 / 图形 / 位置 / 整时 / 数学语言与表示 / 图形表示 / 位置关系 / 图形、表格、算式互译 / 步骤表达与推理 / 图形易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-03","P1","primary","pep-primary-p1-lower-within-100-add-sub","100以内数与加减法","人教版小学一年级 · 100以内数与加减法","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学一年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：100以内数与加减法 / 练习场题组已关联 / 100以内数 / 加减法 / 理解十位个位 / 数学语言与表示 / 100以内数表示 / 加减法关系 / 图形、表格、算式互译 / 步骤表达与推理 / 100以内数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-04","P1","primary","pep-primary-p1-lower-money-data-review","人民币、时间与数据","人教版小学一年级 · 人民币、时间与数据","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学一年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：人民币、时间与数据 / 练习场题组已关联 / 人民币 / 时间 / 数据 / 数学语言与表示 / 人民币表示 / 时间关系 / 图形、表格、算式互译 / 步骤表达与推理 / 人民币易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-05","P2","primary","pep-primary-p2-upper-multiplication-arrays","表内乘法与阵列","人教版小学二年级 · 表内乘法与阵列","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学二年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：表内乘法与阵列 / 练习场题组已关联 / 表内乘法 / 阵列 / 联系几个几 / 数学语言与表示 / 表内乘法表示 / 阵列关系 / 图形、表格、算式互译 / 步骤表达与推理 / 表内乘法易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-06","P2","primary","pep-primary-p2-upper-length-angles-observation","长度、角与观察物体","人教版小学二年级 · 长度、角与观察物体","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学二年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：长度、角与观察物体 / 练习场题组已关联 / 长度 / 观察物体 / 选择长度单位 / 数学语言与表示 / 长度表示 / 观察物体关系 / 图形、表格、算式互译 / 步骤表达与推理 / 长度易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-07","P2","primary","pep-primary-p2-lower-division-remainder","表内除法与有余数除法","人教版小学二年级 · 表内除法与有余数除法","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学二年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：表内除法与有余数除法 / 练习场题组已关联 / 表内除法 / 有余数除法 / 用平均分 / 数学语言与表示 / 表内除法表示 / 有余数除法关系 / 图形、表格、算式互译 / 步骤表达与推理 / 表内除法易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-08","P2","primary","pep-primary-p2-lower-place-value-measurement-data","万以内数、质量、时间与数据","人教版小学二年级 · 万以内数、质量、时间与数据","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学二年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：万以内数、质量、时间与数据 / 练习场题组已关联 / 万以内数 / 质量 / 时间 / 数学语言与表示 / 万以内数表示 / 质量关系 / 图形、表格、算式互译 / 步骤表达与推理 / 万以内数易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-09","P3","primary","pep-primary-p3-upper-operations-fractions","多位数运算与分数初步","人教版小学三年级 · 多位数运算与分数初步","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学三年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：多位数运算与分数初步 / 练习场题组已关联 / 多位数运算 / 分数初步 / 估算 / 数学语言与表示 / 多位数运算表示 / 分数初步关系 / 图形、表格、算式互译 / 步骤表达与推理 / 多位数运算易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-10","P3","primary","pep-primary-p3-upper-measurement-time-geometry","测量、年月日与几何","人教版小学三年级 · 测量、年月日与几何","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学三年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：测量、年月日与几何 / 练习场题组已关联 / 测量 / 年月日 / 几何 / 数学语言与表示 / 测量表示 / 年月日关系 / 图形、表格、算式互译 / 步骤表达与推理 / 测量易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-11","P3","primary","pep-primary-p3-lower-area-decimals","面积与小数初步","人教版小学三年级 · 面积与小数初步","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学三年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：面积与小数初步 / 练习场题组已关联 / 面积 / 小数初步 / 区分面积 / 数学语言与表示 / 面积表示 / 小数初步关系 / 图形、表格、算式互译 / 步骤表达与推理 / 面积易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-12","P3","primary","pep-primary-p3-lower-statistics-review","统计表达与综合复习","人教版小学三年级 · 统计表达与综合复习","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学三年级 · 下学期路线 / 人教版小学数学范围 / 课节入口：统计表达与综合复习 / 练习场题组已关联 / 统计表达 / 综合复习 / 读取小型统计图表 / 数学语言与表示 / 统计表达表示 / 综合复习关系 / 图形、表格、算式互译 / 步骤表达与推理 / 统计表达易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
"roadmap-review-13","P4","primary","pep-primary-p4-upper-large-numbers-multiplication","大数认识与三位数乘法","人教版小学四年级 · 大数认识与三位数乘法","教材单元 / 概念建构 / 模型方法 / 练习诊断","小学四年级 · 上学期路线 / 人教版小学数学范围 / 课节入口：大数认识与三位数乘法 / 练习场题组已关联 / 大数认识 / 三位数乘法 / 读写 / 数学语言与表示 / 大数认识表示 / 三位数乘法关系 / 图形、表格、算式互译 / 步骤表达与推理 / 大数认识易错辨析 / 条件、单位与范围检查 / 原创练习迁移 / 答案合理性验证","教材顺序、概念层级、中文表达、Lesson/Practice联动"
