id,batch,grade,semester,topicId,unitTitle,volume,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,assessmentPatternCardIds,paperPatternCardIds,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,manualQaStatus,reviewNotes
bnu-primary-ds-v2-p1-001,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Foundation,multiple-choice,教室里，老师让小朋友们数一数窗台上花盆的数量。小丽用手指一个一个点着花盆数：1、2、3、4、5、6。她数完后说：“一共有6个花盆。”小丽数的结果对吗？为什么？,对，因为她数到了6，所以是6个。 | 不对，因为她没有用手指点每一个花盆。 | 对，因为她用手指点着数，最后一个数是6，所以是6个。 | 不对，因为她数的声音太小了。,对，因为她用手指点着数，最后一个数是6，所以是6个。,对，因为她用手指点着数，最后一个数是6，所以是6个。,小丽用手指一个一个点着花盆数，做到了一一对应。她数的最后一个数是6，就表示一共有6个花盆，所以结果是对的。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-002,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Core,fill-in,"数一数，填一填。
文具盒里有铅笔：✏️✏️✏️✏️✏️，一共有______支铅笔。",,5,5,铅笔符号有5个，一个一个数，1、2、3、4、5，所以一共有5支铅笔。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-003,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Challenge,short-answer,小明有一些糖果，他数了数：1、2、3、4、5、6、7。他说：“我有7颗糖果。”可是妈妈说他数错了，实际上只有6颗。小明可能哪里数错了？请写出你的想法。,,小明可能没有一一对应，或者重复数了某一颗糖果，或者数得太快漏掉了。,小明可能没有一一对应，或者重复数了某一颗糖果，或者数得太快漏掉了。,数数时要用手点着物体，一个接一个数，不能重复或遗漏。小明数的结果比实际多1，可能是多数了一次。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-004,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Exam,multiple-choice,体育课上，老师让同学们数一数跳绳的次数。小红跳了0次，小刚跳了3次，小丽跳了5次。下面哪种说法是正确的？,小红跳的次数和小刚一样多。 | 小刚跳的次数比小丽多。 | 小红一次也没有跳，所以用0表示。 | 小丽跳的次数比小红少。,小红一次也没有跳，所以用0表示。,小红一次也没有跳，所以用0表示。,0表示一个也没有。小红跳了0次，就是一次也没有跳。其他选项比较错误：0<3<5，所以小刚比小丽少，小红比小刚少。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-005,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Foundation,fill-in,"看图写数。
鱼缸里有几条鱼？🐟🐟🐟🐟，一共有______条鱼。",,4,4,鱼的表情符号有4个，数一数1、2、3、4，所以填4。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-006,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Core,short-answer,小华数了数自己的积木：红色积木有3块，蓝色积木有5块，黄色积木有0块。请问哪种颜色的积木最多？哪种颜色的积木最少？为什么？,,蓝色积木最多，黄色积木最少。因为5>3>0，所以蓝色最多，黄色是0表示没有，所以最少。,蓝色积木最多，黄色积木最少。因为5>3>0，所以蓝色最多，黄色是0表示没有，所以最少。,比较数量：5最大，0最小。0表示一个也没有，所以黄色积木最少。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-007,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Challenge,multiple-choice,小动物们排队做操。从前往后数，小兔排在第3个，小猴排在第6个，小象排在第9个。下面哪种说法是正确的？,小兔排在最前面。 | 小猴排在小兔的前面。 | 小象排在小猴的后面。 | 小兔排在小象的后面。,小象排在小猴的后面。,小象排在小猴的后面。,从前往后，第3、第6、第9，数字越大越靠后。所以小象在第9，小猴在第6，小象在小猴后面。小兔在第3，在最前面。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-008,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Exam,fill-in,"按顺序填数。
0，1，2，______，4，5，______，7，8，9，10。",,"3,6","3,6 | 3，6",这是0到10的顺序，缺少3和6。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-009,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Foundation,short-answer,说一说，0可以表示什么？请举一个生活中的例子。,,0可以表示一个也没有。比如，盘子里一个苹果都没有，就用0表示。,0可以表示一个也没有。比如，盘子里一个苹果都没有，就用0表示。,0表示没有。生活中，如果某样东西一个也没有，就可以用0来表示。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-010,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Core,multiple-choice,老师拿出一些卡片，上面写着数字。下面哪一组数字是按照从小到大的顺序排列的？,5，3，1，0 | 0，2，4，6 | 7，5，3，1 | 9，6，3，0,0，2，4，6,0，2，4，6,从小到大就是数字越来越大的顺序。0<2<4<6，所以这一组是按从小到大的顺序排列的。其他组都是越来越小。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-011,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Challenge,fill-in,小动物们排队做操。从左边数，小猴排在第3个；从右边数，小猴排在第5个。这一队一共有多少只小动物？请你画一画或算一算，并写出答案。,,7,7 | 7只,从左边数小猴是第3个，说明小猴左边有2只；从右边数小猴是第5个，说明小猴右边有4只。总数为2+1+4=7只。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-012,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Exam,short-answer,妈妈买了8个苹果，吃了几个后，还剩下5个。妈妈吃了几个苹果？请写出算式和答案。,,3,3 | 3个 | 8-5=3 | 8-3=5,原来有8个苹果，剩下5个，所以吃掉的苹果数是8-5=3（个）。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-013,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Foundation,multiple-choice,下面哪种数量可以用数字0表示？,树上有5只小鸟 | 盘子里有3个草莓 | 鱼缸里一条鱼也没有 | 桌上有2本书,鱼缸里一条鱼也没有,鱼缸里一条鱼也没有,0表示一个也没有。鱼缸里一条鱼也没有，正好用0表示。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-014,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Core,fill-in,"数一数，填一填。
△△△△△
□□□□
△有（ ）个，□有（ ）个，△比□多（ ）个。",,"5,4,1","5,4,1 | 5 4 1",△有5个，□有4个，5比4多1，所以△比□多1个。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-015,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Challenge,short-answer,把0、2、4、6、8、10按从小到大的顺序排列。,,"0,2,4,6,8,10","0,2,4,6,8,10 | 0 2 4 6 8 10 | 0<2<4<6<8<10",这些数都是双数，从小到大依次是0、2、4、6、8、10。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
bnu-primary-ds-v2-p1-016,bnu-primary-v2,P1,upper,bnu-primary-p1-upper-life-number-sense,生活中的数,一年级上册,p1-number-sense | within-10-numbers | counting-cardinality | 生活中的数 | 10以内数,Exam,multiple-choice,小红有6支铅笔，小明有4支铅笔。下面说法正确的是？,小红和小明的铅笔一样多 | 小红的铅笔比小明多2支 | 小明的铅笔比小红多2支 | 小明的铅笔比小红多1支,小红的铅笔比小明多2支,小红的铅笔比小明多2支,6-4=2，所以小红比小明多2支铅笔。,bnu-primary-p1-upper-life-number-sense,bnu-primary-p1-upper-assessment-school-readiness-number-sense | bnu-primary-p1-upper-assessment-monthly-1-to-2-integrated,,passed-auto-source-scan,pending-s18-review,pending-s18-review,pending-s18-review,"S18 BNU primary V2 automated source-distance/structure/v1-distance gate passed with 300-row grade sample queue generated; candidate QA package only, not approved for public integration."
