id,action,confidence,remediationNotes,promptZhHans,answer
pep-junior-v3-s1-k01-sa-003,repair,high,原题答案不完整，存在两个解，已修改题目明确点P在点N右侧，使答案唯一为7。,在数轴上，点M表示-1，点N表示3。点P在点M右侧，且在点N右侧，且到点M的距离是到点N距离的2倍，求点P表示的数。,7
pep-junior-v3-s1-k02-mc-001,repair,high,原题四个选项化简后均等于3x-5，答案不唯一。已修改选项，使只有一项化简后等于3x-5。,下列哪个式子化简后等于3x-5？,5x-2-2x-3
pep-junior-v3-s1-k02-fi-006,repair,high,因式分解超纲，改为七年级整式加减内容：合并同类项。,合并同类项：3x² - 5x + 2x² + 4x - 3。,5x² - x - 3
pep-junior-v3-s1-k02-fi-007,repair,high,反比例函数超纲，改为七年级一元一次方程内容：解方程。,若x=2是方程3x + k = 0的解，则k的值为______。,-6
pep-junior-v3-s1-k02-fi-008,repair,high,平行线性质超纲，改为七年级一元一次方程应用：数字问题。,一个两位数，十位数字与个位数字之和为7，若交换十位与个位数字，所得新数比原数大9，求原数的十位数字。,3
pep-junior-v3-s1-k02-fi-009,repair,high,一元二次方程超纲，改为七年级一元一次方程内容：解含参数方程。,已知关于x的方程2x - 4 = m的解为x=3，则m的值为______。,2
pep-junior-v3-s1-k02-fi-010,repair,high,原题涉及平面直角坐标系，属于七年级下册内容，与S1上学期一元一次方程单元不符。修改为整式加减化简求值题，保持难度和题型。,先化简，再求值：\(2(a^2 - 3ab) - (4a^2 - 7ab + 2)\)，其中 \(a = -1\)，\(b = 2\)。,-4
pep-junior-v3-s1-k02-fi-021,repair,high,原题化简正确，但代入计算错误，答案应为-2。修正答案和解释。,先化简，再求值：\(3(a^2 - 2ab) - (6a^2 - 5ab + 1)\)，其中 \(a = -1\)，\(b = 2\)。,-2
pep-junior-v3-s1-k02-sa-003,repair,high,原题计算过程正确，结果为2，但答案误写为-2。修正答案和解释。,计算：\((-2)^3 \times \left(-\frac{1}{2}\right) - |-3| \div \frac{1}{2} + \sqrt{16}\)。,2
pep-junior-v3-s1-k03-sa-021,repair,medium,原题未给出具体俯视图数字，导致答案依赖假设。补充俯视图数据，使题目自包含。,一个几何体由几个大小相同的小立方块搭成，从上面看得到的形状图是3×3的网格，每个位置上的数字表示该位置小立方块的个数，具体数字如下：第一行从左到右依次为1、2、1，第二行从左到右依次为2、3、2，第三行从左到右依次为1、2、1。请画出从正面看和从左面看得到的形状图。,从正面看：第一列3个，第二列2个，第三列1个；从左面看：第一列3个，第二列2个，第三列2个。
pep-junior-v3-s1-k04-mc-018,repair,high,原题选项包含两个正确表达式，造成歧义。修改题目要求，明确选择符合特定条件的表达式，并调整选项。,某校组织七年级学生春游，若租用45座客车，则有15人没有座位；若租用同样数量的60座客车，则多出一辆车，且其余车刚好坐满。设租用45座客车x辆，则学生总人数可表示为（ ）。,45x+15
pep-junior-v3-s1-k04-mc-023,repair,high,原题缺少图形，无法确定角的位置关系。补充明确的几何描述，使题目自包含。,直线a∥b，直线c与a、b分别交于点A、B。若∠1和∠2是一对同旁内角，且∠1=55°，则∠2的度数为（ ）。,125°
pep-junior-v3-s1-k04-mc-026,repair,high,"修正旋转规律错误，正确答案为(-1,2)，并更新解释。","在平面直角坐标系中，将点M(2,-1)绕原点顺时针旋转90°得到点N，则点N的坐标是（ ）。","(-1,2)"
pep-junior-v3-s1-k04-mc-032,repair,high,修正对顶角计算错误，∠AOD=50°，∠AOE=25°，更新答案和解释。,直线AB与CD相交于点O，OE平分∠AOD。若∠BOC=50°，则∠AOE的度数为（ ）。,25°
pep-junior-v3-s1-k04-fi-005,repair,high,修正解释中的方程组错误，使其与题目一致，答案3正确。,"已知二元一次方程组：\n2x+y=7\nx-2y=-4\n则x+y的值为______。",3
pep-junior-v3-s1-k05-mc-005,repair,high,补充∠1与∠2的位置关系，明确为同旁内角，消除歧义。,直线a∥b，∠1与∠2是直线a、b被第三条直线所截形成的同旁内角，∠1=55°，则∠2的度数为（ ）。,125°
pep-junior-v3-s1-k05-mc-010,repair,high,限定购买数量为最少满足条件的支数，使答案唯一为5支，并简化解释。,某文具店推出两种优惠方案：方案一，每支笔打八折；方案二，买三支笔送一支。小明需要购买若干支单价为5元的笔，若两种方案的实际付款相同，则他购买的笔的最少数量是（ ）。,5支
pep-junior-v3-s1-k05-mc-011,keep_false_positive,high,原题无数学错误，表述清晰，适合公共题库，仅因模板重复被标记，保留原题。,为了解七年级学生每天的睡眠时间，最适合采用以下哪种调查方式？（ ）,对七年级部分学生进行随机抽样调查
pep-junior-v3-s1-k05-mc-013,repair,high,原题要求介于4和5之间的实数，但选项均为小于4的平方根，无正确选项。修改题目为比较平方根大小，保留原选项，调整题干和答案。,下列实数中，最大的是（ ）。,√4.5
pep-junior-v3-s1-k05-fi-008,repair,high,原题与003题重复，修改为利用非负数性质求代数式的值，改变条件和所求，避免重复。,已知a、b为有理数，且满足|a+1|+√(b-2)=0，则a-b的值为_______________。,-3
pep-junior-v3-s1-k05-fi-031,repair,high,原题缺少图形，无法确定角度关系。修改为直接给出平行线和角度关系的文字描述，避免依赖图形。,已知直线AB平行于直线CD，直线EF与AB、CD分别相交于点G、H。若∠EGB=55°，则∠GHD的度数为______。,125°
pep-junior-v3-s1-k05-sa-004,repair,high,原题不等式组无解，修改数据使题目有解，调整座位数条件或数量关系，确保答案合理。,某校七年级学生进行社会实践活动，计划租用A、B两种客车共8辆，A型客车每辆可坐45人，B型客车每辆可坐30人。若租车总座位数不少于315个，且A型客车数量不超过B型客车数量的2倍。求A型客车可能的租用数量。,5辆或6辆
pep-junior-v3-s1-k05-sa-011,repair,high,原题数据描述不清，无法计算比例。修改为给出频数分布表，使题目可解，并保留估计可靠性的讨论。,某校为了解七年级学生每天完成家庭作业的时间，随机调查了50名学生，得到频数分布如下：时间在30~60分钟的有10人，60~90分钟的有15人，90~120分钟的有12人，120~150分钟的有8人，150分钟以上的有5人。请估计该校七年级学生每天作业时间超过90分钟的人数比例，并说明这个估计是否可靠。,比例约为50%，估计不可靠，因为样本容量较小且可能不具代表性。
pep-junior-v3-s1-k05-sa-012,repair,high,原题缺少图形和角度关系描述。修改为给出完整的几何条件，利用平行线性质求解。,已知直线a、b被直线c所截，∠1和∠2是内错角，且∠1=∠2，∠3=110°，∠3与∠4是同旁内角。求∠4的度数。,70°
pep-junior-v3-s1-k05-sa-031,repair,high,原题答案与解释矛盾，修正答案为m>4，并更新解释。,"已知关于x、y的方程组\n3x + 2y = m + 1\n2x + y = m - 1\n的解满足x > y，求m的取值范围。",m > 4
pep-junior-v3-s1-k05-sa-032,repair,high,平均时间计算错误，修正为1.3小时，并更新答案和解释。,"某校为了解七年级学生每天完成家庭作业所用的时间，从各班随机抽取了共50名学生进行调查，并将调查结果绘制成如下频数分布表（未完成）：\n\n时间x（小时）	频数\n0≤x<0.5	5\n0.5≤x<1	10\n1≤x<1.5	a\n1.5≤x<2	12\n2≤x<2.5	8\n\n已知时间在1≤x<1.5小时的频率为0.3。\n（1）求a的值，并补全表格；\n（2）请估计该校七年级学生每天完成家庭作业的平均时间（精确到0.1小时）。",（1）a=15；（2）1.3小时
pep-junior-v3-s2-k06-mc-011,keep_false_positive,medium,原题数学正确，表述清晰，虽与010题类似但属于基础知识点正常考查，非抄袭风险，保留原题。,在△ABC和△DEF中，已知AB = DE，∠A = ∠D。若要用“边角边”（SAS）判定这两个三角形全等，还需要添加的条件是（ ）。,AC = DF
pep-junior-v3-s2-k06-mc-012,repair,high,原题答案错误，翻折后对应角相等，∠A与∠A'是对应角，必然相等，因此结论一定正确，应修改为其他不一定正确的选项。修改题目为求不一定正确的结论，并调整选项和答案。,将△ABC沿直线l翻折后得到△A'B'C'，若点A与点A'是对称点，线段AA'与直线l交于点O，则下列结论不一定正确的是（ ）。,∠BAC = ∠B'A'C'
