"id","grade","reviewer","mathQaStatus","terminologyQaStatus","sourceDistanceStatus","decision","notes"
"hjb-high-ds-v4-s4-008","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-021","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-023","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-028","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-045","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-050","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-056","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-093","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-095","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-101","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-126","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-133","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-134","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-141","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-148","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-170","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-173","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
"hjb-high-ds-v4-s4-174","S4","S18","pass","pass","pass","needs-p2-rewrite-before-integration","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-189","S4","S18","pass","pass","pass","manual-pass","Manual S18 sample pass: answer, explanation, options, simplified Chinese terminology, and source-distance checks are acceptable for a candidate row."
