questionId,batch,grade,topicId,type,difficulty,autoRecommendation,autoRiskFlags,reviewer,reviewDate,decision,severity,issueCategory,independentAnswer,storedAnswer,mathVerdict,answerKeyVerdict,explanationVerdict,curriculumFit,sourceDistance,bilingualFit,templateVariety,studentReadiness,notes,requiredFix,rerunRequired
pep-high-s4-rag4-fi-001,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,9,9,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-002,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,9,9,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-003,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,11,11,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-004,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-005,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-006,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,9,9,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-007,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,9,9,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-008,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,11,11,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-009,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-010,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-011,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,9,9,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-012,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,9,9,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-013,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,11,11,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-014,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-015,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-016,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,9,9,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-017,rag-v4,S4,pep-high-s4-sets-logic,fill-in,Foundation,pass,,S18,2026-05-23,approve-row,none,,9,9,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-018,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,1,1,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-019,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,-2,-2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-020,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,4,4,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-021,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,10,10,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-022,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,3,3,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-023,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,-2,-2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-024,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,2,2,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-025,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,1,1,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-026,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,7,7,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
pep-high-s4-rag4-fi-027,rag-v4,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,pass,,S18,2026-05-23,approve-row,none,,7,7,pass,pass,pass,pass,pass,pass,pass,ready,Manual sample canary passed.,,no
