"id","grade","semester","topicId","unitTitle","type","difficulty","verdict","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","answerCheckZhHans","recommendedActionZhHans","confidence","promptZhHans"
"hjb-junior-ds-v2-s1-001","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Core","pass","none","","","B","B. 2a²b 与 -5a²b","标准答案B正确，解析合理，选项互异，无歧义。","无需修改；保留进入人工抽样复核。","high","下列各组式子中，是同类项的是（ ）"
"hjb-junior-ds-v2-s1-002","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","pass","none","","","2x + 3y","2x + 3y","标准答案正确，解析正确，acceptedAnswers覆盖答案。","无需修改；保留进入人工抽样复核。","high","化简：5x - (3x - 2y) + y = ______。"
"hjb-junior-ds-v2-s1-003","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Exam","pass","none","","","-3","-3","标准答案正确，解析正确，acceptedAnswers覆盖答案。","无需修改；保留进入人工抽样复核。","high","先化简，再求值：2(3a² - ab) - 3(2a² - ab - 1)，其中 a = -2，b = 3。"
"hjb-junior-ds-v2-s1-004","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Challenge","pass","none","","","C","C. 3","标准答案C正确，解析正确，选项互异，无歧义。","无需修改；保留进入人工抽样复核。","high","若多项式2x³ - 3x² + kx - 5与多项式x³ + 2x² - 3x + 1的和中不含x的一次项，则k的值为（ ）"
"hjb-junior-ds-v2-s1-005","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Core","pass","none","","","4","4","标准答案正确，解析正确，acceptedAnswers覆盖答案。","无需修改；保留进入人工抽样复核。","high","若单项式2xᵐ⁺¹y²与-3x³yⁿ是同类项，则m + n = ______。"
"hjb-junior-ds-v2-s1-006","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Foundation","pass","none","","","7x² - 8xy + 13，常数项为13","7x² - 8xy + 13，常数项为13","标准答案正确，解析正确，acceptedAnswers覆盖答案。","无需修改；保留进入人工抽样复核。","high","已知多项式 A = 3x² - 2xy + 5，B = -x² + 4xy - 3。求 2A - B 的结果，并指出化简后的多项式中常数项的值。"
"hjb-junior-ds-v2-s1-007","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Exam","pass","none","","","12x - y","12x - y","标准答案正确，解析正确，选项互异，无歧义。","无需修改；保留进入人工抽样复核。","high","化简 4x - [2y - (3x + y) - 5x] 的结果是（ ）"
"hjb-junior-ds-v2-s1-008","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Challenge","pass","none","","","4","4","标准答案正确，解析正确，acceptedAnswers覆盖答案。","无需修改；保留进入人工抽样复核。","high","若单项式 3x^{m+1}y² 与 -2x³y^{n} 是同类项，则 m+n = ______。"
"hjb-junior-ds-v2-s1-009","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Core","pass","none","","","化简得 -x² - 4x + 9，代入 x=-1 得 12","-x² - 4x + 9，当x=-1时值为12","标准答案正确，解析一致","无需修改；保留进入人工抽样复核。","high","先化简，再求值：3(x² - 2x + 1) - 2(2x² - x - 3)，其中 x = -1。"
"hjb-junior-ds-v2-s1-010","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","pass","none","","","多项式为 7x² - x - 3，对应选项 B","B. 7x² - x - 3","标准答案正确，解析一致，选项互异且唯一正确","无需修改；保留进入人工抽样复核。","high","一个多项式减去 2x² - 3x + 1 等于 5x² + 2x - 4，则这个多项式是（ ）"
"hjb-junior-ds-v2-s1-011","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Exam","pass","none","","","x³ - 5x²y + 10xy² - 7y³","x³ - 5x²y + 10xy² - 7y³","标准答案正确，解析一致，按 x 降幂排列","无需修改；保留进入人工抽样复核。","high","已知多项式 A = 5x³ - 3x²y + 2xy² - y³，B = 2x³ + x²y - 4xy² + 3y³。计算 A - 2B 的结果，并写成按 x 的降幂排列的多项式。"
"hjb-junior-ds-v2-s1-012","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Challenge","pass","none","","","11x²y + 4xy²","11x²y + 4xy²","标准答案正确，解析一致，acceptedAnswers 覆盖","无需修改；保留进入人工抽样复核。","high","化简：4x²y - [3xy² - (2x²y + xy²) - 5x²y] + 2xy²。"
"hjb-junior-ds-v2-s1-013","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Core","pass","none","","","C 是同类项，其他不是","C. -5m²n 与 0.8nm²","标准答案正确，解析一致，选项互异且唯一正确","无需修改；保留进入人工抽样复核。","high","下列各组单项式中，属于同类项的是（ ）"
"hjb-junior-ds-v2-s1-014","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","pass","none","","","m=2, n=3, m+n=5","5","标准答案正确，解析一致","无需修改；保留进入人工抽样复核。","high","若单项式 2xᵐ⁺¹y² 与 -5x³yⁿ⁻¹ 是同类项，则 m + n 的值为______。"
"hjb-junior-ds-v2-s1-015","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Exam","pass","none","","","化简得 -5x²y，代入得 -10","-10","标准答案正确，解析一致","无需修改；保留进入人工抽样复核。","high","先化简，再求值：3(x²y - 2xy) - 2(4x²y - 3xy)，其中 x = -1，y = 2。"
"hjb-junior-ds-v2-s1-016","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Challenge","pass","none","","","7x² - 11xy + 10y²，对应第一个选项","7x² - 11xy + 10y²","标准答案正确，解析一致，选项互异且唯一正确","无需修改；保留进入人工抽样复核。","high","已知多项式 A = 3x² - 2xy + 5y²，B = -x² + 4xy - 2y²，C = 2x² - xy - y²。计算 A - 2B + C 的结果是（ ）"
"hjb-junior-ds-v2-s1-017","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Core","pass","none","","","35","35","标准答案为35，计算正确。","无需修改；保留进入人工抽样复核。","high","当 a = -2，b = 3 时，代数式 2a² - 3ab + b² 的值为 ______。"
"hjb-junior-ds-v2-s1-018","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Foundation","pass","none","","","3m²n + 4mn²","3m²n + 4mn²","标准答案为3m²n + 4mn²，计算正确。","无需修改；保留进入人工抽样复核。","high","合并同类项：5m²n - 3mn² - 2m²n + 7mn²。"
"hjb-junior-ds-v2-s1-019","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Exam","pass","none","","","x² + x - 4","x² + x - 4","标准答案为x² + x - 4，计算正确，且为唯一正确选项。","无需修改；保留进入人工抽样复核。","high","一个多项式减去 -3x² + 2x - 5 得到 4x² - x + 1，则这个多项式是（ ）"
