"id","issueType","codexAction"
"hjb-junior-ds-v2-s1-003","answer-mismatch","Changed answer from 20 to -3 to match the algebraic evaluation."
"hjb-junior-ds-v2-s1-090","answer-mismatch","Changed answer from -4 to -10 to match direct substitution."
"hjb-junior-ds-v2-s1-338","answer-mismatch","Changed angle answer from 119 degrees to 151 degrees."
"hjb-junior-ds-v2-s1-343","multiple-correct-options","Changed one distractor so only the same-position equal-angle condition is correct."
"hjb-junior-ds-v2-s1-360","answer-mismatch","Changed angle answer from 100 degrees to 80 degrees."
"hjb-junior-ds-v2-s1-441","duplicate-and-inconsistent-item","Changed angle data and answer to remove a duplicate prompt and make the isosceles-triangle item consistent."
"hjb-junior-ds-v2-s1-448","answer-mismatch","Changed answer from 110 degrees to 90 degrees."
"hjb-junior-ds-v2-s1-481","generator-rationale-residue","Changed the given angle and cleaned the explanation so answer 30 degrees is valid and unique."
"hjb-junior-ds-v2-s1-489","invalid-condition","Rewrote the isosceles-triangle condition to avoid an impossible point-on-side setup."
"hjb-junior-ds-v2-s1-494","generator-rationale-residue","Replaced self-correction residue and fixed the options/answer at 30 degrees."
"hjb-junior-ds-v2-s2-033","ordering-error","Changed the ascending order to 1.7 < sqrt(3) < cube-root(8)."
"hjb-junior-ds-v2-s2-055","multiple-correct-options","Changed one numeric distractor so only 2.8 lies between sqrt(5) and sqrt(15)."
"hjb-junior-ds-v2-s2-064","invalid-radicand-condition","Changed sign conditions so the quadratic radical is real and the selected simplification is valid."
"hjb-junior-ds-v2-s2-086","answer-mismatch","Changed answer from -2 to 4."
"hjb-junior-ds-v2-s2-203","answer-mismatch","Changed distance answer from 12/5 to 3."
"hjb-junior-ds-v2-s2-261","answer-mismatch","Changed parallelogram midpoint answer from 2sqrt(19) to 12 and rewrote the solution."
"hjb-junior-ds-v2-s2-278","area-error","Changed triangle area answer from 4 to 6."
"hjb-junior-ds-v2-s2-424","multiple-correct-options","Changed the linear function to y=2x-3 so only (2,1) lies on the graph."
"hjb-junior-ds-v2-s3-245","answer-mismatch","Changed vertex-form value from 2025 to 2000."
"hjb-junior-ds-v2-s3-322","explanation-polish","Removed wording that contradicted the point-on-line condition."
"hjb-junior-ds-v2-s3-362","explanation-polish","Added the explicit side length 2 cm to the explanation."
"hjb-junior-ds-v2-s3-386","invalid-chord-condition","Rewrote the chord-distance item so answer 4 cm is valid."
"hjb-junior-ds-v2-s3-443","answer-mismatch","Changed variance answer from 2.1 to 2.0."
"hjb-junior-ds-v2-s3-447","answer-mismatch","Changed variance answer from 7.09 to 7.27."
"hjb-junior-ds-v2-s3-457","answer-mismatch","Changed rounded variance answer from 13 to 10."
