"id","grade","semester","topicId","unitTitle","type","difficulty","reviewReason","reviewStatus","reviewer","reviewNotes"
"bnu-junior-ds-v1-s1-001","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-003","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","fill-in","Exam","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-005","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","short-answer","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-009","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","fill-in","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-011","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","short-answer","Exam","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-016","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Challenge","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-028","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Challenge","grade-pass-sample","approved","S18","Approved after S18 DeepSeek issue review and deterministic remediation in approved-question-pack.json."
"bnu-junior-ds-v1-s1-031","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Exam","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-051","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","fill-in","Exam","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-052","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","multiple-choice","Challenge","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-061","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","multiple-choice","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-064","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","multiple-choice","Challenge","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-067","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","multiple-choice","Exam","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-068","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","short-answer","Challenge","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-069","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","fill-in","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-070","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","multiple-choice","Foundation","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-076","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","multiple-choice","Challenge","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-077","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","short-answer","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-083","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","short-answer","Exam","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-090","S1","upper","bnu-junior-s1-upper-algebraic-expressions","整式及其加减","fill-in","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-095","S1","upper","bnu-junior-s1-upper-algebraic-expressions","整式及其加减","short-answer","Exam","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-097","S1","upper","bnu-junior-s1-upper-algebraic-expressions","整式及其加减","multiple-choice","Foundation","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-104","S1","upper","bnu-junior-s1-upper-algebraic-expressions","整式及其加减","short-answer","Exam","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-108","S1","upper","bnu-junior-s1-upper-algebraic-expressions","整式及其加减","fill-in","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-120","S1","upper","bnu-junior-s1-upper-algebraic-expressions","整式及其加减","fill-in","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-123","S1","upper","bnu-junior-s1-upper-algebraic-expressions","整式及其加减","fill-in","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-134","S1","upper","bnu-junior-s1-upper-plane-figures","基本平面图形","short-answer","Exam","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-138","S1","upper","bnu-junior-s1-upper-plane-figures","基本平面图形","fill-in","Core","grade-pass-sample","approved","S18","Approved after S18 DeepSeek issue review and deterministic remediation in approved-question-pack.json."
"bnu-junior-ds-v1-s1-145","S1","upper","bnu-junior-s1-upper-plane-figures","基本平面图形","multiple-choice","Foundation","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-147","S1","upper","bnu-junior-s1-upper-plane-figures","基本平面图形","fill-in","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-153","S1","upper","bnu-junior-s1-upper-plane-figures","基本平面图形","fill-in","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-154","S1","upper","bnu-junior-s1-upper-plane-figures","基本平面图形","multiple-choice","Foundation","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-157","S1","upper","bnu-junior-s1-upper-plane-figures","基本平面图形","multiple-choice","Foundation","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
"bnu-junior-ds-v1-s1-162","S1","upper","bnu-junior-s1-upper-plane-figures","基本平面图形","fill-in","Core","grade-pass-sample","approved","S18","Approved in S18 manual review sample; no blocking issue after deterministic and DeepSeek QA context review."
