lessonId,grade,domainId,clusterId,wordCount,sentenceCount,keywordStatus,ageFitStatus,sourcePolicyStatus,guidelineStatus,qaStatus,reviewerNotes
us-ca-k-g5-tx-v1-k-k-cc-count-sequence,K,K.CC,K.CC.count-sequence,71,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-k-k-cc-cardinality-compare,K,K.CC,K.CC.cardinality-compare,77,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-k-k-oa-compose-decompose,K,K.OA,K.OA.compose-decompose,76,6,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-k-k-nbt-teen-numbers,K,K.NBT,K.NBT.teen-numbers,72,6,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-k-k-md-attributes-data,K,K.MD,K.MD.attributes-data,75,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-k-k-g-shapes-position,K,K.G,K.G.shapes-position,73,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p1-1-oa-add-subtract,P1,1.OA,1.OA.add-subtract,102,6,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p1-1-nbt-place-value,P1,1.NBT,1.NBT.place-value,74,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p1-1-md-measure-data,P1,1.MD,1.MD.measure-data,81,6,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p1-1-g-shape-reasoning,P1,1.G,1.G.shape-reasoning,71,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p2-2-oa-fluency-arrays,P2,2.OA,2.OA.fluency-arrays,77,6,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p2-2-nbt-three-digit-place-value,P2,2.NBT,2.NBT.three-digit-place-value,79,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p2-2-md-measure-data-money-time,P2,2.MD,2.MD.measure-data-money-time,78,6,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
us-ca-k-g5-tx-v1-p2-2-g-partition-shapes,P2,2.G,2.G.partition-shapes,68,5,pass,pass,pass,pass,pass,"Pass: student-facing, grade-aware, unit-specific concept explanation with no blocked guideline/source phrases."
