id,grade,topicId,topicTitleZhHans,volume,chapter,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,examPatternCardIds,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,reviewNotes
hjb-high-ds-v2-s4-001,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,multiple-choice,"已知全集 U = {1,2,3,4,5,6}，集合 A = {2,4,6}，B = {1,2,3,4}。则 (∁_U A) ∩ B 等于（　）","{1,3} | {1,2,3} | {1,3,5} | {2,4}","{1,3}","{1,3}","∁_U A = {1,3,5}，与 B 的交集为 {1,3}。注意补集是在全集 U 中取。",hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
hjb-high-ds-v2-s4-002,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,fill-in,设集合 A = {x | x² - 5x + 6 = 0}，B = {x | mx - 1 = 0}。若 B ⊆ A，则实数 m 的所有可能取值构成的集合为______。,,"{0, 1/2, 1/3}","{0, 1/2, 1/3} | {0,1/2,1/3}","A = {2,3}。B ⊆ A 时，B 可为 ∅ 或 {2} 或 {3}。m=0 时 B=∅；m≠0 时 x=1/m，令 1/m=2 得 m=1/2，令 1/m=3 得 m=1/3。故 m 取值集合为 {0,1/2,1/3}。",hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
hjb-high-ds-v2-s4-003,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,short-answer,用列举法表示集合 {x ∈ N | 3/(x+1) ∈ N}。,,"{0,2}","{0,2} | {0, 2}","x 为自然数，x+1 是 3 的正约数，即 1 或 3。x+1=1 得 x=0；x+1=3 得 x=2。故集合为 {0,2}。",hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
hjb-high-ds-v2-s4-004,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,multiple-choice,已知 p：|x - 2| < 1，q：x < a。若 p 是 q 的充分不必要条件，则实数 a 的取值范围是（　）,a ≥ 3 | a > 3 | a ≤ 1 | a < 1,a ≥ 3,a ≥ 3 | a>=3,"p 表示 1<x<3。要使 p⇒q，需 (1,3)⊆(-∞,a)，所以 a≥3；当 a≥3 时，q 中仍有不属于 p 的数，故 q 不能推出 p。",hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,remediated-pending-final-audit,remediated-pending-final-audit,S18 P0 remediation 2026-05-24: correct-answer-and-mc-options. Original issue manual-answer-mismatch; rerun solvability and quality audits before app integration.
hjb-high-ds-v2-s4-005,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,fill-in,已知全集 U = R，集合 A = {x | x² - 2x - 3 ≤ 0}，则 ∁_U A = ______。,,"(-∞, -1) ∪ (3, +∞)","(-∞, -1) ∪ (3, +∞) | (-∞,-1)∪(3,+∞)","解不等式得 A = [-1,3]，补集为 (-∞,-1) ∪ (3,+∞)。注意端点取不到。",hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
hjb-high-ds-v2-s4-006,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,short-answer,已知集合 A = {x | x² - 3x + 2 = 0}，B = {x | x² - ax + (a-1) = 0}，且 A ∪ B = A，求实数 a 的值。,,a = 2 或 a = 3,a = 2 或 a = 3 | a=2或a=3,"A={1,2}。由 A∪B=A 得 B⊆A。B 方程化为 (x-1)(x-a+1)=0，根为 1 和 a-1。B⊆A 要求 a-1=1 或 a-1=2，得 a=2 或 3。",hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
hjb-high-ds-v2-s4-007,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,multiple-choice,"二轮变式0007：选择：设集合 A={1,2,3,...,100}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。",10 | 9 | 8 | 11,9,9,B 中元素为不超过 100 的 11 的倍数，共 floor(100/11)=9 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated as V2 offline candidate by deterministic MAIS safe-template fallback from committed HJB safe-RAG metadata after live DeepSeek transport failed; manual S18 sampling required before app integration.
hjb-high-ds-v2-s4-008,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,fill-in,设命题 p：∃ x ∈ R，x² + 2x + m ≤ 0。若 p 是真命题，则实数 m 的取值范围是______。,,m ≤ 1,m ≤ 1 | m≤1,存在 x 使不等式成立，即二次函数最小值 ≤0。y=x²+2x+m 最小值为 m-1，故 m-1 ≤ 0，得 m ≤ 1。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
hjb-high-ds-v2-s4-009,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,short-answer,"已知 a、b、1 两两不同，集合 A = {1, a, b}，B = {a, a², ab}，且 A = B，求 a²⁰²³ + b²⁰²⁴ 的值。",,-1,-1,"集合相等意味着{1,b}={a²,ab}。若ab=1，则a²=b，进而a³=1；由于a是实数，得a=1，与两两不同矛盾。因此a²=1，且a≠1，所以a=-1。此时B={-1,1,-b}，A={1,-1,b}；集合相等给出b=0。因此(-1)^{2023}+0^{2024}=-1。",hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,remediated-pending-final-audit,remediated-pending-final-audit,S18 P0 remediation 2026-05-24: add-distinctness-and-correct-answer. Original issue manual-answer-mismatch; rerun solvability and quality audits before app integration.
hjb-high-ds-v2-s4-010,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,multiple-choice,已知条件 p：|x - 1| > 2，条件 q：x² - 5x + 6 > 0。则 p 是 q 的（　）,充分不必要条件 | 必要不充分条件 | 充要条件 | 既不充分也不必要条件,充分不必要条件,充分不必要条件,p：x<-1 或 x>3；q：x<2 或 x>3。p 的解集是 q 解集的真子集，故 p⇒q 但 q⇏p，所以 p 是 q 的充分不必要条件。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; manual S18 sampling required before app integration.
