"questionId","grade","semester","topicId","unitTitle","type","difficulty","answer","acceptedAnswers","qaStatus","severity","issueCodes","issueDetails","recommendedAction"
"bnu-junior-ds-v1-s1-001","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Core","三棱柱","三棱柱","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-002","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","short-answer","Foundation","长8 cm，宽3 cm。理由：从正前方观察，看到的是长方体的前面，前面的长是长方体的长8 cm，宽是长方体的高3 cm。","长8 cm，宽3 cm。理由：从正前方观察，看到的是长方体的前面，前面的长是长方体的长8 cm，宽是长方体的高3 cm。 | 长8 cm，宽3 cm | 8 cm和3 cm | 长8厘米，宽3厘米","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-003","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","fill-in","Exam","6","6","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-004","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Challenge","它是圆柱，侧面展开图是长方形","它是圆柱，侧面展开图是长方形","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-005","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","short-answer","Core","5","5","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-006","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","fill-in","Foundation","最少4个，最多4个","最少4个，最多4个 | 最少4个,最多4个 | 4,4 | 4 4","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-007","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Exam","4个","4个","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-008","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","short-answer","Challenge","水的体积为 192 cm³，翻转后水没有完全淹没原来朝下的面。","水的体积为 192 cm³，翻转后水没有完全淹没原来朝下的面。 | 192 cm³，没有完全淹没 | 192，没有","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-009","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","fill-in","Core","5","5","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-010","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Foundation","5个","5个 | 5","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-011","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","short-answer","Exam","8个，每个体积8 cm³","8个，每个体积8 cm³ | 8个，每个体积8立方厘米 | 8个，每个体积8cm³","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-012","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","fill-in","Challenge","心","心","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-013","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Core","6个","6个","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
"bnu-junior-ds-v1-s1-014","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","short-answer","Foundation","（1）10个面；（2）24条棱；（3）16个顶点","（1）10个面；（2）24条棱；（3）16个顶点 | 10个面，24条棱，16个顶点 | 10,24,16","pass","none","","","Approved by structural gate; include in S18 pass-sample review."
