id,grade,semester,unitTitle,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,examPatternCardIds,materialKind,assessmentFamily,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,reviewNotes
pep-primary-rag2-p1-lower-fi-001,P1,lower,破十法,within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法 | within-100-numbers | place-value-tens-ones,Core,fill-in,13 - 8 = □，用破十法先算10 - 8 = 2，再算3 + 2 = 5。所以□里填____。,,5,5,破十法：把13分成10和3，10减8得2，3加2得5。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction,unit-test,unit-test,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-002,P1,lower,找规律,within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法 | within-100-numbers | within-20-regrouping-subtraction | 20以内退位减法,Core,fill-in,按规律填数：2，5，8，11，____，17。,,14,14,每次加3，11加3得14。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review,comprehensive-assessment,lesson-practice,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-003,P1,lower,比较大小,within-100-numbers | place-value-tens-ones | number-order | 100以内数认识 | within-20-regrouping-subtraction | 20以内退位减法,Core,fill-in,比较大小：67 ○ 76，在○里填上“>”“<”或“=”。,,<,<,67十位是6，76十位是7，6<7，所以67<76。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value,unit-test,unit-test,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-004,P1,lower,图形拼组,plane-shapes | classification | shape-composition | 平面图形 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones | 20以内退位减法,Core,fill-in,用两个完全一样的三角形可以拼成一个长方形，这两个三角形是______三角形。,,直角,直角 | 直角三角形,两个完全一样的直角三角形可以拼成一个长方形，因为直角三角形的两个锐角拼在一起正好形成直角。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-plane-shapes-classification,unit-test,unit-test,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-005,P1,lower,分类与整理,renminbi | classification | data-organization | simple-application | 人民币 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones,Core,fill-in,把下面的钱数按从大到小的顺序排列：3元5角、5元3角、5角3分、3角5分。 ______ > ______ > ______ > ______,,5元3角 > 3元5角 > 5角3分 > 3角5分,5元3角 > 3元5角 > 5角3分 > 3角5分,比较时先看元，元相同看角，角相同看分。5元3角最大，3元5角其次，5角3分第三，3角5分最小。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-money-data-context,unit-test,unit-test,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-006,P1,lower,20以内退位减法,within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法 | within-100-numbers | place-value-tens-ones,Core,fill-in,计算12-5时，可以把12分成10和2，先算10-5=______，再算______+2=______。,,"5, 5, 7","5, 5, 7 | 5,5,7",破十法：12分成10和2，10-5=5，5+2=7，所以12-5=7。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction,unit-test,final,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-007,P1,lower,找规律,within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法 | within-100-numbers | within-20-regrouping-subtraction | 20以内退位减法,Foundation,fill-in,"按规律填数：90, 80, 70, ____, 50, ____。",,"60, 40","60, 40 | 60和40",规律是每次减10：90-10=80，80-10=70，所以70-10=60，50-10=40。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review,comprehensive-assessment,topic-drill,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-008,P1,lower,数的顺序,within-100-numbers | place-value-tens-ones | number-order | 100以内数认识 | within-20-regrouping-subtraction | 20以内退位减法,Core,fill-in,按规律填数：45、50、55、____、65。,,60,60,每次增加5，55加5是60，所以填60。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value,unit-test,unit-test,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-009,P1,lower,图形拼组,plane-shapes | classification | shape-composition | 平面图形 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones | 20以内退位减法,Foundation,fill-in,用两个同样的三角形可以拼成一个____形。,,平行四边,平行四边 | 平行四边形,两个完全一样的三角形可以拼成一个平行四边形。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-plane-shapes-classification,unit-test,unit-test,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-010,P1,lower,分类与整理,renminbi | classification | data-organization | simple-application | 人民币 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones,Core,fill-in,把下面的物品分成两类：苹果、香蕉、铅笔、橡皮、橘子、尺子。一类是____，另一类是____。,,水果，文具,水果，文具 | 水果 文具 | 水果、文具,苹果、香蕉、橘子是水果，铅笔、橡皮、尺子是文具。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-money-data-context,sync-practice,unit-test,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-011,P1,lower,解决问题,within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法 | within-100-numbers | place-value-tens-ones,Foundation,fill-in,树上有15只鸟，飞走了7只，还剩多少只？想：15可以分成10和5，先算10-7=3，再算3+5=□。,,8,8 | 8只,用破十法：15分成10和5，10-7=3，3+5=8，所以还剩8只鸟。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction,unit-test,unit-test,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-012,P1,lower,找规律,within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法 | within-100-numbers | within-20-regrouping-subtraction | 20以内退位减法,Core,fill-in,按规律填数：2，5，8，11，□，17。,,14,14,规律是每次加3：2+3=5，5+3=8，8+3=11，11+3=14，14+3=17，所以填14。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review,comprehensive-assessment,lesson-practice,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-013,P1,lower,十位和个位,within-100-numbers | place-value-tens-ones | number-order | 100以内数认识 | within-20-regrouping-subtraction | 20以内退位减法,Foundation,fill-in,一个数个位上是9，十位上是6，这个数是□，它后面的一个数是□。,,69，70,69，70 | 69 70,十位6个位9是69，后面的数比69多1，是70。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value,unit-test,unit-test,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
pep-primary-rag2-p1-lower-fi-014,P1,lower,图形拼组,plane-shapes | classification | shape-composition | 平面图形 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones | 20以内退位减法,Core,fill-in,用两个完全一样的三角形可以拼成什么图形？请写出两种。,,平行四边形，正方形,平行四边形，正方形 | 正方形，平行四边形 | 长方形，正方形 | 正方形，长方形 | 平行四边形，长方形 | 长方形，平行四边形,两个完全一样的三角形可以拼成平行四边形、长方形或正方形，其中正方形是特殊的长方形。写出两种即可。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-plane-shapes-classification,unit-test,unit-test,passed-auto-source-scan,pending-s18-review,pending-s18-review,Generated offline with DeepSeek V4 Pro from MAIS safe-RAG metadata only; pending deterministic audit and S18 blind review before app integration.
