qaBatch,id,codexStatus,severity,issueTags,rationale,repairedPromptZhHans,repairedAnswer
61,pep-junior-v3-s2-k09-mc-024,repair,major,grade_mismatch,题目是七年级绝对值比较，和 S2 一次函数与数据分析单元不匹配。,对于一次函数 y=2x-3，当 x 分别取 -1，0，2，4 时，函数值最大的是哪一个 x 对应的函数值？,x=4
61,pep-junior-v3-s2-k09-mc-026,repair,major,grade_mismatch,原题为分式化简，和一次函数与数据分析单元不匹配。,某网约车起步价10元，超过3 km后每增加1 km收费2元。若行驶里程为 x km（x>3），车费 y 元与 x 的关系式是？,y=2x+4
61,pep-junior-v3-s2-k09-mc-027,repair,major,grade_mismatch,原题为等腰三角形性质，和一次函数与数据分析单元不匹配。,"一次函数 y=kx+b 的图象经过点(0,2)和(3,8)，则 k 的值是？",2
61,pep-junior-v3-s2-k09-mc-028,repair,major,grade_mismatch,原题为勾股定理，和一次函数与数据分析单元不匹配。,一组数据为 6，8，10，10，12，则这组数据的众数是？,10
61,pep-junior-v3-s2-k09-mc-029,repair,major,grade_mismatch,原题为坐标平移，和一次函数与数据分析单元不匹配。,对于一次函数 y=-x+5，下列说法正确的是？,y随x的增大而减小
61,pep-junior-v3-s2-k09-mc-031,repair,blocker,copy_risk|template_repetition,原题与同批次前题高度重复，需要换成新的线性应用场景。,某蓄水池当前有水120 m³，每小时排水8 m³。若 t 小时后剩余水量为 y m³，则 y=120-8t。当剩余水量为72 m³时，t 的值是？,6
62,pep-junior-v3-s2-k09-mc-032,repair,blocker,ambiguous_mc,原选项中 28 和 32 都会导致众数不唯一，单选题不唯一。,某校八年级5个班参加植树活动，各班植树棵数分别为：30，32，28，30，x。已知这组数据的众数只有30，则 x 的值不可能是以下哪个数？,28
62,pep-junior-v3-s2-k09-mc-033,pass,none,,Codex复核认为不等式解法和答案均正确，DeepSeek自我修正后应判为误报。,,
64,pep-junior-v3-s2-k09-fi-028,repair,major,grade_mismatch,原题为二次根式化简，和一次函数与数据分析单元不匹配。,一次函数 y=-2x+7 中，当 x=3 时，y 的值为____。,1
65,pep-junior-v3-s2-k09-sa-002,repair,blocker,answer_mismatch|math_error,答案写甲班更稳定，但方差计算说明乙班更稳定。,"某校八年级两个班各10名学生的数学测验成绩（满分100分）如下：\n甲班：78, 85, 92, 67, 88, 75, 90, 83, 79, 81\n乙班：82, 86, 91, 73, 89, 80, 94, 77, 84, 88\n分别计算两个班的平均分，并说明哪个班的成绩更稳定。",甲班平均分81.8，乙班平均分84.4，乙班更稳定
