id,grade,topicId,topicTitleZhHans,chapter,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,examPatternCardIds,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,hybridMode,generatorFamily,generatorVariant,reviewNotes
pep-high-hybrid-v1-s4-s4-sets-logic-sa-001,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Core,short-answer,错题订正第1组：设A={x∈Z | 2≤x≤7}，B={x∈Z | 4≤x≤9}，写出A\B。,,"{2,3}","{2,3} | {2，3}","A中不属于B的整数是从2到3，所以A\B={2,3}。",pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-difference,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-fi-002,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Challenge,fill-in,专题复习第2组：设A={x∈Z | 3≤x≤9}，B={x∈Z | 4≤x≤12}，则A∪B中元素个数为______。,,10,10,两个区间相交，合并后为3到12的整数，共10个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-union,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-mc-003,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Foundation,multiple-choice,模型迁移第3组：设A={x∈Z | 4≤x≤11}，B={x∈Z | 6≤x≤12}，则A∩B中元素个数为多少？,7 | 9 | 6 | 5,6,6,交集为6到11的整数，共6个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-intersection,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-sa-004,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Exam,short-answer,单元诊断第4组：设A={x∈Z | 5≤x≤9}，B={x∈Z | 6≤x≤11}，写出A\B。,,{5},{5},A中不属于B的整数是从5到5，所以A\B={5}。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-difference,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-fi-005,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Core,fill-in,错题订正第5组：设A={x∈Z | 6≤x≤11}，B={x∈Z | 8≤x≤14}，则A∪B中元素个数为______。,,9,9,两个区间相交，合并后为6到14的整数，共9个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-union,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-mc-006,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Challenge,multiple-choice,专题复习第6组：设A={x∈Z | 7≤x≤13}，B={x∈Z | 8≤x≤14}，则A∩B中元素个数为多少？,6 | 5 | 7 | 8,6,6,交集为8到13的整数，共6个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-intersection,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-sa-007,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Foundation,short-answer,模型迁移第7组：设A={x∈Z | 1≤x≤8}，B={x∈Z | 3≤x≤10}，写出A\B。,,"{1,2}","{1,2} | {1，2}","A中不属于B的整数是从1到2，所以A\B={1,2}。",pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-difference,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-fi-008,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Exam,fill-in,单元诊断第8组：设A={x∈Z | 2≤x≤6}，B={x∈Z | 3≤x≤9}，则A∪B中元素个数为______。,,8,8,两个区间相交，合并后为2到9的整数，共8个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-union,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-mc-009,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Core,multiple-choice,错题订正第9组：设A={x∈Z | 3≤x≤8}，B={x∈Z | 5≤x≤9}，则A∩B中元素个数为多少？,5 | 7 | 4 | 3,4,4,交集为5到8的整数，共4个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-intersection,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-sa-010,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Challenge,short-answer,专题复习第10组：设A={x∈Z | 4≤x≤10}，B={x∈Z | 5≤x≤12}，写出A\B。,,{4},{4},A中不属于B的整数是从4到4，所以A\B={4}。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-difference,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-fi-011,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Foundation,fill-in,模型迁移第11组：设A={x∈Z | 5≤x≤12}，B={x∈Z | 7≤x≤15}，则A∪B中元素个数为______。,,11,11,两个区间相交，合并后为5到15的整数，共11个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-union,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-mc-012,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Exam,multiple-choice,单元诊断第12组：设A={x∈Z | 6≤x≤10}，B={x∈Z | 7≤x≤11}，则A∩B中元素个数为多少？,4 | 3 | 5 | 6,4,4,交集为7到10的整数，共4个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-intersection,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-sa-013,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Core,short-answer,错题订正第13组：设A={x∈Z | 7≤x≤12}，B={x∈Z | 9≤x≤14}，写出A\B。,,"{7,8}","{7,8} | {7，8}","A中不属于B的整数是从7到8，所以A\B={7,8}。",pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-difference,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-fi-014,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Challenge,fill-in,专题复习第14组：设A={x∈Z | 1≤x≤7}，B={x∈Z | 2≤x≤10}，则A∪B中元素个数为______。,,10,10,两个区间相交，合并后为1到10的整数，共10个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-union,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-mc-015,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Foundation,multiple-choice,模型迁移第15组：设A={x∈Z | 2≤x≤9}，B={x∈Z | 4≤x≤10}，则A∩B中元素个数为多少？,7 | 9 | 6 | 5,6,6,交集为4到9的整数，共6个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-intersection,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-sa-016,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Exam,short-answer,单元诊断第16组：设A={x∈Z | 3≤x≤7}，B={x∈Z | 4≤x≤9}，写出A\B。,,{3},{3},A中不属于B的整数是从3到3，所以A\B={3}。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-difference,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-fi-017,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Core,fill-in,错题订正第17组：设A={x∈Z | 4≤x≤9}，B={x∈Z | 6≤x≤12}，则A∪B中元素个数为______。,,9,9,两个区间相交，合并后为4到12的整数，共9个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-union,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
pep-high-hybrid-v1-s4-s4-sets-logic-mc-018,S4,pep-high-s4-sets-logic,集合与常用逻辑用语,集合与常用逻辑用语,sets | set-operations | logic-conditions | quantifiers | propositions | proof-language,Challenge,multiple-choice,专题复习第18组：设A={x∈Z | 5≤x≤11}，B={x∈Z | 6≤x≤12}，则A∩B中元素个数为多少？,6 | 5 | 7 | 8,6,6,交集为6到11的整数，共6个。,pep-high-sets-logic | pep-high-logic-quantifiers-conditions,,passed-safe-rag-rule-fallback,passed-deterministic-generator,passed-auto-zh-hans-scan,rule-fallback-after-bl-auth-missing,sets,integer-set-intersection,Candidate generated from MAIS safe RAG metadata and deterministic rules; bl/DashScope generation unavailable locally; S18 manual review required before promotion.
