questionId,topicId,grade,type,difficulty,storedAnswer,independentAnswer,computedAnswer,status,notes
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q01,us-ca-math-k-k-cc-count-sequence,K,multiple-choice,Low,10,10,10,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q02,us-ca-math-k-k-cc-count-sequence,K,fill-in,Medium,9,9,9,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q03,us-ca-math-k-k-cc-count-sequence,K,multiple-choice,Medium,5,5,5,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q04,us-ca-math-k-k-cc-count-sequence,K,short-answer,High,8,8,8,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q05,us-ca-math-k-k-cc-count-sequence,K,multiple-choice,Low,5,5,5,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q06,us-ca-math-k-k-cc-count-sequence,K,fill-in,Medium,8,8,8,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q07,us-ca-math-k-k-cc-count-sequence,K,multiple-choice,Medium,9,9,9,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q08,us-ca-math-k-k-cc-count-sequence,K,short-answer,High,8,8,8,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q09,us-ca-math-k-k-cc-count-sequence,K,multiple-choice,Low,11,11,11,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q10,us-ca-math-k-k-cc-count-sequence,K,fill-in,Medium,7,7,7,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q11,us-ca-math-k-k-cc-count-sequence,K,multiple-choice,Medium,4,4,4,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q12,us-ca-math-k-k-cc-count-sequence,K,short-answer,High,7,7,7,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q01,us-ca-math-k-k-cc-cardinality-compare,K,multiple-choice,Low,right group,right group,right group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q02,us-ca-math-k-k-cc-cardinality-compare,K,fill-in,Medium,left group,left group,left group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q03,us-ca-math-k-k-cc-cardinality-compare,K,multiple-choice,Medium,right group,right group,right group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q04,us-ca-math-k-k-cc-cardinality-compare,K,short-answer,High,left group,left group,left group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q05,us-ca-math-k-k-cc-cardinality-compare,K,multiple-choice,Low,right group,right group,right group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q06,us-ca-math-k-k-cc-cardinality-compare,K,fill-in,Medium,left group,left group,left group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q07,us-ca-math-k-k-cc-cardinality-compare,K,multiple-choice,Medium,right group,right group,right group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q08,us-ca-math-k-k-cc-cardinality-compare,K,multiple-choice,High,left group,left group,left group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q09,us-ca-math-k-k-cc-cardinality-compare,K,multiple-choice,Low,right group,right group,right group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q10,us-ca-math-k-k-cc-cardinality-compare,K,fill-in,Medium,left group,left group,left group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q11,us-ca-math-k-k-cc-cardinality-compare,K,multiple-choice,Medium,right group,right group,right group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q12,us-ca-math-k-k-cc-cardinality-compare,K,multiple-choice,High,left group,left group,left group,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q01,us-ca-math-k-k-oa-compose-decompose,K,fill-in,Low,5,5,5,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q02,us-ca-math-k-k-oa-compose-decompose,K,fill-in,Medium,5,5,5,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q03,us-ca-math-k-k-oa-compose-decompose,K,fill-in,Medium,4,4,4,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q04,us-ca-math-k-k-oa-compose-decompose,K,short-answer,High,9,9,9,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q05,us-ca-math-k-k-oa-compose-decompose,K,fill-in,Low,7,7,7,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q06,us-ca-math-k-k-oa-compose-decompose,K,fill-in,Medium,8,8,8,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q07,us-ca-math-k-k-oa-compose-decompose,K,fill-in,Medium,6,6,6,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q08,us-ca-math-k-k-oa-compose-decompose,K,short-answer,High,6,6,6,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q09,us-ca-math-k-k-oa-compose-decompose,K,fill-in,Low,4,4,4,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q10,us-ca-math-k-k-oa-compose-decompose,K,fill-in,Medium,6,6,6,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q11,us-ca-math-k-k-oa-compose-decompose,K,fill-in,Medium,3,3,3,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q12,us-ca-math-k-k-oa-compose-decompose,K,short-answer,High,7,7,7,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q01,us-ca-math-k-k-nbt-teen-numbers,K,multiple-choice,Low,13,13,13,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q02,us-ca-math-k-k-nbt-teen-numbers,K,fill-in,Medium,14,14,14,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q03,us-ca-math-k-k-nbt-teen-numbers,K,multiple-choice,Medium,1 ten and 5 ones,1 ten and 5 ones,1 ten and 5 ones,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q04,us-ca-math-k-k-nbt-teen-numbers,K,short-answer,High,6,6,6,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q05,us-ca-math-k-k-nbt-teen-numbers,K,multiple-choice,Low,17,17,17,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q06,us-ca-math-k-k-nbt-teen-numbers,K,fill-in,Medium,18,18,18,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q07,us-ca-math-k-k-nbt-teen-numbers,K,multiple-choice,Medium,1 ten and 9 ones,1 ten and 9 ones,1 ten and 9 ones,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q08,us-ca-math-k-k-nbt-teen-numbers,K,short-answer,High,1,1,1,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q09,us-ca-math-k-k-nbt-teen-numbers,K,multiple-choice,Low,12,12,12,pass,"Deterministic generated answer, independent answer, and computed answer agree."
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-nbt-teen-numbers-q10,us-ca-math-k-k-nbt-teen-numbers,K,fill-in,Medium,13,13,13,pass,"Deterministic generated answer, independent answer, and computed answer agree."
