reviewDate,reviewer,questionId,grade,semester,unitTitle,type,difficulty,promptZhHans,optionsZhHans,storedAnswer,acceptedAnswers,explanationZhHans,sourceStatus,mathCorrect,answerKeyMatches,explanationMatches,gradeFit,languageOk,classroomUsable,issueType,reviewNotes
2026-05-23,S18-manual-review,pep-primary-p1-lower-006,P1,lower,分类观察,short-answer,Core,老师给小朋友分图形卡片，有正方形、三角形、圆形三种。小明说：“我按形状分类，正方形有5张，三角形有3张，圆形有4张。”小红说：“我按颜色分类，红色有6张，蓝色有4张，黄色有2张。”请问图形卡片一共有多少张？,,12,12 | 12张,按形状分：5+3+4=12张；按颜色分：6+4+2=12张。两种分类结果相同，所以总共有12张。,passed-auto-source-scan,yes,yes,yes,yes,yes,approve,none,"Independent S18 review found the prompt, stored answer, accepted answers, explanation, grade fit, and simplified-language classroom wording internally consistent for candidate-only use."
2026-05-23,S18-manual-review,pep-primary-p1-lower-009,P1,lower,情境应用,short-answer,Core,妈妈去超市买了3个苹果，每个苹果2元，又买了一盒5元的牛奶。妈妈一共花了多少钱？请写出算式和答案。,,3×2=6元，6+5=11元，一共11元,3×2=6元，6+5=11元，一共11元 | 3×2=6 6+5=11 11元 | 2+2+2=6元 6+5=11元 一共11元 | 11元 | 11,3个苹果，每个2元，苹果总价3×2=6元，加上牛奶5元，6+5=11元。,passed-auto-source-scan,yes,yes,yes,yes,yes,approve,none,"Independent S18 review found the prompt, stored answer, accepted answers, explanation, grade fit, and simplified-language classroom wording internally consistent for candidate-only use."
2026-05-23,S18-manual-review,pep-primary-p1-lower-011,P1,lower,图形拼组,fill-in,Foundation,小芳用4个完全一样的正方形纸片拼图形。下面哪种拼法一定能拼出一个长方形？,,把4个正方形排成一排,把4个正方形排成一排 | 排成一排 | 4个正方形排成一排 | 把四个正方形排成一排,4个正方形排成一排，拼出的图形有4条边，对边相等，4个角都是直角，是一个长方形。其他拼法可能拼出正方形或不规则图形，不一定得到长方形。,passed-auto-source-scan,yes,yes,yes,yes,minor-edit,rewrite,language-polish,"Open fill-in answer is mathematically usable, but “下面哪种拼法” implies options; rewrite as “写出一种一定能拼成长方形的拼法”."
2026-05-23,S18-manual-review,pep-primary-p1-lower-015,P1,lower,一年级下册综合复习,short-answer,Core,学校图书角原来有35本故事书，同学们借走一些后还剩19本。借走了多少本？请列式并计算。,,16本,16本 | 16 | 借走了16本,用原来的本数减去还剩的本数：35-19=16（本）。计算时，个位5减9不够，从十位借1，15-9=6，十位3借走1剩2，2-1=1，所以得16。,passed-auto-source-scan,yes,yes,yes,yes,yes,approve,none,"Independent S18 review found the prompt, stored answer, accepted answers, explanation, grade fit, and simplified-language classroom wording internally consistent for candidate-only use."
2026-05-23,S18-manual-review,pep-primary-p1-lower-016,P1,lower,认识平面图形,multiple-choice,Foundation,下面哪个图形不是用4个同样的小正方形拼成的？,一个田字格形状 | 一个长条形状（4个正方形排成一排） | 一个L形状（3个正方形一排，另一个贴在一端下方） | 一个正方形,一个正方形,一个正方形,4个小正方形可以拼成田字格、长条、L形等，但单独一个正方形只用了一个小正方形，不是用4个拼成的。,passed-auto-source-scan,yes,yes,yes,yes,yes,approve,none,"Independent S18 review found the prompt, stored answer, accepted answers, explanation, grade fit, and simplified-language classroom wording internally consistent for candidate-only use."
2026-05-23,S18-manual-review,pep-primary-p1-lower-017,P1,lower,20以内退位减法,fill-in,Core,计算12-7时，先把12分成10和2，先算10-7=3，再算3+2=5。这种方法是______。,,破十法,破十法 | 破十法（或平十法）,把十几的数分成10和几，先用10减去减数，再加上剩下的几，这种方法叫做破十法。,passed-auto-source-scan,yes,yes,yes,yes,yes,approve,none,"Independent S18 review found the prompt, stored answer, accepted answers, explanation, grade fit, and simplified-language classroom wording internally consistent for candidate-only use."
2026-05-23,S18-manual-review,pep-primary-p1-lower-021,P1,lower,分类观察,short-answer,Core,桌面上有下面这些图形：一个红色正方形，一个蓝色正方形，一个红色三角形，一个蓝色三角形，一个红色圆形。想一想，按颜色分类，红色图形有几个？按形状分类，正方形有几个？,,按颜色分：3个；按形状分：2个,按颜色分：3个；按形状分：2个 | 红色：3，正方形：2 | 3；2,红色图形有红色正方形、红色三角形、红色圆形，共3个。正方形有红色正方形和蓝色正方形，共2个。,passed-auto-source-scan,yes,yes,yes,yes,yes,approve,none,"Independent S18 review found the prompt, stored answer, accepted answers, explanation, grade fit, and simplified-language classroom wording internally consistent for candidate-only use."
2026-05-23,S18-manual-review,pep-primary-p1-lower-022,P1,lower,破十法,multiple-choice,Foundation,计算 13 - 8 时，下面哪种方法正确使用了“破十法”？,"把13分成10和3，先算10-8=2，再算2+3=5 | 把8分成3和5，先算13-3=10，再算10-5=5 | 想8+5=13，所以13-8=5 | 从13开始倒着数8个：12,11,10,9,8,7,6,5",把13分成10和3，先算10-8=2，再算2+3=5,把13分成10和3，先算10-8=2，再算2+3=5,破十法就是把十几的数分成10和几，先用10减去减数，再把剩下的和个位上的数相加。选项1正是这样做的。,passed-auto-source-scan,yes,yes,yes,yes,yes,approve,none,"Independent S18 review found the prompt, stored answer, accepted answers, explanation, grade fit, and simplified-language classroom wording internally consistent for candidate-only use."
2026-05-23,S18-manual-review,pep-primary-p1-lower-026,P1,lower,图形拼组,fill-in,Foundation,用两个完全一样的三角形可以拼成一个什么图形？,,平行四边形（或长方形、正方形）,平行四边形（或长方形、正方形） | 平行四边形 | 长方形 | 正方形 | 平行四边形或长方形 | 平行四边形或正方形,两个完全一样的三角形，通过旋转、平移，可以拼成一个平行四边形。如果三角形是直角三角形，可以拼成长方形或正方形。,passed-auto-source-scan,yes,yes,yes,yes,yes,approve,none,"Independent S18 review found the prompt, stored answer, accepted answers, explanation, grade fit, and simplified-language classroom wording internally consistent for candidate-only use."
2026-05-23,S18-manual-review,pep-primary-p1-lower-028,P1,lower,比较大小,multiple-choice,Foundation,下面哪组数字是按从大到小的顺序排列的？,78，87，96 | 64，46，28 | 91，89，92 | 55，60，50,64，46，28,64，46，28,从大到小排列，数字应该越来越小。64>46>28，符合要求。其他组都不是从大到小。,passed-auto-source-scan,yes,yes,yes,yes,yes,approve,none,"Independent S18 review found the prompt, stored answer, accepted answers, explanation, grade fit, and simplified-language classroom wording internally consistent for candidate-only use."
2026-05-23,S18-manual-review,pep-primary-p1-lower-029,P1,lower,分类与整理,fill-in,Core,"下表是二（1）班同学最喜欢的水果情况：
苹果：8人，香蕉：5人，草莓：12人，西瓜：9人。
最喜欢草莓的人数比最喜欢苹果的多几人？",,4人,4人 | 4,草莓12人，苹果8人，12-8=4（人）。,passed-auto-source-scan,yes,yes,yes,borderline,minor-edit,rewrite,grade-mismatch,"Math is correct, but a P1 item should not refer to 二（1）班; change the class label to 一（1）班 or remove it."
