questionId,grade,topicId,type,difficulty,round1Status,round2Status,decision,reviewer,notes
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q01,K,us-ca-math-k-k-cc-count-sequence,multiple-choice,Low,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q02,K,us-ca-math-k-k-cc-count-sequence,fill-in,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q03,K,us-ca-math-k-k-cc-count-sequence,multiple-choice,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q04,K,us-ca-math-k-k-cc-count-sequence,short-answer,High,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q05,K,us-ca-math-k-k-cc-count-sequence,multiple-choice,Low,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q06,K,us-ca-math-k-k-cc-count-sequence,fill-in,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q07,K,us-ca-math-k-k-cc-count-sequence,multiple-choice,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q08,K,us-ca-math-k-k-cc-count-sequence,short-answer,High,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q09,K,us-ca-math-k-k-cc-count-sequence,multiple-choice,Low,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q10,K,us-ca-math-k-k-cc-count-sequence,fill-in,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q11,K,us-ca-math-k-k-cc-count-sequence,multiple-choice,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q12,K,us-ca-math-k-k-cc-count-sequence,short-answer,High,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q01,K,us-ca-math-k-k-cc-cardinality-compare,multiple-choice,Low,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q02,K,us-ca-math-k-k-cc-cardinality-compare,fill-in,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q03,K,us-ca-math-k-k-cc-cardinality-compare,multiple-choice,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q04,K,us-ca-math-k-k-cc-cardinality-compare,short-answer,High,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q05,K,us-ca-math-k-k-cc-cardinality-compare,multiple-choice,Low,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q06,K,us-ca-math-k-k-cc-cardinality-compare,fill-in,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q07,K,us-ca-math-k-k-cc-cardinality-compare,multiple-choice,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q08,K,us-ca-math-k-k-cc-cardinality-compare,multiple-choice,High,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q09,K,us-ca-math-k-k-cc-cardinality-compare,multiple-choice,Low,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q10,K,us-ca-math-k-k-cc-cardinality-compare,fill-in,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q11,K,us-ca-math-k-k-cc-cardinality-compare,multiple-choice,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q12,K,us-ca-math-k-k-cc-cardinality-compare,multiple-choice,High,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q01,K,us-ca-math-k-k-oa-compose-decompose,fill-in,Low,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q02,K,us-ca-math-k-k-oa-compose-decompose,fill-in,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q03,K,us-ca-math-k-k-oa-compose-decompose,fill-in,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q04,K,us-ca-math-k-k-oa-compose-decompose,short-answer,High,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q05,K,us-ca-math-k-k-oa-compose-decompose,fill-in,Low,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q06,K,us-ca-math-k-k-oa-compose-decompose,fill-in,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q07,K,us-ca-math-k-k-oa-compose-decompose,fill-in,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q08,K,us-ca-math-k-k-oa-compose-decompose,short-answer,High,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q09,K,us-ca-math-k-k-oa-compose-decompose,fill-in,Low,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q10,K,us-ca-math-k-k-oa-compose-decompose,fill-in,Medium,pass,pass,accept-candidate-only,S18 internal QA,Accepted for candidate-only package after two internal QA rounds; not approved for live integration in this dialogue.
