id,grade,semester,type,difficulty,topicId,unitTitle,solvable,answerMatches,severity,issueTags,correctAnswer,rationale,answer,acceptedAnswers,optionsZhHans,promptZhHans
bnu-primary-ds-v1-p1-001,P1,upper,multiple-choice,Foundation,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,1,1,1|2|3|5,教室里，老师请5位小朋友站成一排，每人手里举一张数字卡片，从左到右依次是：2、4、1、5、3。老师问：“从左数，第3个小朋友举的数字是几？”
bnu-primary-ds-v1-p1-002,P1,upper,fill-in,Core,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,5,5,,树上有3只小鸟，又飞来2只。现在树上一共有多少只小鸟？请填数字。
bnu-primary-ds-v1-p1-003,P1,upper,short-answer,Challenge,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,6-2=4,6-2=4|4,,妈妈买了6个苹果，吃掉一些后还剩2个。妈妈吃了几个苹果？请写出算式和答案。
bnu-primary-ds-v1-p1-004,P1,upper,multiple-choice,Exam,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,5只,5只,4只|5只|6只|7只,小动物们排队做操。从左边数，小兔排在第2个；从右边数，小兔排在第4个。这一队一共有多少只小动物？
bnu-primary-ds-v1-p1-005,P1,upper,fill-in,Foundation,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,7,7,,盘子里有一些草莓，吃掉4颗后，还剩3颗。盘子里原来有多少颗草莓？请填数字。
bnu-primary-ds-v1-p1-006,P1,upper,short-answer,Core,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,9-5=4,9-5=4|4,,小明有9块糖，分给弟弟一些后，自己还剩5块。小明分给弟弟多少块糖？请写出算式和答案。
bnu-primary-ds-v1-p1-007,P1,upper,multiple-choice,Challenge,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,2种,2种,1种|2种|3种|4种,数字卡片上写着0、3、5、7、9。老师把卡片扣在桌上，让小朋友抽一张。抽到比5大的数有几种可能？
bnu-primary-ds-v1-p1-008,P1,upper,fill-in,Exam,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,10,10,,一盒蜡笔，用掉2支后还剩8支。这盒蜡笔原来有多少支？请填数字。
bnu-primary-ds-v1-p1-009,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,3+6=9,3+6=9|9,,停车场里开走3辆车后，还有6辆车。停车场原来有多少辆车？请写出算式和答案。
bnu-primary-ds-v1-p1-010,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,5张,5张,2张|5张|7张|9张,小丽有7张贴纸，送给好朋友一些后，还剩2张。小丽送出去多少张贴纸？
bnu-primary-ds-v1-p1-011,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,7,7|七个,,小美在整理她的玩具盒。她把玩具一个一个地放在桌上，一边放一边数：1、2、3、4、5、6、7。她数到7的时候，桌上正好放完了所有的玩具。请问小美一共有几个玩具？
bnu-primary-ds-v1-p1-012,P1,upper,short-answer,Exam,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,不对，从0到10一共有11个数。,不对，从0到10一共有11个数。|不对，有11个数。|不对，11个。,,老师让小明从0开始数到10，小明这样数：0、1、2、3、4、5、6、7、8、9、10。数完后，老师问：“你一共数了几个数？”小明想了想说：“10个。”你认为小明说得对吗？为什么？
bnu-primary-ds-v1-p1-013,P1,upper,multiple-choice,Foundation,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,0,0,0|1|2|3,下面哪个数表示一个也没有？
bnu-primary-ds-v1-p1-014,P1,upper,fill-in,Core,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,1,1|一,,数一数，填一填。教室里有5张桌子，每张桌子配1把椅子，现在有4把椅子。还缺___把椅子。
bnu-primary-ds-v1-p1-015,P1,upper,short-answer,Challenge,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,6颗。因为给了妹妹6颗后自己剩下0颗，说明原来只有6颗，全部给了妹妹。,6颗。因为给了妹妹6颗后自己剩下0颗，说明原来只有6颗，全部给了妹妹。|6颗|6,,小华有一些糖果，他先数出6颗给妹妹，自己还剩下0颗。小华原来有几颗糖果？请你说一说你是怎么想的。
bnu-primary-ds-v1-p1-016,P1,upper,multiple-choice,Exam,bnu-primary-p1-upper-life-number-sense,生活中的数,yes,yes,none,,,题目信息完整，答案正确。,3个,3个,2个|3个|4个|5个,小动物们排队做操，从前往后数，小兔排在第3个，小猴排在第7个。小兔和小猴之间有几个小动物？
bnu-primary-ds-v1-p1-017,P1,upper,fill-in,Foundation,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,多,多|多2支,,比一比，填一填。小丽有6支铅笔，小刚有4支铅笔。小丽的铅笔比小刚的___。
bnu-primary-ds-v1-p1-018,P1,upper,short-answer,Core,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,红绳子长，长3米。,红绳子长，长3米。|红绳子长，长3米|红绳长，长3米,,两根绳子，红绳子长8米，蓝绳子长5米。哪根绳子长？长多少米？
bnu-primary-ds-v1-p1-019,P1,upper,multiple-choice,Challenge,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,小宇,小宇,小杰|小文|小宇|一样重,三个小朋友比体重。小杰重25千克，小文重22千克，小宇重28千克。他们三人中，谁最重？
bnu-primary-ds-v1-p1-020,P1,upper,fill-in,Exam,bnu-primary-p1-upper-comparison,比较,yes,yes,none,,,题目信息完整，答案正确。,同样多,同样多|一样多,,在括号里填上“多”“少”或“同样多”。盘子里有5个苹果和5个梨，苹果和梨___。
