start,end,chapter,visual,audio,on_screen_text
00:00:00,00:00:08,Student,Student pauses on math problem then MAIS home,VO line 1,Every learner needs a pathway
00:00:08,00:00:18,Student,MAIS brand grade selector bilingual UI,VO line 2,MAIS: AI-supported math learning
00:00:18,00:00:30,Student,Dashboard mastery streak topics recommendation,VO line 3,Personalized next step
00:00:30,00:00:42,Student,Roadmap lesson visualization lab,VO line 4,See it. Try it. Understand it.
00:00:42,00:00:52,Student,Practice answer feedback mistake saved,VO line 5,Mistakes become learning data
00:00:52,00:01:00,Student,AI Tutor panel analytics cards,VO line 6,AI help, with learning evidence
00:01:00,00:01:08,Teacher,Teacher dashboard KPIs teaching queue,VO line 7,Teacher dashboard
00:01:08,00:01:20,Teacher,Analytics heatmap risk list intervention groups,VO line 8,Find who needs help
00:01:20,00:01:30,Teacher,Live classroom check reteach signal,VO line 9,Less admin. Faster intervention.
00:01:30,00:01:40,Founder,Dr. Peter Hu direct to camera,VO line 10,Dr. Peter Hu, Developer of MAIS
00:01:40,00:01:52,Founder,Student and teacher screen cuts,VO line 11,Adaptive infrastructure for learning
00:01:52,00:02:05,Founder,Codex code build process product screens,VO line 12,Research to working product
00:02:05,00:02:18,Founder,MAIS feature montage,VO line 13,Pilot-ready MVP
00:02:18,00:02:30,Founder,Closing montage MAIS logo,VO line 14,MAIS: prosperous learning environments
