id,grade,usGradeLabel,topicId,sourceKind,domainId,clusterTitle,currentDifficulty,s18RecommendedDifficulty,type,validationMethod,answer,promptEn
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q01,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,Low,Low,multiple-choice,computed-counting,10,"Count Sequence checkpoint: On a warm-up card, count or model, then answer: count the collection: 10 cubes are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q02,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,Medium,Medium,fill-in,computed-counting,9,"Count Sequence checkpoint: During partner practice, write the missing answer: count the collection: 9 cards are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q03,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,Medium,Medium,multiple-choice,computed-counting,5,"Count Sequence checkpoint: On a classroom mat, choose the best answer: count the collection: 5 shells are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q04,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,High,High,short-answer,computed-counting,8,"Count Sequence checkpoint: In a quick check, show the reasoning in one step: count the collection: 8 counters are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q05,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,Low,Low,multiple-choice,computed-counting,5,"Count Sequence checkpoint: On a math notebook page, use a quick check strategy: count the collection: 5 tiles are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q06,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,Medium,Medium,fill-in,computed-counting,8,"Count Sequence checkpoint: At a learning station, solve with a drawing or number sentence: count the collection: 8 stickers are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q07,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,Medium,Medium,multiple-choice,computed-counting,9,"Count Sequence checkpoint: On a teacher card, look for the important numbers: count the collection: 9 blocks are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q08,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,High,High,short-answer,computed-counting,8,"Count Sequence checkpoint: During independent practice, explain the matching idea: count the collection: 8 buttons are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q09,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,Low,Low,multiple-choice,computed-counting,11,"Count Sequence checkpoint: On an exit ticket, try a second strategy to confirm: count the collection: 11 cubes are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q10,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,Medium,Medium,fill-in,computed-counting,7,"Count Sequence checkpoint: In a review game, answer and check the unit or label: count the collection: 7 cards are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q11,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,Medium,Medium,multiple-choice,computed-counting,4,"Count Sequence checkpoint: On a strategy board, use the topic idea to decide: count the collection: 4 shells are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-count-sequence-q12,K,Kindergarten,us-ca-math-k-k-cc-count-sequence,k-g5-textbook-lesson,K.CC,Count Sequence,High,High,short-answer,computed-counting,7,"Count Sequence checkpoint: During a small-group check, finish the challenge carefully: count the collection: 7 counters are on a mat. How many objects are on the mat?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q01,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,Low,Low,multiple-choice,computed-comparison,right group,"Cardinality Compare checkpoint: On a warm-up card, count or model, then answer: one card shows 10 dots. Another card shows 13 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q02,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,Medium,Medium,fill-in,computed-comparison,left group,"Cardinality Compare checkpoint: During partner practice, write the missing answer: one card shows 13 dots. Another card shows 9 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q03,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,Medium,Medium,multiple-choice,computed-comparison,right group,"Cardinality Compare checkpoint: On a classroom mat, choose the best answer: one card shows 4 dots. Another card shows 6 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q04,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,High,High,short-answer,computed-comparison,left group,"Cardinality Compare checkpoint: In a quick check, show the reasoning in one step: one card shows 7 dots. Another card shows 4 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q05,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,Low,Low,multiple-choice,computed-comparison,right group,"Cardinality Compare checkpoint: On a math notebook page, use a quick check strategy: one card shows 10 dots. Another card shows 14 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q06,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,Medium,Medium,fill-in,computed-comparison,left group,"Cardinality Compare checkpoint: At a learning station, solve with a drawing or number sentence: one card shows 13 dots. Another card shows 11 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q07,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,Medium,Medium,multiple-choice,computed-comparison,right group,"Cardinality Compare checkpoint: On a teacher card, look for the important numbers: one card shows 4 dots. Another card shows 7 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q08,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,High,High,multiple-choice,computed-comparison,left group,"Cardinality Compare checkpoint: During independent practice, explain the matching idea: one card shows 7 dots. Another card shows 3 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q09,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,Low,Low,multiple-choice,computed-comparison,right group,"Cardinality Compare checkpoint: On an exit ticket, try a second strategy to confirm: one card shows 10 dots. Another card shows 12 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q10,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,Medium,Medium,fill-in,computed-comparison,left group,"Cardinality Compare checkpoint: In a review game, answer and check the unit or label: one card shows 13 dots. Another card shows 10 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q11,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,Medium,Medium,multiple-choice,computed-comparison,right group,"Cardinality Compare checkpoint: On a strategy board, use the topic idea to decide: one card shows 4 dots. Another card shows 8 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-cc-cardinality-compare-q12,K,Kindergarten,us-ca-math-k-k-cc-cardinality-compare,k-g5-textbook-lesson,K.CC,Cardinality Compare,High,High,multiple-choice,computed-comparison,left group,"Cardinality Compare checkpoint: During a small-group check, finish the challenge carefully: one card shows 7 dots. Another card shows 5 dots. Which card has more dots?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q01,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,Low,Low,fill-in,computed-subtraction,5,"Compose Decompose checkpoint: On a warm-up card, count or model, then answer: there are 9 stickers. 4 are moved away. How many stickers are left?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q02,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,Medium,Medium,fill-in,computed-addition,5,"Compose Decompose checkpoint: During partner practice, write the missing answer: a tray has 2 red counters and 3 blue counters. How many counters are on the tray?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q03,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,Medium,Medium,fill-in,computed-subtraction,4,"Compose Decompose checkpoint: On a classroom mat, choose the best answer: there are 7 buttons. 3 are moved away. How many buttons are left?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q04,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,High,High,short-answer,computed-addition,9,"Compose Decompose checkpoint: In a quick check, show the reasoning in one step: a tray has 4 red stickers and 5 blue stickers. How many stickers are on the tray?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q05,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,Low,Low,fill-in,computed-subtraction,7,"Compose Decompose checkpoint: On a math notebook page, use a quick check strategy: there are 9 cards. 2 are moved away. How many cards are left?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q06,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,Medium,Medium,fill-in,computed-addition,8,"Compose Decompose checkpoint: At a learning station, solve with a drawing or number sentence: a tray has 6 red buttons and 2 blue buttons. How many buttons are on the tray?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q07,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,Medium,Medium,fill-in,computed-subtraction,6,"Compose Decompose checkpoint: On a teacher card, look for the important numbers: there are 7 counters. 1 are moved away. How many counters are left?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q08,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,High,High,short-answer,computed-addition,6,"Compose Decompose checkpoint: During independent practice, explain the matching idea: a tray has 3 red cards and 3 blue cards. How many cards are on the tray?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q09,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,Low,Low,fill-in,computed-subtraction,4,"Compose Decompose checkpoint: On an exit ticket, try a second strategy to confirm: there are 9 stickers. 5 are moved away. How many stickers are left?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q10,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,Medium,Medium,fill-in,computed-addition,6,"Compose Decompose checkpoint: In a review game, answer and check the unit or label: a tray has 5 red counters and 1 blue counter. How many counters are on the tray?"
us-ca-k5-knowledge-point-practice-v1-us-ca-math-k-k-oa-compose-decompose-q11,K,Kindergarten,us-ca-math-k-k-oa-compose-decompose,k-g5-textbook-lesson,K.OA,Compose Decompose,Medium,Medium,fill-in,computed-subtraction,3,"Compose Decompose checkpoint: On a strategy board, use the topic idea to decide: there are 7 buttons. 4 are moved away. How many buttons are left?"
