"topicId","grade","volume","chapter","studentContract","teacherGuideContract","sourceSafety","mathQa","terminologyQa","lessonEntryPublisher","questionBankGate","teacherSignoff","verdict","notes"
"hjb-high-compulsory-1-sets-logic","S4","必修 第一册","集合与逻辑","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-1-equations-inequalities","S4","必修 第一册","等式与不等式","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-1-powers-exponents-logarithms","S4","必修 第一册","幂、指数与对数","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-1-power-exponential-log-functions","S4","必修 第一册","幂函数、指数函数与对数函数","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-1-function-concepts-applications","S4","必修 第一册","函数的概念、性质及应用","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-2-trigonometry-foundations","S4","必修 第二册","三角","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-2-trigonometric-functions","S4","必修 第二册","三角函数","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-2-plane-vectors","S4","必修 第二册","平面向量","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-2-complex-numbers","S4","必修 第二册","复数","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-3-spatial-lines-planes","S5","必修 第三册","空间直线与平面","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-3-simple-solids","S5","必修 第三册","简单几何体","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-3-probability-foundations","S5","必修 第三册","概率初步","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-compulsory-3-statistics","S5","必修 第三册","统计","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-selective-1-lines","S5","选择性必修 第一册","平面直角坐标系中的直线","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-selective-1-conics","S5","选择性必修 第一册","圆锥曲线","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-selective-1-space-vectors","S5","选择性必修 第一册","空间向量及其应用","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-selective-1-sequences","S5","选择性必修 第一册","数列","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-selective-2-derivatives","S6","选择性必修 第二册","导数及其运用","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-selective-2-counting-principles","S6","选择性必修 第二册","计数原理","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-selective-2-probability-continuation","S6","选择性必修 第二册","概率初步续","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
"hjb-high-selective-2-bivariate-data","S6","选择性必修 第二册","成对数据的统计分析","pass","pass","pass","pass-s18","pass-s18","MAINLAND_HJB","pass-no-production-practice","pending-independent-teacher-review","PASS_WITH_TEACHER_SIGNOFF_PENDING","S18 full-package QA passed; independent classroom teacher signoff is still pending."
