id,grade,topicId,type,difficulty,generatorFamily,generatorVariant,independentAnswer,storedAnswer,status,reviewReason,notes
pep-high-hybrid-v1-s4-s4-sets-logic-sa-001,S4,pep-high-s4-sets-logic,short-answer,Core,sets,integer-set-difference,"{2,3}","{2,3}",pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-002,S4,pep-high-s4-sets-logic,fill-in,Challenge,sets,integer-set-union,10,10,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-003,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,sets,integer-set-intersection,6,6,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-004,S4,pep-high-s4-sets-logic,short-answer,Exam,sets,integer-set-difference,{5},{5},pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-005,S4,pep-high-s4-sets-logic,fill-in,Core,sets,integer-set-union,9,9,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-006,S4,pep-high-s4-sets-logic,multiple-choice,Challenge,sets,integer-set-intersection,6,6,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-007,S4,pep-high-s4-sets-logic,short-answer,Foundation,sets,integer-set-difference,"{1,2}","{1,2}",pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-008,S4,pep-high-s4-sets-logic,fill-in,Exam,sets,integer-set-union,8,8,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-009,S4,pep-high-s4-sets-logic,multiple-choice,Core,sets,integer-set-intersection,4,4,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-010,S4,pep-high-s4-sets-logic,short-answer,Challenge,sets,integer-set-difference,{4},{4},pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-011,S4,pep-high-s4-sets-logic,fill-in,Foundation,sets,integer-set-union,11,11,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-012,S4,pep-high-s4-sets-logic,multiple-choice,Exam,sets,integer-set-intersection,4,4,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-013,S4,pep-high-s4-sets-logic,short-answer,Core,sets,integer-set-difference,"{7,8}","{7,8}",pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-014,S4,pep-high-s4-sets-logic,fill-in,Challenge,sets,integer-set-union,10,10,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-015,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,sets,integer-set-intersection,6,6,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-016,S4,pep-high-s4-sets-logic,short-answer,Exam,sets,integer-set-difference,{3},{3},pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-017,S4,pep-high-s4-sets-logic,fill-in,Core,sets,integer-set-union,9,9,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-018,S4,pep-high-s4-sets-logic,multiple-choice,Challenge,sets,integer-set-intersection,6,6,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-019,S4,pep-high-s4-sets-logic,short-answer,Foundation,sets,integer-set-difference,"{6,7}","{6,7}",pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-020,S4,pep-high-s4-sets-logic,fill-in,Exam,sets,integer-set-union,8,8,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-021,S4,pep-high-s4-sets-logic,multiple-choice,Core,sets,integer-set-intersection,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-022,S4,pep-high-s4-sets-logic,short-answer,Challenge,sets,integer-set-difference,{2},{2},pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-023,S4,pep-high-s4-sets-logic,fill-in,Foundation,sets,integer-set-union,11,11,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-024,S4,pep-high-s4-sets-logic,multiple-choice,Exam,sets,integer-set-intersection,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-025,S4,pep-high-s4-sets-logic,short-answer,Core,sets,integer-set-difference,"{5,6}","{5,6}",pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-026,S4,pep-high-s4-sets-logic,fill-in,Challenge,sets,integer-set-union,10,10,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-027,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,sets,integer-set-intersection,6,6,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-028,S4,pep-high-s4-sets-logic,short-answer,Exam,sets,integer-set-difference,{1},{1},pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-029,S4,pep-high-s4-sets-logic,fill-in,Core,sets,integer-set-union,9,9,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-030,S4,pep-high-s4-sets-logic,multiple-choice,Challenge,sets,integer-set-intersection,6,6,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-031,S4,pep-high-s4-sets-logic,short-answer,Foundation,sets,integer-set-difference,"{4,5}","{4,5}",pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-032,S4,pep-high-s4-sets-logic,fill-in,Exam,sets,integer-set-union,8,8,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-033,S4,pep-high-s4-sets-logic,multiple-choice,Core,sets,integer-set-intersection,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-034,S4,pep-high-s4-sets-logic,short-answer,Challenge,sets,integer-set-difference,{7},{7},pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-fi-035,S4,pep-high-s4-sets-logic,fill-in,Foundation,sets,integer-set-union,11,11,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-mc-036,S4,pep-high-s4-sets-logic,multiple-choice,Exam,sets,integer-set-intersection,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-037,S4,pep-high-s4-sets-logic,short-answer,Core,sets,integer-set-difference,"{3,4}","{3,4}",pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-038,S4,pep-high-s4-sets-logic,short-answer,Challenge,sets,integer-set-difference,{4},{4},pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-039,S4,pep-high-s4-sets-logic,short-answer,Foundation,sets,integer-set-difference,"{5,6}","{5,6}",pass,,OK
pep-high-hybrid-v1-s4-s4-sets-logic-sa-040,S4,pep-high-s4-sets-logic,short-answer,Exam,sets,integer-set-difference,{6},{6},pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-001,S4,pep-high-s4-quadratic-inequalities,short-answer,Core,quadratic,quadratic-minimum,-4,-4,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-002,S4,pep-high-s4-quadratic-inequalities,fill-in,Challenge,quadratic,quadratic-axis,1,1,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-003,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Foundation,quadratic,quadratic-inequality-interval,"[-1, 7]","[-1, 7]",pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-004,S4,pep-high-s4-quadratic-inequalities,short-answer,Exam,quadratic,quadratic-minimum,-1,-1,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-005,S4,pep-high-s4-quadratic-inequalities,fill-in,Core,quadratic,quadratic-axis,3,3,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-006,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Challenge,quadratic,quadratic-inequality-interval,"[2, 8]","[2, 8]",pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-007,S4,pep-high-s4-quadratic-inequalities,short-answer,Foundation,quadratic,quadratic-minimum,-16,-16,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-008,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,quadratic,quadratic-axis,5,5,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-009,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Core,quadratic,quadratic-inequality-interval,"[-4, 0]","[-4, 0]",pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-010,S4,pep-high-s4-quadratic-inequalities,short-answer,Challenge,quadratic,quadratic-minimum,-9,-9,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-011,S4,pep-high-s4-quadratic-inequalities,fill-in,Foundation,quadratic,quadratic-axis,2,2,pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-012,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,quadratic,quadratic-inequality-interval,"[-1, 1]","[-1, 1]",pass,topic-balanced-s18-sample,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-013,S4,pep-high-s4-quadratic-inequalities,short-answer,Core,quadratic,quadratic-minimum,-4,-4,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-014,S4,pep-high-s4-quadratic-inequalities,fill-in,Challenge,quadratic,quadratic-axis,4,4,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-015,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Foundation,quadratic,quadratic-inequality-interval,"[2, 10]","[2, 10]",pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-016,S4,pep-high-s4-quadratic-inequalities,short-answer,Exam,quadratic,quadratic-minimum,-1,-1,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-017,S4,pep-high-s4-quadratic-inequalities,fill-in,Core,quadratic,quadratic-axis,6,6,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-018,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Challenge,quadratic,quadratic-inequality-interval,"[-4, 2]","[-4, 2]",pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-019,S4,pep-high-s4-quadratic-inequalities,short-answer,Foundation,quadratic,quadratic-minimum,-16,-16,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-020,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,quadratic,quadratic-axis,-1,-1,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-021,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Core,quadratic,quadratic-inequality-interval,"[-1, 3]","[-1, 3]",pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-022,S4,pep-high-s4-quadratic-inequalities,short-answer,Challenge,quadratic,quadratic-minimum,-9,-9,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-023,S4,pep-high-s4-quadratic-inequalities,fill-in,Foundation,quadratic,quadratic-axis,5,5,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-024,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,quadratic,quadratic-inequality-interval,"[2, 4]","[2, 4]",pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-025,S4,pep-high-s4-quadratic-inequalities,short-answer,Core,quadratic,quadratic-minimum,-4,-4,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-026,S4,pep-high-s4-quadratic-inequalities,fill-in,Challenge,quadratic,quadratic-axis,7,7,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-027,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Foundation,quadratic,quadratic-inequality-interval,"[-4, 4]","[-4, 4]",pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-028,S4,pep-high-s4-quadratic-inequalities,short-answer,Exam,quadratic,quadratic-minimum,-1,-1,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-029,S4,pep-high-s4-quadratic-inequalities,fill-in,Core,quadratic,quadratic-axis,0,0,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-mc-030,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Challenge,quadratic,quadratic-inequality-interval,"[-1, 5]","[-1, 5]",pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-sa-031,S4,pep-high-s4-quadratic-inequalities,short-answer,Foundation,quadratic,quadratic-minimum,-16,-16,pass,,OK
pep-high-hybrid-v1-s4-s4-quadratic-inequalities-fi-032,S4,pep-high-s4-quadratic-inequalities,fill-in,Exam,quadratic,quadratic-axis,2,2,pass,,OK
