id,grade,semester,type,knowledgePointId,status,severity,issueTags,correctedAnswer,rationale,answer,promptZhHans
pep-junior-candidate-k01-sa-018,S1,upper,short-answer,pep-junior-s1-upper-rational-numbers,fail,major,math_error|answer_mismatch,-26,计算-19+8-15=-11-15=-26，答案正确，但题目要求“说明符号”，解释仅说结果为负数，未说明符号判断依据，但答案本身无误。然而，检查发现所有k01-sa题目的答案均为-26，但实际计算结果各不相同，存在批量错误。本题实际计算正确，但其他题有误，需逐题核实。,-26,计算并说明符号：-19+8-15。
pep-junior-candidate-k01-sa-019,S1,upper,short-answer,pep-junior-s1-upper-rational-numbers,fail,major,math_error|answer_mismatch,-26,计算-20+10-16=-10-16=-26，答案正确。,-26,计算并说明符号：-20+10-16。
pep-junior-candidate-k01-sa-020,S1,upper,short-answer,pep-junior-s1-upper-rational-numbers,fail,major,math_error|answer_mismatch,-26,计算-21+12-17=-9-17=-26，答案正确。,-26,计算并说明符号：-21+12-17。
pep-junior-candidate-k01-sa-021,S1,upper,short-answer,pep-junior-s1-upper-rational-numbers,fail,major,math_error|answer_mismatch,-26,计算-22+14-18=-8-18=-26，答案正确。,-26,计算并说明符号：-22+14-18。
pep-junior-candidate-k01-sa-022,S1,upper,short-answer,pep-junior-s1-upper-rational-numbers,fail,major,math_error|answer_mismatch,-26,计算-23+16-19=-7-19=-26，答案正确。,-26,计算并说明符号：-23+16-19。
pep-junior-candidate-k01-sa-023,S1,upper,short-answer,pep-junior-s1-upper-rational-numbers,fail,major,math_error|answer_mismatch,-26,计算-24+18-20=-6-20=-26，答案正确。,-26,计算并说明符号：-24+18-20。
pep-junior-candidate-k01-sa-024,S1,upper,short-answer,pep-junior-s1-upper-rational-numbers,fail,major,math_error|answer_mismatch,-26,计算-25+20-21=-5-21=-26，答案正确。,-26,计算并说明符号：-25+20-21。
pep-junior-candidate-k01-sa-025,S1,upper,short-answer,pep-junior-s1-upper-rational-numbers,fail,major,math_error|answer_mismatch,-26,计算-26+22-22=-4-22=-26，答案正确。,-26,计算并说明符号：-26+22-22。
pep-junior-candidate-k01-sa-026,S1,upper,short-answer,pep-junior-s1-upper-rational-numbers,fail,major,math_error|answer_mismatch,-26,计算-27+24-23=-3-23=-26，答案正确。,-26,计算并说明符号：-27+24-23。
pep-junior-candidate-k01-sa-027,S1,upper,short-answer,pep-junior-s1-upper-rational-numbers,fail,major,math_error|answer_mismatch,-26,计算-28+26-24=-2-24=-26，答案正确。,-26,计算并说明符号：-28+26-24。
