"questionId","grade","semester","topicId","unitTitle","type","difficulty","answer","acceptedAnswers","qaStatus","severity","issueCodes","issueDetails","recommendedAction"
"hjb-primary-ds-v1-p1-001","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","multiple-choice","Foundation","C. 先拿出糖果，一颗一颗数，然后告诉同桌“我拿了5颗”","C. 先拿出糖果，一颗一颗数，然后告诉同桌“我拿了5颗”","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-primary-ds-v1-p1-002","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","fill-in","Core","8","8 | 八","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-primary-ds-v1-p1-003","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","short-answer","Challenge","颜色、最多","颜色、最多 | 颜色和最多 | 红色、蓝色、黄色、最多","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-primary-ds-v1-p1-004","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","multiple-choice","Exam","B. 小刚说：“教室里有3扇窗户，比门多。”","B. 小刚说：“教室里有3扇窗户，比门多。”","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-primary-ds-v1-p1-005","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","fill-in","Foundation","5","5 | 五","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-primary-ds-v1-p1-006","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","short-answer","Core","小红","小红","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-primary-ds-v1-p1-007","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","multiple-choice","Challenge","认真听老师拍手，拍完后想一想，再举手说出拍手的次数。","认真听老师拍手，拍完后想一想，再举手说出拍手的次数。","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-primary-ds-v1-p1-008","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","fill-in","Exam","5","5 | 五","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-primary-ds-v1-p1-009","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","short-answer","Foundation","认真听，不插话，等小朋友说完再举手说自己的想法。","认真听，不插话，等小朋友说完再举手说自己的想法。 | 认真听，不打断，等别人说完再举手。 | 安静听，等别人说完再发言。","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-primary-ds-v1-p1-010","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","multiple-choice","Core","小刚说：“黑板是长方形的。”","小刚说：“黑板是长方形的。”","pass","none","","","Passed structural gate; include in S18 pass-sample review."
