id,grade,semester,type,difficulty,topicId,unitTitle,status,severity,issueTags,correctedAnswer,rationale,answer,promptZhHans
hjb-primary-ds-v1-p1-001,P1,upper,multiple-choice,Foundation,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,题目清晰，选项区分度好，答案正确，符合一年级学习习惯培养目标。,C. 先拿出糖果，一颗一颗数，然后告诉同桌“我拿了5颗”,数学课上，老师说：“请每个小朋友从盒子里拿出5颗糖果，然后数一数，告诉同桌你拿了几颗。”下面哪个做法是正确的？
hjb-primary-ds-v1-p1-002,P1,upper,fill-in,Core,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,答案8正确，接受中文数字，符合听力与加法练习要求。,8,老师拍手，第一次拍3下，第二次拍5下。请你仔细听，然后回答：老师一共拍了______下。
hjb-primary-ds-v1-p1-003,P1,upper,short-answer,Challenge,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,答案合理，接受多种表述，考察数学语言识别，难度适合挑战。,颜色、最多,小明在数学游戏中说：“我看到的积木有红色、蓝色、黄色，红色积木最多。”请你写出小明用了哪些数学语言？
hjb-primary-ds-v1-p1-004,P1,upper,multiple-choice,Exam,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,选项B明确包含数量和比较，是数学发现，其他选项无关，答案正确。,B. 小刚说：“教室里有3扇窗户，比门多。”,老师让小朋友观察教室里的物品，然后说一个数学发现。下面哪个小朋友的发现最像数学发现？
hjb-primary-ds-v1-p1-005,P1,upper,fill-in,Foundation,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,比3多2是5，答案正确，接受中文数字，符合基础计算。,5,游戏规则：老师说“请你拿出比3多2的积木块数”。你应该拿出______块积木。
hjb-primary-ds-v1-p1-006,P1,upper,short-answer,Core,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,小红提到圆形（形状）和一个（数字1），符合既有数字又有形状，答案正确。,小红,老师让小朋友说一说自己书包里有什么数学有关的东西。小明说：“我的书包里有3本数学书。”小红说：“我的书包里有一个圆形的笔筒。”小华说：“我的书包里有很多铅笔。”谁说的话里既有数字又有形状？请写出这个小朋友的名字。
hjb-primary-ds-v1-p1-007,P1,upper,multiple-choice,Challenge,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,选项描述清晰，正确答案强调认真听、想、举手，符合学习习惯要求。,认真听老师拍手，拍完后想一想，再举手说出拍手的次数。,数学课上，老师拍手，小朋友要仔细听，然后说出老师拍了几下。下面哪个做法最好？
hjb-primary-ds-v1-p1-008,P1,upper,fill-in,Exam,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,3+2=5，答案正确，题目考察按指令操作和加法，难度适合考试。,5,在数学游戏中，老师说：“请拿出3个红色积木和2个蓝色积木。”小明先拿了2个红色积木，又拿了1个红色积木，再拿了2个蓝色积木。他一共拿了______个积木。
hjb-primary-ds-v1-p1-009,P1,upper,short-answer,Foundation,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,答案合理，接受多种相近表述，考察倾听习惯，符合基础要求。,认真听，不插话，等小朋友说完再举手说自己的想法。,请你说一说，在数学课上，当其他小朋友在发言时，你应该怎么做？
hjb-primary-ds-v1-p1-010,P1,upper,multiple-choice,Core,hjb-primary-p1-upper-school-math-habits,我是小学生与数学学习习惯,pass,none,,,小刚说出形状，是数学发现，其他选项无关，答案正确。,小刚说：“黑板是长方形的。”,老师让小朋友观察教室里的物品，并说出一个数学发现。下面哪个小朋友的发现是数学发现？
