"id","grade","type","originalTags","originalRationale","finalDecision","fixSummary","currentAnswer"
"bnu-primary-ds-v2-p1-046","P1","multiple-choice","ambiguous_mc","选项A和D都是4+3=7，存在两个正确选项，建议修改选项避免重复。","remediated","Multiple-choice options are now unique; only `4+3=7` matches the prompt.","4+3=7"
"bnu-primary-ds-v2-p1-057","P1","short-answer","accepted_answer_gap","葡萄通常为紫色，答案将其归为黄色系可能引起争议，建议acceptedAnswers增加按实际颜色分类的答案。","remediated","Fruit-color classification now separates banana, orange, and purple grape categories.","按颜色分，可以分成四类：红色有苹果、草莓；黄色有香蕉；橙色有橘子；紫色有葡萄。"
"bnu-primary-ds-v2-p1-060","P1","short-answer","accepted_answer_gap","葡萄通常为紫色，答案将其归为紫色正确，但前一题类似情境有争议，建议统一。","remediated","Prompt explicitly says `紫葡萄`, and answer/accepted answers use the same term.","按颜色分：红色——苹果、草莓；黄色——香蕉；橙色——橘子；紫色——紫葡萄。"
"bnu-primary-ds-v2-p1-129","P1","short-answer","public_readiness","答案依赖生活经验，非纯数学判断，可能引起争议。","remediated","Prompt now states both school-time class events directly instead of relying on general life experience.","对，因为上午10时和下午2时都是上课时间，小红分别在上数学课和美术课，所以她在学校。"
"bnu-primary-ds-v2-p1-171","P1","short-answer","missing_condition","题目未明确笔筒和橡皮的左右位置，答案假设笔筒在左、橡皮在右，可能引起争议。","remediated","Prompt now states the left-to-right object order; answer aligns with that condition.","看到一个长方形和一个正方形，长方形在左边，正方形在右边。"
"bnu-primary-ds-v2-p1-175","P1","multiple-choice","ambiguous_mc","圆柱从正面看可能是长方形或正方形，题目说看到正方形，但未说明圆柱高度等于直径。","remediated","Prompt now constrains the cylinder height and diameter so the front view can be a square.","圆柱"
"bnu-primary-ds-v2-p2-060","P2","short-answer","accepted_answer_gap","答案仅列正方形和长方形，但两个相同长方形也可拼成平行四边形等，建议补充或说明条件。","remediated","Prompt restricts the two same rectangles to side-to-side joins that produce square and rectangle outcomes.","正方形，长方形"
"bnu-primary-ds-v2-p3-080","P3","fill-in","accepted_answer_gap","题目问“大约一共有多少个字”，答案给出精确值1624，但acceptedAnswers包含“约1600”。","remediated","Answer is now an estimate (`约1600个字`) matching the approximate wording.","约1600个字"
"bnu-primary-ds-v2-p3-115","P3","multiple-choice","ambiguous_mc","0.99和1.01与1的距离都是0.01，严格数学上距离相等，可能引起争议。","remediated","`1.01` was replaced with `1.02`, making `0.99` the unique closest value to 1.","0.99"
"bnu-primary-ds-v2-p4-036","P4","short-answer","accepted_answer_gap","估算部分答案给出1200，但解释中提及118≈100得1200，而118≈120得1440，估算方法不唯一。","remediated","Estimate and explanation now consistently use 118≈120, yielding 1440 km before exact 1416 km.","估算：1440千米；精确：1416千米"
"bnu-primary-ds-v2-p5-240","P5","fill-in","public_readiness","答案337.5本，书本数应为整数，题目数据可能导致非整数结果。","remediated","Total book count changed to 544, producing the integer technology-book answer 340.","340"
