id,grade,semester,knowledgePointId,type,difficulty,status,notes
pep-junior-v3-s1-k01-mc-001,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-002,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-003,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-004,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-005,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-006,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-007,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-008,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-009,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-010,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-011,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-012,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-013,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-014,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-015,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-016,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-017,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-018,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-019,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-020,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-021,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-022,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-mc-023,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-001,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-002,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-003,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-004,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-005,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-006,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-007,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-008,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-009,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-010,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-011,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-012,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-013,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-014,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-015,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-016,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-017,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-018,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-019,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-020,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-021,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-022,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-fi-023,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-001,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-002,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-003,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-004,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-005,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-006,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-007,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-008,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-009,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-010,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-011,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-012,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-013,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-014,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-015,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-016,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-017,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-018,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-019,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-020,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-021,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k01-sa-022,S1,upper,pep-junior-s1-upper-rational-numbers,short-answer,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-002,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-003,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-004,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-005,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-006,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-007,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-008,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-009,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-010,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-011,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-012,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-013,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-014,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
pep-junior-v3-s1-k02-mc-015,S1,upper,pep-junior-s1-upper-expressions-linear-equations,multiple-choice,Foundation,structure-pass-review-required,
