"id","grade","semester","topicId","unitTitle","type","difficulty","reviewReason","reviewStatus","reviewer","reviewNotes"
"bnu-primary-ds-v2-p1-006","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","short-answer","Core","grade-pass-sample","approved","S18","S18 manual sample approved after checking solvability, answer alignment, accepted-answer coverage, grade/topic fit, terminology, and source-distance safety; candidate only, not public integration."
"bnu-primary-ds-v2-p1-008","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","fill-in","Exam","grade-pass-sample","approved","S18","S18 manual sample approved after checking solvability, answer alignment, accepted-answer coverage, grade/topic fit, terminology, and source-distance safety; candidate only, not public integration."
"bnu-primary-ds-v2-p1-010","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Core","grade-pass-sample","approved","S18","S18 manual sample approved after checking solvability, answer alignment, accepted-answer coverage, grade/topic fit, terminology, and source-distance safety; candidate only, not public integration."
"bnu-primary-ds-v2-p1-020","P1","upper","bnu-primary-p1-upper-comparison","比较","fill-in","Exam","grade-pass-sample","approved","S18","S18 manual sample approved after checking solvability, answer alignment, accepted-answer coverage, grade/topic fit, terminology, and source-distance safety; candidate only, not public integration."
"bnu-primary-ds-v2-p1-045","P1","upper","bnu-primary-p1-upper-within-10-add-sub","加与减（一）","short-answer","Foundation","grade-pass-sample","approved","S18","S18 manual sample approved after checking solvability, answer alignment, accepted-answer coverage, grade/topic fit, terminology, and source-distance safety; candidate only, not public integration."
"bnu-primary-ds-v2-p1-050","P1","upper","bnu-primary-p1-upper-classification","分类","fill-in","Challenge","grade-pass-sample","approved","S18","S18 manual sample approved after checking solvability, answer alignment, accepted-answer coverage, grade/topic fit, terminology, and source-distance safety; candidate only, not public integration."
"bnu-primary-ds-v2-p1-053","P1","upper","bnu-primary-p1-upper-classification","分类","fill-in","Challenge","grade-pass-sample","approved","S18","S18 manual sample approved after checking solvability, answer alignment, accepted-answer coverage, grade/topic fit, terminology, and source-distance safety; candidate only, not public integration."
"bnu-primary-ds-v2-p1-054","P1","upper","bnu-primary-p1-upper-classification","分类","short-answer","Foundation","grade-pass-sample","approved","S18","S18 manual sample approved after checking solvability, answer alignment, accepted-answer coverage, grade/topic fit, terminology, and source-distance safety; candidate only, not public integration."
"bnu-primary-ds-v2-p1-065","P1","upper","bnu-primary-p1-upper-position-order","位置与顺序","fill-in","Challenge","grade-pass-sample","approved","S18","S18 manual sample approved after checking solvability, answer alignment, accepted-answer coverage, grade/topic fit, terminology, and source-distance safety; candidate only, not public integration."
"bnu-primary-ds-v2-p1-067","P1","upper","bnu-primary-p1-upper-position-order","位置与顺序","multiple-choice","Core","grade-pass-sample","approved","S18","S18 manual sample approved after checking solvability, answer alignment, accepted-answer coverage, grade/topic fit, terminology, and source-distance safety; candidate only, not public integration."
