reviewReason,id,grade,topicId,type,difficulty,generatorFamily,generatorVariant,auditStatus,independentAnswer,storedAnswer,manualStatus,mathCorrect,curriculumFit,wordingNatural,sourceSafe,fixRecommendation,reviewerNotes
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-fi-002,S4,pep-high-s4-complex-numbers,fill-in,Core,complex,complex-modulus-squared,pass,9,9,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-fi-005,S4,pep-high-s4-complex-numbers,fill-in,Core,complex,complex-modulus-squared,pass,8,8,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-fi-008,S4,pep-high-s4-complex-numbers,fill-in,Core,complex,complex-modulus-squared,pass,2,2,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-fi-011,S4,pep-high-s4-complex-numbers,fill-in,Core,complex,complex-modulus-squared,pass,17,17,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-mc-003,S4,pep-high-s4-complex-numbers,multiple-choice,Challenge,complex,complex-addition,pass,1+3i,1+3i,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-mc-006,S4,pep-high-s4-complex-numbers,multiple-choice,Challenge,complex,complex-addition,pass,-4+2i,-4+2i,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-mc-009,S4,pep-high-s4-complex-numbers,multiple-choice,Challenge,complex,complex-addition,pass,2+1i,2+1i,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-mc-012,S4,pep-high-s4-complex-numbers,multiple-choice,Challenge,complex,complex-addition,pass,-3+0i,-3+0i,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-sa-001,S4,pep-high-s4-complex-numbers,short-answer,Foundation,complex,complex-product,pass,-2-6i,-2-6i,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-complex-numbers-sa-004,S4,pep-high-s4-complex-numbers,short-answer,Foundation,complex,complex-product,pass,0+5i,0+5i,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-fi-002,S4,pep-high-s4-exp-log,fill-in,Challenge,exp-log,exponential-equation,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-fi-005,S4,pep-high-s4-exp-log,fill-in,Core,exp-log,exponential-equation,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-fi-008,S4,pep-high-s4-exp-log,fill-in,Exam,exp-log,exponential-equation,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-fi-011,S4,pep-high-s4-exp-log,fill-in,Foundation,exp-log,exponential-equation,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-mc-003,S4,pep-high-s4-exp-log,multiple-choice,Foundation,exp-log,log-power,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-mc-006,S4,pep-high-s4-exp-log,multiple-choice,Challenge,exp-log,log-power,pass,3,3,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-mc-009,S4,pep-high-s4-exp-log,multiple-choice,Core,exp-log,log-power,pass,2,2,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-mc-012,S4,pep-high-s4-exp-log,multiple-choice,Exam,exp-log,log-power,pass,1,1,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-sa-001,S4,pep-high-s4-exp-log,short-answer,Core,exp-log,log-sum,pass,5,5,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-exp-log-sa-004,S4,pep-high-s4-exp-log,short-answer,Exam,exp-log,log-sum,pass,4,4,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-function-properties-fi-002,S4,pep-high-s4-function-properties,fill-in,Challenge,functions,sqrt-domain,pass,"[0, +∞)","[0, +∞)",pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-function-properties-fi-005,S4,pep-high-s4-function-properties,fill-in,Core,functions,sqrt-domain,pass,"[3, +∞)","[3, +∞)",pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-function-properties-fi-008,S4,pep-high-s4-function-properties,fill-in,Exam,functions,sqrt-domain,pass,"[-2, +∞)","[-2, +∞)",pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-function-properties-fi-011,S4,pep-high-s4-function-properties,fill-in,Foundation,functions,sqrt-domain,pass,"[1, +∞)","[1, +∞)",pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-function-properties-mc-003,S4,pep-high-s4-function-properties,multiple-choice,Foundation,functions,linear-function-value,pass,20,20,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-function-properties-mc-006,S4,pep-high-s4-function-properties,multiple-choice,Challenge,functions,linear-function-value,pass,6,6,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-function-properties-mc-009,S4,pep-high-s4-function-properties,multiple-choice,Core,functions,linear-function-value,pass,23,23,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-function-properties-mc-012,S4,pep-high-s4-function-properties,multiple-choice,Exam,functions,linear-function-value,pass,6,6,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-function-properties-sa-001,S4,pep-high-s4-function-properties,short-answer,Core,functions,linear-monotonicity,pass,在R上单调递减,在R上单调递减,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-function-properties-sa-004,S4,pep-high-s4-function-properties,short-answer,Exam,functions,linear-monotonicity,pass,在R上单调递增,在R上单调递增,pending,,,,,,
topic-balanced-s18-sample,pep-high-hybrid-v1-s4-s4-plane-vectors-fi-002,S4,pep-high-s4-plane-vectors,fill-in,Foundation,plane-vectors,vector-length-squared,pass,9,9,pending,,,,,,
