templateFamilyId,illustrationCategory,categoryLabelZh,illustrationPhase,gptImage2Batch,topicId,unitTitle,questionType,questionCount,gradeBreakdown,difficultyBreakdown,representativeQuestionId,representativePromptZhHans,normalizedPromptTemplate,suggestedImageKind,exactMathLabelsNeeded,notes,questionIds
pep-junior-illustration-template-001,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,33,S1: 33,Core: 33,pep-junior-v2-s1-k04-fi-001,两条平行直线被一条截线所截，一组同位角中一个角为89°，另一个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,parallel lines cut by a transversal diagram,"yes: line labels, angle arcs, angle values, and parallel marks should be deterministic overlays",Use a transversal template for parallel-line angle relationships.,pep-junior-v2-s1-k04-fi-001 pep-junior-v2-s1-k04-fi-002 pep-junior-v2-s1-k04-fi-003 pep-junior-v2-s1-k04-fi-004 pep-junior-v2-s1-k04-fi-005 pep-junior-v2-s1-k04-fi-006 pep-junior-v2-s1-k04-fi-007 pep-junior-v2-s1-k04-fi-008 pep-junior-v2-s1-k04-fi-009 pep-junior-v2-s1-k04-fi-010 pep-junior-v2-s1-k04-fi-011 pep-junior-v2-s1-k04-fi-012 pep-junior-v2-s1-k04-fi-013 pep-junior-v2-s1-k04-fi-014 pep-junior-v2-s1-k04-fi-015 pep-junior-v2-s1-k04-fi-016 pep-junior-v2-s1-k04-fi-017 pep-junior-v2-s1-k04-fi-018 pep-junior-v2-s1-k04-fi-019 pep-junior-v2-s1-k04-fi-020 pep-junior-v2-s1-k04-fi-021 pep-junior-v2-s1-k04-fi-022 pep-junior-v2-s1-k04-fi-023 pep-junior-v2-s1-k04-fi-024 pep-junior-v2-s1-k04-fi-025 pep-junior-v2-s1-k04-fi-026 pep-junior-v2-s1-k04-fi-027 pep-junior-v2-s1-k04-fi-028 pep-junior-v2-s1-k04-fi-029 pep-junior-v2-s1-k04-fi-030 pep-junior-v2-s1-k04-fi-031 pep-junior-v2-s1-k04-fi-032 pep-junior-v2-s1-k04-fi-033
pep-junior-illustration-template-002,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-s1-upper-geometric-figures,几何图形初步,multiple-choice,22,S1: 22,Core: 22,pep-junior-v2-s1-k03-mc-001,两个角组成平角，其中一个角是42°，另一个角是多少？,两个角组成平角，其中N个角是#°，另N个角是多少？,basic plane-geometry angle diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays","Use simple line, ray, segment, and angle bases for early geometry rows.",pep-junior-v2-s1-k03-mc-001 pep-junior-v2-s1-k03-mc-002 pep-junior-v2-s1-k03-mc-003 pep-junior-v2-s1-k03-mc-004 pep-junior-v2-s1-k03-mc-005 pep-junior-v2-s1-k03-mc-006 pep-junior-v2-s1-k03-mc-007 pep-junior-v2-s1-k03-mc-008 pep-junior-v2-s1-k03-mc-009 pep-junior-v2-s1-k03-mc-010 pep-junior-v2-s1-k03-mc-011 pep-junior-v2-s1-k03-mc-012 pep-junior-v2-s1-k03-mc-013 pep-junior-v2-s1-k03-mc-014 pep-junior-v2-s1-k03-mc-015 pep-junior-v2-s1-k03-mc-016 pep-junior-v2-s1-k03-mc-017 pep-junior-v2-s1-k03-mc-018 pep-junior-v2-s1-k03-mc-019 pep-junior-v2-s1-k03-mc-020 pep-junior-v2-s1-k03-mc-021 pep-junior-v2-s1-k03-mc-022
pep-junior-illustration-template-003,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-s1-upper-geometric-figures,几何图形初步,fill-in,22,S1: 22,Core: 22,pep-junior-v2-s1-k03-fi-001,线段AB长14厘米，点C是AB的中点。AC=____。,线段PP长#厘米，点P是PP的中点。PP=____。,basic plane-geometry angle diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays","Use simple line, ray, segment, and angle bases for early geometry rows.",pep-junior-v2-s1-k03-fi-001 pep-junior-v2-s1-k03-fi-002 pep-junior-v2-s1-k03-fi-003 pep-junior-v2-s1-k03-fi-004 pep-junior-v2-s1-k03-fi-005 pep-junior-v2-s1-k03-fi-006 pep-junior-v2-s1-k03-fi-007 pep-junior-v2-s1-k03-fi-008 pep-junior-v2-s1-k03-fi-009 pep-junior-v2-s1-k03-fi-010 pep-junior-v2-s1-k03-fi-011 pep-junior-v2-s1-k03-fi-012 pep-junior-v2-s1-k03-fi-013 pep-junior-v2-s1-k03-fi-014 pep-junior-v2-s1-k03-fi-015 pep-junior-v2-s1-k03-fi-016 pep-junior-v2-s1-k03-fi-017 pep-junior-v2-s1-k03-fi-018 pep-junior-v2-s1-k03-fi-019 pep-junior-v2-s1-k03-fi-020 pep-junior-v2-s1-k03-fi-021 pep-junior-v2-s1-k03-fi-022
pep-junior-illustration-template-004,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-s1-upper-geometric-figures,几何图形初步,short-answer,22,S1: 22,Core: 22,pep-junior-v2-s1-k03-sa-001,两个角互余，其中一个角是79°。求另一个角的度数，并写出理由。,两个角互余，其中N个角是#°。求另N个角的度数，并写出理由。,basic plane-geometry angle diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays","Use simple line, ray, segment, and angle bases for early geometry rows.",pep-junior-v2-s1-k03-sa-001 pep-junior-v2-s1-k03-sa-002 pep-junior-v2-s1-k03-sa-003 pep-junior-v2-s1-k03-sa-004 pep-junior-v2-s1-k03-sa-005 pep-junior-v2-s1-k03-sa-006 pep-junior-v2-s1-k03-sa-007 pep-junior-v2-s1-k03-sa-008 pep-junior-v2-s1-k03-sa-009 pep-junior-v2-s1-k03-sa-010 pep-junior-v2-s1-k03-sa-011 pep-junior-v2-s1-k03-sa-012 pep-junior-v2-s1-k03-sa-013 pep-junior-v2-s1-k03-sa-014 pep-junior-v2-s1-k03-sa-015 pep-junior-v2-s1-k03-sa-016 pep-junior-v2-s1-k03-sa-017 pep-junior-v2-s1-k03-sa-018 pep-junior-v2-s1-k03-sa-019 pep-junior-v2-s1-k03-sa-020 pep-junior-v2-s1-k03-sa-021 pep-junior-v2-s1-k03-sa-022
pep-junior-illustration-template-005,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,二次根式、勾股定理与平行四边形,fill-in,34,S2: 34,Core: 34,pep-junior-v2-s2-k08-fi-001,直角三角形两条直角边分别为5厘米和12厘米，斜边长____。,直角N角形两条直角边分别为#厘米和#厘米，斜边长____。,right triangle side-length diagram,"yes: side labels, right-angle mark, and length values should be deterministic overlays",Use a right-triangle base for Pythagorean-reasoning rows.,pep-junior-v2-s2-k08-fi-001 pep-junior-v2-s2-k08-fi-002 pep-junior-v2-s2-k08-fi-003 pep-junior-v2-s2-k08-fi-004 pep-junior-v2-s2-k08-fi-005 pep-junior-v2-s2-k08-fi-006 pep-junior-v2-s2-k08-fi-007 pep-junior-v2-s2-k08-fi-008 pep-junior-v2-s2-k08-fi-009 pep-junior-v2-s2-k08-fi-010 pep-junior-v2-s2-k08-fi-011 pep-junior-v2-s2-k08-fi-012 pep-junior-v2-s2-k08-fi-013 pep-junior-v2-s2-k08-fi-014 pep-junior-v2-s2-k08-fi-015 pep-junior-v2-s2-k08-fi-016 pep-junior-v2-s2-k08-fi-017 pep-junior-v2-s2-k08-fi-018 pep-junior-v2-s2-k08-fi-019 pep-junior-v2-s2-k08-fi-020 pep-junior-v2-s2-k08-fi-021 pep-junior-v2-s2-k08-fi-022 pep-junior-v2-s2-k08-fi-023 pep-junior-v2-s2-k08-fi-024 pep-junior-v2-s2-k08-fi-025 pep-junior-v2-s2-k08-fi-026 pep-junior-v2-s2-k08-fi-027 pep-junior-v2-s2-k08-fi-028 pep-junior-v2-s2-k08-fi-029 pep-junior-v2-s2-k08-fi-030 pep-junior-v2-s2-k08-fi-031 pep-junior-v2-s2-k08-fi-032 pep-junior-v2-s2-k08-fi-033 pep-junior-v2-s2-k08-fi-034
pep-junior-illustration-template-006,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,二次根式、勾股定理与平行四边形,short-answer,34,S2: 34,Core: 33; Exam: 1,pep-junior-v2-s2-k08-sa-001,平行四边形ABCD中，AB=6厘米。若CD与AB是对边，CD长多少？,平行N边形PPPP中，PP=#厘米。若PP与PP是对边，PP长多少？,quadrilateral side/parallel-mark diagram,"yes: vertices, side lengths, parallel marks, and relevant angle labels should be deterministic overlays",Use a clean quadrilateral template with side and parallel cues.,pep-junior-v2-s2-k08-sa-001 pep-junior-v2-s2-k08-sa-002 pep-junior-v2-s2-k08-sa-003 pep-junior-v2-s2-k08-sa-004 pep-junior-v2-s2-k08-sa-005 pep-junior-v2-s2-k08-sa-006 pep-junior-v2-s2-k08-sa-007 pep-junior-v2-s2-k08-sa-008 pep-junior-v2-s2-k08-sa-009 pep-junior-v2-s2-k08-sa-010 pep-junior-v2-s2-k08-sa-011 pep-junior-v2-s2-k08-sa-012 pep-junior-v2-s2-k08-sa-013 pep-junior-v2-s2-k08-sa-014 pep-junior-v2-s2-k08-sa-015 pep-junior-v2-s2-k08-sa-016 pep-junior-v2-s2-k08-sa-017 pep-junior-v2-s2-k08-sa-018 pep-junior-v2-s2-k08-sa-019 pep-junior-v2-s2-k08-sa-020 pep-junior-v2-s2-k08-sa-021 pep-junior-v2-s2-k08-sa-022 pep-junior-v2-s2-k08-sa-023 pep-junior-v2-s2-k08-sa-024 pep-junior-v2-s2-k08-sa-025 pep-junior-v2-s2-k08-sa-026 pep-junior-v2-s2-k08-sa-027 pep-junior-v2-s2-k08-sa-028 pep-junior-v2-s2-k08-sa-029 pep-junior-v2-s2-k08-sa-030 pep-junior-v2-s2-k08-sa-031 pep-junior-v2-s2-k08-sa-032 pep-junior-v2-s2-k08-sa-033 pep-junior-v2-s2-k08-sa-034
pep-junior-illustration-template-007,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,multiple-choice,34,S2: 34,Foundation: 34,pep-junior-v2-s2-k06-mc-001,三角形的两个内角分别为65°和67°，第三个内角是多少？,N角形的两个内角分别为#°和#°，第N个内角是多少？,triangle angle/congruence diagram,"yes: vertices, angle arcs, side marks, and congruence/symmetry labels should be deterministic overlays","Use triangle templates for angle sums, isosceles triangles, congruence, and symmetry.",pep-junior-v2-s2-k06-mc-001 pep-junior-v2-s2-k06-mc-002 pep-junior-v2-s2-k06-mc-003 pep-junior-v2-s2-k06-mc-004 pep-junior-v2-s2-k06-mc-005 pep-junior-v2-s2-k06-mc-006 pep-junior-v2-s2-k06-mc-007 pep-junior-v2-s2-k06-mc-008 pep-junior-v2-s2-k06-mc-009 pep-junior-v2-s2-k06-mc-010 pep-junior-v2-s2-k06-mc-011 pep-junior-v2-s2-k06-mc-012 pep-junior-v2-s2-k06-mc-013 pep-junior-v2-s2-k06-mc-014 pep-junior-v2-s2-k06-mc-015 pep-junior-v2-s2-k06-mc-016 pep-junior-v2-s2-k06-mc-017 pep-junior-v2-s2-k06-mc-018 pep-junior-v2-s2-k06-mc-019 pep-junior-v2-s2-k06-mc-020 pep-junior-v2-s2-k06-mc-021 pep-junior-v2-s2-k06-mc-022 pep-junior-v2-s2-k06-mc-023 pep-junior-v2-s2-k06-mc-024 pep-junior-v2-s2-k06-mc-025 pep-junior-v2-s2-k06-mc-026 pep-junior-v2-s2-k06-mc-027 pep-junior-v2-s2-k06-mc-028 pep-junior-v2-s2-k06-mc-029 pep-junior-v2-s2-k06-mc-030 pep-junior-v2-s2-k06-mc-031 pep-junior-v2-s2-k06-mc-032 pep-junior-v2-s2-k06-mc-033 pep-junior-v2-s2-k06-mc-034
pep-junior-illustration-template-008,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,fill-in,34,S2: 34,Foundation: 34,pep-junior-v2-s2-k06-fi-001,等腰三角形的顶角为72°，每个底角为____。,等腰N角形的顶角为#°，每个底角为____。,triangle angle/congruence diagram,"yes: vertices, angle arcs, side marks, and congruence/symmetry labels should be deterministic overlays","Use triangle templates for angle sums, isosceles triangles, congruence, and symmetry.",pep-junior-v2-s2-k06-fi-001 pep-junior-v2-s2-k06-fi-002 pep-junior-v2-s2-k06-fi-003 pep-junior-v2-s2-k06-fi-004 pep-junior-v2-s2-k06-fi-005 pep-junior-v2-s2-k06-fi-006 pep-junior-v2-s2-k06-fi-007 pep-junior-v2-s2-k06-fi-008 pep-junior-v2-s2-k06-fi-009 pep-junior-v2-s2-k06-fi-010 pep-junior-v2-s2-k06-fi-011 pep-junior-v2-s2-k06-fi-012 pep-junior-v2-s2-k06-fi-013 pep-junior-v2-s2-k06-fi-014 pep-junior-v2-s2-k06-fi-015 pep-junior-v2-s2-k06-fi-016 pep-junior-v2-s2-k06-fi-017 pep-junior-v2-s2-k06-fi-018 pep-junior-v2-s2-k06-fi-019 pep-junior-v2-s2-k06-fi-020 pep-junior-v2-s2-k06-fi-021 pep-junior-v2-s2-k06-fi-022 pep-junior-v2-s2-k06-fi-023 pep-junior-v2-s2-k06-fi-024 pep-junior-v2-s2-k06-fi-025 pep-junior-v2-s2-k06-fi-026 pep-junior-v2-s2-k06-fi-027 pep-junior-v2-s2-k06-fi-028 pep-junior-v2-s2-k06-fi-029 pep-junior-v2-s2-k06-fi-030 pep-junior-v2-s2-k06-fi-031 pep-junior-v2-s2-k06-fi-032 pep-junior-v2-s2-k06-fi-033 pep-junior-v2-s2-k06-fi-034
pep-junior-illustration-template-009,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-s2-upper-triangles-congruence,三角形、全等与轴对称,short-answer,33,S2: 33,Core: 31; Foundation: 2,pep-junior-v2-s2-k06-sa-001,在△ABC和△DEF中，AB=DE=6厘米，BC=EF=12厘米，AC=DF=12厘米。可用哪一种判定说明两个三角形全等？,在△PPP和△PPP中，PP=PP=#厘米，PP=PP=#厘米，PP=PP=#厘米。可用哪一种判定说明两个N角形全等？,triangle angle/congruence diagram,"yes: vertices, angle arcs, side marks, and congruence/symmetry labels should be deterministic overlays","Use triangle templates for angle sums, isosceles triangles, congruence, and symmetry.",pep-junior-v2-s2-k06-sa-001 pep-junior-v2-s2-k06-sa-002 pep-junior-v2-s2-k06-sa-003 pep-junior-v2-s2-k06-sa-004 pep-junior-v2-s2-k06-sa-005 pep-junior-v2-s2-k06-sa-006 pep-junior-v2-s2-k06-sa-007 pep-junior-v2-s2-k06-sa-008 pep-junior-v2-s2-k06-sa-009 pep-junior-v2-s2-k06-sa-010 pep-junior-v2-s2-k06-sa-011 pep-junior-v2-s2-k06-sa-012 pep-junior-v2-s2-k06-sa-013 pep-junior-v2-s2-k06-sa-014 pep-junior-v2-s2-k06-sa-015 pep-junior-v2-s2-k06-sa-016 pep-junior-v2-s2-k06-sa-017 pep-junior-v2-s2-k06-sa-018 pep-junior-v2-s2-k06-sa-019 pep-junior-v2-s2-k06-sa-020 pep-junior-v2-s2-k06-sa-021 pep-junior-v2-s2-k06-sa-022 pep-junior-v2-s2-k06-sa-023 pep-junior-v2-s2-k06-sa-024 pep-junior-v2-s2-k06-sa-025 pep-junior-v2-s2-k06-sa-026 pep-junior-v2-s2-k06-sa-027 pep-junior-v2-s2-k06-sa-028 pep-junior-v2-s2-k06-sa-029 pep-junior-v2-s2-k06-sa-030 pep-junior-v2-s2-k06-sa-031 pep-junior-v2-s2-k06-sa-032 pep-junior-v2-s2-k06-sa-033
pep-junior-illustration-template-010,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-s3-lower-inverse-similarity-trigonometry,反比例函数、相似与锐角三角函数,fill-in,67,S3: 67,Exam: 67,pep-junior-v2-s3-k11-fi-001,两个相似三角形的相似比为3:1，小三角形一条对应边长14厘米，大三角形对应边长____。,两个相似N角形的相似比为#:#，小N角形一条对应边长#厘米，大N角形对应边长____。,similar triangles or similar polygons diagram,"yes: corresponding vertices, side lengths, and similarity ratio labels should be deterministic overlays",Use paired similar shapes and overlay exact ratios and side lengths later.,pep-junior-v2-s3-k11-fi-001 pep-junior-v2-s3-k11-fi-002 pep-junior-v2-s3-k11-fi-003 pep-junior-v2-s3-k11-fi-004 pep-junior-v2-s3-k11-fi-005 pep-junior-v2-s3-k11-fi-006 pep-junior-v2-s3-k11-fi-007 pep-junior-v2-s3-k11-fi-008 pep-junior-v2-s3-k11-fi-009 pep-junior-v2-s3-k11-fi-010 pep-junior-v2-s3-k11-fi-011 pep-junior-v2-s3-k11-fi-012 pep-junior-v2-s3-k11-fi-013 pep-junior-v2-s3-k11-fi-014 pep-junior-v2-s3-k11-fi-015 pep-junior-v2-s3-k11-fi-016 pep-junior-v2-s3-k11-fi-017 pep-junior-v2-s3-k11-fi-018 pep-junior-v2-s3-k11-fi-019 pep-junior-v2-s3-k11-fi-020 pep-junior-v2-s3-k11-fi-021 pep-junior-v2-s3-k11-fi-022 pep-junior-v2-s3-k11-fi-023 pep-junior-v2-s3-k11-fi-024 pep-junior-v2-s3-k11-fi-025 pep-junior-v2-s3-k11-fi-026 pep-junior-v2-s3-k11-fi-027 pep-junior-v2-s3-k11-fi-028 pep-junior-v2-s3-k11-fi-029 pep-junior-v2-s3-k11-fi-030 pep-junior-v2-s3-k11-fi-031 pep-junior-v2-s3-k11-fi-032 pep-junior-v2-s3-k11-fi-033 pep-junior-v2-s3-k11-fi-034 pep-junior-v2-s3-k11-fi-035 pep-junior-v2-s3-k11-fi-036 pep-junior-v2-s3-k11-fi-037 pep-junior-v2-s3-k11-fi-038 pep-junior-v2-s3-k11-fi-039 pep-junior-v2-s3-k11-fi-040 pep-junior-v2-s3-k11-fi-041 pep-junior-v2-s3-k11-fi-042 pep-junior-v2-s3-k11-fi-043 pep-junior-v2-s3-k11-fi-044 pep-junior-v2-s3-k11-fi-045 pep-junior-v2-s3-k11-fi-046 pep-junior-v2-s3-k11-fi-047 pep-junior-v2-s3-k11-fi-048 pep-junior-v2-s3-k11-fi-049 pep-junior-v2-s3-k11-fi-050 pep-junior-v2-s3-k11-fi-051 pep-junior-v2-s3-k11-fi-052 pep-junior-v2-s3-k11-fi-053 pep-junior-v2-s3-k11-fi-054 pep-junior-v2-s3-k11-fi-055 pep-junior-v2-s3-k11-fi-056 pep-junior-v2-s3-k11-fi-057 pep-junior-v2-s3-k11-fi-058 pep-junior-v2-s3-k11-fi-059 pep-junior-v2-s3-k11-fi-060 pep-junior-v2-s3-k11-fi-061 pep-junior-v2-s3-k11-fi-062 pep-junior-v2-s3-k11-fi-063 pep-junior-v2-s3-k11-fi-064 pep-junior-v2-s3-k11-fi-065 pep-junior-v2-s3-k11-fi-066 pep-junior-v2-s3-k11-fi-067
