topicId,grade,semester,unitTitle,verdict,issueSeverity,mathStatus,sourceDistanceStatus,bilingualStatus,terminologyStatus,integrationStatus,reviewer,reviewedDate,issueNotes
pep-primary-p1-upper-number-sense,P1,upper,20以内数感,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P1 20以内数感: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p1-upper-shapes-position-time,P1,upper,图形、位置与整时,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P1 图形、位置与整时: checked examples, checkpoints, exit ticket framing, 2 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p1-lower-within-100-add-sub,P1,lower,100以内数与加减法,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P1 100以内数与加减法: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p1-lower-money-data-review,P1,lower,人民币、时间与数据,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P1 人民币、时间与数据: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p2-upper-multiplication-arrays,P2,upper,表内乘法与阵列,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P2 表内乘法与阵列: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p2-upper-length-angles-observation,P2,upper,长度、角与观察物体,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P2 长度、角与观察物体: checked examples, checkpoints, exit ticket framing, 2 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p2-lower-division-remainder,P2,lower,表内除法与有余数除法,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P2 表内除法与有余数除法: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p2-lower-place-value-measurement-data,P2,lower,万以内数、质量、时间与数据,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P2 万以内数、质量、时间与数据: checked examples, checkpoints, exit ticket framing, 3 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p3-upper-operations-fractions,P3,upper,多位数运算与分数初步,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P3 多位数运算与分数初步: checked examples, checkpoints, exit ticket framing, 3 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p3-upper-measurement-time-geometry,P3,upper,测量、年月日与几何,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P3 测量、年月日与几何: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p3-lower-area-decimals,P3,lower,面积与小数初步,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P3 面积与小数初步: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p3-lower-statistics-review,P3,lower,统计表达与综合复习,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P3 统计表达与综合复习: checked examples, checkpoints, exit ticket framing, 5 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p4-upper-large-numbers-multiplication,P4,upper,大数认识与三位数乘法,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P4 大数认识与三位数乘法: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p4-upper-angles-geometry,P4,upper,角的度量与几何语言,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P4 角的度量与几何语言: checked examples, checkpoints, exit ticket framing, 3 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p4-lower-decimals-average,P4,lower,小数运算与平均数,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P4 小数运算与平均数: checked examples, checkpoints, exit ticket framing, 5 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p4-lower-perimeter-area-lines,P4,lower,周长面积、平行与垂直,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P4 周长面积、平行与垂直: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p5-upper-decimals-equations,P5,upper,小数乘除与简易方程,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P5 小数乘除与简易方程: checked examples, checkpoints, exit ticket framing, 6 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p5-upper-polygon-area,P5,upper,多边形面积,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P5 多边形面积: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p5-lower-factors-fractions,P5,lower,因数倍数与分数运算,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P5 因数倍数与分数运算: checked examples, checkpoints, exit ticket framing, 5 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p5-lower-volume-data,P5,lower,长方体正方体与数据,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P5 长方体正方体与数据: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p6-upper-percent-fractions,P6,upper,分数运算与百分数,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P6 分数运算与百分数: checked examples, checkpoints, exit ticket framing, 4 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p6-upper-coordinate-data,P6,upper,位置与数据表达,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P6 位置与数据表达: checked examples, checkpoints, exit ticket framing, 3 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p6-lower-ratio-proportion-scale,P6,lower,比、比例与比例尺,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P6 比、比例与比例尺: checked examples, checkpoints, exit ticket framing, 8 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
pep-primary-p6-lower-negative-review,P6,lower,负数与小学总复习,approve,none,passed-manual-and-deterministic,passed-originality-review,passed-zhHans-en-parity-review,passed-mainland-zhHans-review,passed-topic-evidence-and-production-flag-review,S18,2026-05-23,"P6 负数与小学总复习: checked examples, checkpoints, exit ticket framing, 5 deterministic math fact(s), Mainland terminology, source distance, and zhHans/en parity; no blocking issue found."
