questionId,grade,volume,unitTitle,questionType,difficulty,needTier,visualCategory,reason,promptZhHans,assetStatus
hjb-primary-ds-v1-p1-001,P1,一年级上册,我是小学生与数学学习习惯,multiple-choice,Foundation,A_required,counting_manipulatives,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,数学课上，老师说：“请每个小朋友从盒子里拿出5颗糖果，然后数一数，告诉同桌你拿了几颗。”下面哪个做法是正确的？,not-generated
hjb-primary-ds-v1-p1-002,P1,一年级上册,我是小学生与数学学习习惯,fill-in,Core,B_strong_recommended,counting_manipulatives,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,老师拍手，第一次拍3下，第二次拍5下。请你仔细听，然后回答：老师一共拍了______下。,not-generated
hjb-primary-ds-v1-p1-003,P1,一年级上册,我是小学生与数学学习习惯,short-answer,Challenge,B_strong_recommended,counting_manipulatives,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,小明在数学游戏中说：“我看到的积木有红色、蓝色、黄色，红色积木最多。”请你写出小明用了哪些数学语言？,not-generated
hjb-primary-ds-v1-p1-004,P1,一年级上册,我是小学生与数学学习习惯,multiple-choice,Exam,A_required,text_calculation_only,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,老师让小朋友观察教室里的物品，然后说一个数学发现。下面哪个小朋友的发现最像数学发现？,not-generated
hjb-primary-ds-v1-p1-005,P1,一年级上册,我是小学生与数学学习习惯,fill-in,Foundation,B_strong_recommended,solid_shapes_blocks,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,游戏规则：老师说“请你拿出比3多2的积木块数”。你应该拿出______块积木。,not-generated
hjb-primary-ds-v1-p1-006,P1,一年级上册,我是小学生与数学学习习惯,short-answer,Core,A_required,counting_manipulatives,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,老师让小朋友说一说自己书包里有什么数学有关的东西。小明说：“我的书包里有3本数学书。”小红说：“我的书包里有一个圆形的笔筒。”小华说：“我的书包里有很多铅笔。”谁说的话里既有数字又有形状？请写出这个小朋友的名字。,not-generated
hjb-primary-ds-v1-p1-007,P1,一年级上册,我是小学生与数学学习习惯,multiple-choice,Challenge,A_required,counting_manipulatives,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,数学课上，老师拍手，小朋友要仔细听，然后说出老师拍了几下。下面哪个做法最好？,not-generated
hjb-primary-ds-v1-p1-008,P1,一年级上册,我是小学生与数学学习习惯,fill-in,Exam,B_strong_recommended,counting_manipulatives,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,在数学游戏中，老师说：“请拿出3个红色积木和2个蓝色积木。”小明先拿了2个红色积木，又拿了1个红色积木，再拿了2个蓝色积木。他一共拿了______个积木。,not-generated
hjb-primary-ds-v1-p1-009,P1,一年级上册,我是小学生与数学学习习惯,short-answer,Foundation,B_strong_recommended,text_calculation_only,P1-P2 题目以具象数量、操作、分类、购物或生活场景为主；文字可作答，但插图能显著降低读题负担。,请你说一说，在数学课上，当其他小朋友在发言时，你应该怎么做？,not-generated
hjb-primary-ds-v1-p1-010,P1,一年级上册,我是小学生与数学学习习惯,multiple-choice,Core,A_required,text_calculation_only,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,老师让小朋友观察教室里的物品，并说出一个数学发现。下面哪个小朋友的发现是数学发现？,not-generated
