"id","grade","topicId","type","remediationKind","originalAnswer","approvedAnswer","issueTags","manualReviewQueue","notes"
"bnu-junior-ds-v1-s1-014","S1","bnu-junior-s1-upper-spatial-figures","short-answer","corrected-answer","（1）10个面；（2）24条棱；（3）16个顶点","（1）10个面；（2）20条棱；（3）12个顶点","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-017","S1","bnu-junior-s1-upper-spatial-figures","short-answer","corrected-answer","（1）10个面；（2）24条棱；（3）16个顶点","（1）10个面；（2）20条棱；（3）12个顶点","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-019","S1","bnu-junior-s1-upper-spatial-figures","multiple-choice","corrected-answer","5个","6个","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-026","S1","bnu-junior-s1-upper-spatial-figures","short-answer","corrected-answer","\sqrt{185} cm","√145 cm","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-028","S1","bnu-junior-s1-upper-spatial-figures","multiple-choice","corrected-answer","3","3","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-040","S1","bnu-junior-s1-upper-spatial-figures","multiple-choice","corrected-answer","6","5","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-137","S1","bnu-junior-s1-upper-plane-figures","short-answer","corrected-answer","7.5 cm","7.5 cm 或 3.5 cm","answer_mismatch | explanation_mismatch | missing_condition","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-138","S1","bnu-junior-s1-upper-plane-figures","fill-in","corrected-answer","50","50° 或 150°","answer_mismatch | explanation_mismatch | missing_condition","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-142","S1","bnu-junior-s1-upper-plane-figures","multiple-choice","manual-override","80°","80°","unsolvable | missing_condition | answer_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s1-172","S1","bnu-junior-s1-upper-linear-equations","multiple-choice","manual-override","4x + 16 = 6(x - 1) + 2","4x + 16 = 6(x - 1) + 2","answer_mismatch | ambiguous_mc","yes","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s1-175","S1","bnu-junior-s1-upper-linear-equations","multiple-choice","manual-override","4x + 20 = 5(x - 1) + 3","4x + 20 = 5(x - 1) + 3","answer_mismatch | ambiguous_mc","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s1-178","S1","bnu-junior-s1-upper-linear-equations","multiple-choice","manual-override","方案一：8x元；方案二：(20+4.8x)元；购买15本时方案一更省钱；当x=25时费用相等","方案一：8x元；方案二：(20+4.8x)元；购买15本时方案二更省钱；当x=25时费用相等","answer_mismatch | explanation_mismatch","no","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s1-193","S1","bnu-junior-s1-upper-linear-equations","multiple-choice","manual-override","4x - 5 = 2x - 1","4x - 5 = 2x - 1","ambiguous_mc | bad_options | answer_mismatch","yes","S18 deterministic prompt/options/answer/explanation repair."
"bnu-junior-ds-v1-s1-230","S1","bnu-junior-s1-upper-data-collection","short-answer","corrected-answer","80~89分的人数最多，有7人。","80~89分的人数最多，有8人。","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-257","S1","bnu-junior-s1-lower-polynomial-multiply-divide","short-answer","corrected-answer","-2a^5","-3a^2","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-276","S1","bnu-junior-s1-lower-polynomial-multiply-divide","fill-in","corrected-answer","-2a^3b^3","-2a^5b^3","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-278","S1","bnu-junior-s1-lower-polynomial-multiply-divide","short-answer","corrected-answer","-2x^2","-3x^2","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-281","S1","bnu-junior-s1-lower-polynomial-multiply-divide","short-answer","corrected-answer","2a^4b^3","2a^5b^3","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-284","S1","bnu-junior-s1-lower-polynomial-multiply-divide","short-answer","corrected-answer","-3","-6","answer_mismatch | explanation_mismatch","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-287","S1","bnu-junior-s1-lower-polynomial-multiply-divide","short-answer","corrected-answer","6a^2b + 4ab^2 + 2a^2b + 2ab^2 - 2ab","6a^2b + 4ab^2 + 2ab","answer_mismatch | explanation_mismatch | accepted_answer_gap","yes","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-292","S1","bnu-junior-s1-lower-polynomial-multiply-divide","multiple-choice","corrected-answer","-72a^4b^3","-72a^5b^3","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-293","S1","bnu-junior-s1-lower-polynomial-multiply-divide","short-answer","corrected-answer","72a^3b^3","72a^5b^3","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-296","S1","bnu-junior-s1-lower-intersecting-parallel-lines","short-answer","corrected-answer","90°","10°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-307","S1","bnu-junior-s1-lower-intersecting-parallel-lines","multiple-choice","corrected-answer","35°","125°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-311","S1","bnu-junior-s1-lower-intersecting-parallel-lines","short-answer","corrected-answer","∠BOM＝40°","40°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-312","S1","bnu-junior-s1-lower-intersecting-parallel-lines","fill-in","corrected-answer","45°","65°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-315","S1","bnu-junior-s1-lower-intersecting-parallel-lines","fill-in","corrected-answer","15°","95°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-317","S1","bnu-junior-s1-lower-intersecting-parallel-lines","short-answer","corrected-answer","∠BOD＝50°。理由：由∠AOE＝50°，∠COE＝130°，得∠AOC＝∠COE－∠AOE＝80°。因为∠AOC与∠BOD是对顶角，所以∠BOD＝∠AOC＝80°。","80°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
"bnu-junior-ds-v1-s1-320","S1","bnu-junior-s1-lower-intersecting-parallel-lines","short-answer","corrected-answer","155°","115°","answer_mismatch | explanation_mismatch","no","S18 accepted corrected independent answer and replaced explanation with source-distance-safe review rationale."
