questionId,grade,volume,chapter,topicId,topicZh,questionType,difficulty,batch,promptZh,answer,illustrationTier,wideScopeCandidate,illustrationCategory,reusableTemplateKey,suggestedImageKind,exactMathLabelsNeeded,generationPriority,gptImage2Notes,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,topicOrder
hjb-high-ds-v2-s4-151,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,multiple-choice,Foundation,hjb-v2,"已知幂函数 f(x) = x^a 的图像经过点 (4, 2)，则 f(9) 的值为（ ）",3,P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:multiple-choice,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
hjb-high-ds-v2-s4-172,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,multiple-choice,Exam,hjb-v2,函数 f(x) = log_a (x - 1) + 2（a > 0 且 a ≠ 1）的图像恒过定点 P，则点 P 的坐标是（　）。,"(2, 2)",P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:multiple-choice,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
hjb-high-ds-v2-s4-181,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,multiple-choice,Core,hjb-v2,"已知幂函数 f(x) = x^a 的图像经过点 (4, 2)，则 f(x) 的单调递增区间是（ ）","(0, +∞)",P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:multiple-choice,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
hjb-high-ds-v2-s4-199,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,multiple-choice,Foundation,hjb-v2,函数 y = a^x (a > 0 且 a ≠ 1) 与 y = log_a x 的图像可能是（ ）。,A. 关于直线 y = x 对称,P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:multiple-choice,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
hjb-high-ds-v2-s4-158,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,fill-in,Challenge,hjb-v2,若函数 f(x)=a^x（a>0 且 a≠1）与 g(x)=log_a x 的图像有且仅有一个公共点，则 a 的取值范围是 ______。,"(0, 1) ∪ {e^(1/e)}",P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:fill-in,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,remediated-pending-final-audit,remediated-pending-final-audit,4
hjb-high-ds-v2-s4-161,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,fill-in,Core,hjb-v2,"已知幂函数 f(x) = x^α 的图像经过点 (4, 8)，则 f(9) 的值为 ______。",27,P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:fill-in,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
hjb-high-ds-v2-s4-179,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,fill-in,Foundation,hjb-v2,函数 y = log_a (x + 3) - 1（a > 0 且 a ≠ 1）的图像恒过定点______。,"(-2, -1)",P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:fill-in,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
hjb-high-ds-v2-s4-182,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,fill-in,Challenge,hjb-v2,"若指数函数 f(x) = a^x (a > 0, a ≠ 1) 的图像经过点 (2, 9)，且对数函数 g(x) = log_b x 的图像经过点 (9, 2)，则 a + b = ______。",6,P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:fill-in,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
hjb-high-ds-v2-s4-185,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,fill-in,Core,hjb-v2,"已知幂函数 f(x) = x^(m^2 - 2m - 3) (m ∈ Z) 的图像关于 y 轴对称，且在 (0, +∞) 上单调递减，则 m = ______。",1,P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:fill-in,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
hjb-high-ds-v2-s4-191,S4,必修 第一册,幂函数、指数函数与对数函数,hjb-high-s4-幂函数-指数函数与对数函数,幂函数、指数函数与对数函数,fill-in,Foundation,hjb-v2,"已知幂函数 f(x) = x^a 的图像经过点 (4, 2)，则 f(9) 的值为 ______。",3,P1,yes,函数图像/题干显式坐标图,P1:explicit-function-coordinate-graph:fill-in,coordinate-plane graph or explicit visual prompt diagram,"yes: axes, points, function labels, and answer-critical values should be deterministic overlays",1_high,"题干已出现图像/图象/坐标系等视觉信号；GPT Image2 should create only the clean base visual, not exact labels.",passed-auto-source-scan,pending-manual,pending-manual,4
