"id","grade","reviewer","mathQaStatus","terminologyQaStatus","sourceDistanceStatus","decision","p2IssueCodes","notes"
"hjb-high-ds-v3-s4-002","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-004","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-007","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-008","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-034","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-044","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-053","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-054","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-058","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v3-s4-067","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: fresh-200-sample-fill."
"hjb-high-ds-v3-s4-083","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-089","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v3-s4-098","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V3 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
