"questionId","grade","semester","topicId","unitTitle","type","difficulty","answer","acceptedAnswers","qaStatus","severity","issueCodes","issueDetails","recommendedAction"
"bnu-primary-ds-v1-p1-001","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Foundation","1","1","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-002","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","fill-in","Core","5","5","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-003","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","short-answer","Challenge","6-2=4","6-2=4 | 4","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-004","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Exam","5只","5只","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-005","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","fill-in","Foundation","7","7","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-006","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","short-answer","Core","9-5=4","9-5=4 | 4","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-007","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Challenge","2种","2种","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-008","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","fill-in","Exam","10","10","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-009","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","short-answer","Foundation","3+6=9","3+6=9 | 9","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-010","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Core","5张","5张","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-011","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","fill-in","Challenge","7","7 | 七个","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-012","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","short-answer","Exam","不对，从0到10一共有11个数。","不对，从0到10一共有11个数。 | 不对，有11个数。 | 不对，11个。","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-013","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Foundation","0","0","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-014","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","fill-in","Core","1","1 | 一","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-015","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","short-answer","Challenge","6颗。因为给了妹妹6颗后自己剩下0颗，说明原来只有6颗，全部给了妹妹。","6颗。因为给了妹妹6颗后自己剩下0颗，说明原来只有6颗，全部给了妹妹。 | 6颗 | 6","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-016","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Exam","3个","3个","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-017","P1","upper","bnu-primary-p1-upper-comparison","比较","fill-in","Foundation","多","多 | 多2支","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-018","P1","upper","bnu-primary-p1-upper-comparison","比较","short-answer","Core","红绳子长，长3米。","红绳子长，长3米。 | 红绳子长，长3米 | 红绳长，长3米","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-019","P1","upper","bnu-primary-p1-upper-comparison","比较","multiple-choice","Challenge","小宇","小宇","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-020","P1","upper","bnu-primary-p1-upper-comparison","比较","fill-in","Exam","同样多","同样多 | 一样多","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-021","P1","upper","bnu-primary-p1-upper-comparison","比较","short-answer","Foundation","小红多，多2支","小红多，多2支 | 小红多，多2 | 小红多2支 | 小红多2","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-022","P1","upper","bnu-primary-p1-upper-comparison","比较","multiple-choice","Core","C","C","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"bnu-primary-ds-v1-p1-023","P1","upper","bnu-primary-p1-upper-comparison","比较","fill-in","Challenge","西瓜","西瓜 | 西瓜重","pass","none","","","Passed structural gate; include in S18 pass-sample review."
