"id","reviewDecision","mathQaStatus","terminologyQaStatus","sourceDistanceStatus","reviewerNotes"
"bnu-high-ds-v1-s4-001","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-002","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-003","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-004","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-005","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-006","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-007","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-008","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-009","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-010","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-011","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-012","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-013","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-014","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-015","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-016","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-017","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-018","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-019","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-020","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-021","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-022","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-023","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-024","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-025","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-026","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-027","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-028","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-029","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-030","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-031","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-032","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-033","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-034","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-035","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-036","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-037","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-038","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-039","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-040","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-041","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-042","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-043","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-044","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-045","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-046","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-047","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-048","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
"bnu-high-ds-v1-s4-049","approved","pass","pass","passed-auto-source-scan","S18 approved deterministic remediation; source-distant generated item with checked answer and explanation."
