"id","batch","grade","volume","chapter","topicTitleZhHans","type","difficulty","verdict","solvable","answerMatches","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","acceptedAnswers","answerCheckZhHans","recommendedActionZhHans","confidence","promptZhHans"
"hjb-high-ds-v1-s4-001","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Core","pass","true","true","none","","","13","13","13","标准答案为13，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0001：选择：设集合 A={1,2,3,...,41}，集合 B 为其中能被 3 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-002","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","pass","true","true","none","","","7","7","7","标准答案为7，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0002：填空：设集合 A={1,2,3,...,86}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-003","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Foundation","pass","true","true","none","","","13","13","13","标准答案为13，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0003：解答：设集合 A={1,2,3,...,54}，集合 B 为其中能被 4 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-004","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","pass","true","true","none","","","13","13","13","标准答案为13，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0004：选择：设集合 A={1,2,3,...,69}，集合 B 为其中能被 5 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-005","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","pass","true","true","none","","","12","12","12","标准答案为12，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0005：填空：设集合 A={1,2,3,...,77}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-006","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","pass","true","true","none","","","8","8","8","标准答案为8，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0006：解答：设集合 A={1,2,3,...,16}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-007","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","pass","true","true","none","","","5","5","5","标准答案为5，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0007：选择：设集合 A={1,2,3,...,58}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-008","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","pass","true","true","none","","","7","7","7","标准答案为7，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0008：填空：设集合 A={1,2,3,...,15}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-009","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","pass","true","true","none","","","13","13","13","标准答案为13，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0009：解答：设集合 A={1,2,3,...,65}，集合 B 为其中能被 5 整除的数。求集合 B 的元素个数。"
"hjb-high-ds-v1-s4-010","hjb-v1","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","pass","true","true","none","","","3","3","3","标准答案为3，与独立计算结果一致。","无需修改；进入人工抽样复核即可。","high","变式0010：选择：设集合 A={1,2,3,...,37}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。"
