"questionId","grade","volume","chapter","topicTitleZhHans","type","difficulty","promptZhHans","storedAnswer","acceptedAnswers","independentAnswer","solverRule","solvableStatus","answerMatchStatus","mcOptionStatus","qaStatus","severity","issueDetails","recommendedAction","reviewReason"
"hjb-high-ds-v4-s4-034","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","V4修复变式0034：选择：设集合 A={1,2,3,...,26}，B 为 A 中能被 2 整除的数，C 为 A 中能被 3 整除的数。求只属于 B 和 C 中一个集合的元素个数。","13","13","13","remediated-set-symmetric-difference","pass","pass","pass","pass","none","","No automatic solvability blocker; include in S18 P2 remediation re-review before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-039","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Foundation","V4修复变式0039：解答：设集合 A={1,2,3,...,24}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。","12","12","12","set-multiple-count","pass","pass","not-applicable","pass","none","","No automatic solvability blocker; include in S18 P2 remediation re-review before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-041","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","V4修复变式0041：填空：设集合 A={1,2,3,...,99}，集合 B 为其中能被 10 整除的数。求集合 B 的元素个数。","9","9","9","set-multiple-count","pass","pass","not-applicable","pass","none","","No automatic solvability blocker; include in S18 P2 remediation re-review before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-051","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Foundation","V4修复变式0051：解答：解不等式 x+4>8，求 x 的取值范围右端常数 8-4 的值。","4","4","4","linear-inequality-bound","pass","pass","not-applicable","pass","none","","No automatic solvability blocker; include in S18 P2 remediation re-review before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-070","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Challenge","V4修复变式0070：选择：求不等式组 x+7>11，x≤7 的整数解个数。","3","3","3","remediated-inequality-integer-count","pass","pass","pass","pass","none","","No automatic solvability blocker; include in S18 P2 remediation re-review before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-089","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Core","V4修复变式0089：填空：解不等式 x+8>19，求 x 的取值范围右端常数 19-8 的值。","11","11","11","linear-inequality-bound","pass","pass","not-applicable","pass","none","","No automatic solvability blocker; include in S18 P2 remediation re-review before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-107","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Foundation","V4修复变式0107：填空：已知 log_6(6^7)=m，求 m。","7","7","7","log-power-definition","pass","pass","not-applicable","pass","none","","No automatic solvability blocker; include in S18 P2 remediation re-review before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-122","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Challenge","V4修复变式0122：填空：已知 log_10(10^23)=m，且 log_10(10^n)=m+3。求 m+n。","49","49","49","remediated-log-linked-exponents","pass","pass","not-applicable","pass","none","","No automatic solvability blocker; include in S18 P2 remediation re-review before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-127","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Foundation","V4修复变式0127：选择：已知 log_6(6^11)=m，求 m。","11","11","11","log-power-definition","pass","pass","pass","pass","none","","No automatic solvability blocker; include in S18 P2 remediation re-review before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-148","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Exam","V4修复变式0148：选择：已知 log_12(12^22)=m，且 log_12(12^n)=m+3。求 m+n。","47","47","47","remediated-log-linked-exponents","pass","pass","pass","pass","none","","No automatic solvability blocker; include in S18 P2 remediation re-review before app integration.","grade-pass-sample"
