"id","batch","grade","topicId","topicZhHans","type","difficulty","verdict","solvable","answerMatches","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","acceptedAnswers","answerCheckZhHans","recommendedActionZhHans","confidence","localValidationNotes","promptZhHans"
"pep-high-s4-fi-001","seed-v1","S4","pep-high-s4-sets-logic","集合与常用逻辑用语","fill-in","Foundation","pass","true","true","none","","","9","9","","独立计算：U={1,...,19}，A={3,6,9,12,15,18}，B={4,8,12,16}，A∪B={3,4,6,8,9,12,15,16,18}，共9个元素。与给定答案9一致。","无需修改；进入人工抽样复核即可。","high","","在 \(U=\{1,2,\ldots,19\}\) 中，\(A\) 是 \(3\) 的倍数组成的集合，\(B\) 是 \(4\) 的倍数组成的集合。求 \(|A\cup B|\)。"
"pep-high-s4-fi-002","seed-v1","S4","pep-high-s4-quadratic-inequalities","一元二次函数、方程和不等式","fill-in","Exam","pass","true","true","none","","","24","24","","独立计算：f(3)=(3+2)^2-1=25-1=24。与给定答案24一致。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=(x+2)^2-1\)，求 \(f(3)\)。"
"pep-high-s4-fi-003","seed-v1","S4","pep-high-s4-function-properties","函数的概念与性质","fill-in","Core","pass","true","true","none","","","4","4","","独立计算：f(1)=5*1-1=4。与给定答案4一致。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=5x-1\)，求 \(f(1)\)。"
"pep-high-s4-fi-004","seed-v1","S4","pep-high-s4-exp-log","指数函数与对数函数","fill-in","Exam","pass","true","true","none","","","6","6","","独立计算：2^6=64，所以log_2 64=6。与给定答案6一致。","无需修改；进入人工抽样复核即可。","high","","求 \(\log_264\)。"
"pep-high-s4-fi-005","seed-v1","S4","pep-high-s4-trigonometry","三角函数","fill-in","Exam","pass","true","true","none","","","3","3","","独立计算：y=1 sin 3x，正弦函数内部x的系数是3。与给定答案3一致。","无需修改；进入人工抽样复核即可。","high","","对于 \(y=1\sin 3x\)，写出正弦函数内部 \(x\) 的系数。"
"pep-high-s4-fi-006","seed-v1","S4","pep-high-s4-plane-vectors","平面向量及其应用","fill-in","Core","pass","true","true","none","","","12","12","","独立计算：a·b=2*4+4*1=8+4=12。与给定答案12一致。","无需修改；进入人工抽样复核即可。","high","","已知 \(\vec a=(2,4)\)，\(\vec b=(4,1)\)，求 \(\vec a\cdot\vec b\)。"
"pep-high-s4-fi-007","seed-v1","S4","pep-high-s4-complex-numbers","复数","fill-in","Core","pass","true","true","none","","","2","2","","独立计算：(-3+3i)+(5-1i)=2+2i，虚部系数为2。与给定答案2一致。","无需修改；进入人工抽样复核即可。","high","","求 \((-3+3i)+(5-1i)\) 的虚部系数。"
"pep-high-s4-fi-008","seed-v1","S4","pep-high-s4-solid-geometry-intro","立体几何初步","fill-in","Exam","pass","true","true","none","","","90","90","","独立计算：体积=5*3*6=90。与给定答案90一致。","无需修改；进入人工抽样复核即可。","high","","一个长方体的三条棱长为 \(5, 3, 6\)。求它的体积。"
"pep-high-s4-fi-009","seed-v1","S4","pep-high-s4-statistics","统计","fill-in","Core","pass","true","true","none","","","4","4","","独立计算：极差=9-5=4。与给定答案4一致。","无需修改；进入人工抽样复核即可。","high","","对于数据 \(5, 7, 9\)，求极差。"
"pep-high-s4-fi-010","seed-v1","S4","pep-high-s4-probability","概率","fill-in","Exam","pass","true","true","none","","","4/7","4/7","","独立计算：总球数7，红球4，概率=4/7。与给定答案4/7一致。","无需修改；进入人工抽样复核即可。","high","","袋中有 4 个红球和 3 个蓝球，求 \(P(\text{摸到红球})\)。"
"pep-high-s4-fi-011","seed-v1","S4","pep-high-s4-sets-logic","集合与常用逻辑用语","fill-in","Foundation","pass","true","true","none","","","7","7","","独立计算：U={1,...,21}，A和B都是3的倍数，A∪B=A，3的倍数有3,6,9,12,15,18,21共7个。与给定答案7一致。","无需修改；进入人工抽样复核即可。","high","","在 \(U=\{1,2,\ldots,21\}\) 中，\(A\) 是 \(3\) 的倍数组成的集合，\(B\) 是 \(3\) 的倍数组成的集合。求 \(|A\cup B|\)。"
"pep-high-s4-fi-012","seed-v1","S4","pep-high-s4-quadratic-inequalities","一元二次函数、方程和不等式","fill-in","Exam","pass","true","true","none","","","47","47","","独立计算：f(5)=(5+2)^2-2=49-2=47。与给定答案47一致。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=(x+2)^2-2\)，求 \(f(5)\)。"
"pep-high-s4-fi-013","seed-v1","S4","pep-high-s4-function-properties","函数的概念与性质","fill-in","Core","pass","true","true","none","","","-5","-5","","独立计算：f(-2)=2*(-2)-1=-4-1=-5。与给定答案-5一致。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=2x-1\)，求 \(f(-2)\)。"
"pep-high-s4-fi-014","seed-v1","S4","pep-high-s4-exp-log","指数函数与对数函数","fill-in","Exam","pass","true","true","none","","","3","3","","独立计算：3^3=27，所以log_3 27=3。与给定答案3一致。","无需修改；进入人工抽样复核即可。","high","","求 \(\log_327\)。"
"pep-high-s4-fi-015","seed-v1","S4","pep-high-s4-trigonometry","三角函数","fill-in","Exam","pass","true","true","none","","","3","3","","独立计算：y=3 sin 3x，正弦函数内部x的系数是3。与给定答案3一致。","无需修改；进入人工抽样复核即可。","high","","对于 \(y=3\sin 3x\)，写出正弦函数内部 \(x\) 的系数。"
"pep-high-s4-fi-016","seed-v1","S4","pep-high-s4-plane-vectors","平面向量及其应用","fill-in","Core","pass","true","true","none","","","36","36","","独立计算：a·b=4*6+3*4=24+12=36。与给定答案36一致。","无需修改；进入人工抽样复核即可。","high","","已知 \(\vec a=(4,3)\)，\(\vec b=(6,4)\)，求 \(\vec a\cdot\vec b\)。"
"pep-high-s4-fi-017","seed-v1","S4","pep-high-s4-complex-numbers","复数","fill-in","Core","pass","true","true","none","","","7","7","","独立计算：(3+5i)+(4+2i)=7+7i，虚部系数为7。与给定答案7一致。","无需修改；进入人工抽样复核即可。","high","","求 \((3+5i)+(4+2i)\) 的虚部系数。"
"pep-high-s4-fi-018","seed-v1","S4","pep-high-s4-solid-geometry-intro","立体几何初步","fill-in","Exam","pass","true","true","none","","","72","72","","独立计算：体积=2*6*6=72。与给定答案72一致。","无需修改；进入人工抽样复核即可。","high","","一个长方体的三条棱长为 \(2, 6, 6\)。求它的体积。"
"pep-high-s4-fi-019","seed-v1","S4","pep-high-s4-statistics","统计","fill-in","Core","pass","true","true","none","","","4","4","","独立计算：极差=6-2=4。与给定答案4一致。","无需修改；进入人工抽样复核即可。","high","","对于数据 \(2, 4, 6\)，求极差。"
"pep-high-s4-fi-020","seed-v1","S4","pep-high-s4-probability","概率","fill-in","Exam","pass","true","true","none","","","3/8","3/8","","独立计算：总球数8，红球3，概率=3/8。与给定答案3/8一致。","无需修改；进入人工抽样复核即可。","high","","袋中有 3 个红球和 5 个蓝球，求 \(P(\text{摸到红球})\)。"
"pep-high-s4-fi-021","seed-v1","S4","pep-high-s4-sets-logic","集合与常用逻辑用语","fill-in","Foundation","pass","true","true","none","","","6","6","","标准答案为6，独立计算得6，匹配。","无需修改；进入人工抽样复核即可。","high","","在 \(U=\{1,2,\ldots,18\}\) 中，\(A\) 是 \(3\) 的倍数组成的集合，\(B\) 是 \(6\) 的倍数组成的集合。求 \(|A\cup B|\)。"
"pep-high-s4-fi-022","seed-v1","S4","pep-high-s4-quadratic-inequalities","一元二次函数、方程和不等式","fill-in","Exam","pass","true","true","none","","","13","13","","标准答案为13，独立计算得13，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=(x+2)^2-3\)，求 \(f(2)\)。"
"pep-high-s4-fi-023","seed-v1","S4","pep-high-s4-function-properties","函数的概念与性质","fill-in","Core","pass","true","true","none","","","3","3","","标准答案为3，独立计算得3，匹配。","无需修改；进入人工抽样复核即可。","high","","已知 \(f(x)=4x-1\)，求 \(f(1)\)。"
