"id","batch","grade","volume","chapter","topicTitleZhHans","type","difficulty","verdict","solvable","answerMatches","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","acceptedAnswers","answerCheckZhHans","recommendedActionZhHans","confidence","promptZhHans"
"hjb-high-ds-v1-s5-100","hjb-v1","S5","必修 第三册","简单几何体","简单几何体","multiple-choice","Exam","pass","true","true","none","","","1694","1694","1694","标准答案1694与计算一致，选项D正确。","无需修改；进入人工抽样复核即可。","high","变式0600：选择：一个长方体的长、宽、高分别为 11、11、14，求体积。"
"hjb-high-ds-v2-s4-084","hjb-v2","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Exam","needs-review","true","false","P1","wrong-answer","标准答案0不正确。由|f(1)|≤1得|1+a+b|≤1，即-2≤a+b≤0，最大值为0。但需验证存在a,b使a+b=0且对所有x∈[0,1]有|f(x)|≤1。取a=0,b=0时f(x)=x²满足，故最大值为0。但解析中仅由f(1)≤1得a+b≤0，未考虑下界，且未验证充分性，但答案0正确。然而，题目要求a+b的最大值，0是上界，但需确认是否可达。实际上a+b=0可达，故答案0正确。但解析不严谨，但答案匹配。重新检查：条件为|f(x)|≤1对所有x∈[0,1]。由f(0)=b，|b|≤1；f(1)=1+a+b，|1+a+b|≤1；f(1/2)=1/4+a/2+b，|1/4+a/2+b|≤1。这些条件可能推出a+b≤0，但最大值可能小于0？实际上，取a=0,b=0满足，故最大值为0。但解析仅用f(1)≤1得a+b≤0，未用其他条件，但结论正确。然而，若仅由f(1)≤1得a+b≤0，则a+b的最大值可能是0，但需验证存在性。解析中取a=0,b=0验证，故答案正确。但问题：解析说“因f(1)=1+a+b，且|f(1)|≤1，所以1+a+b≤1，得a+b≤0”，这忽略了绝对值，应为-1≤1+a+b≤1，即-2≤a+b≤0，所以a+b≤0正确。故答案0正确。但为何标记needs-review？因为解析不完整，但答案匹配。实际上，答案0正确，解析基本正确，只是未详细推导。但根据规则，若答案匹配且可解，应pass。但之前QA可能认为解析有误？重新审视：解析说“对任意x∈[0,1]都有|f(x)|≤1，特别地x=1时也成立。因f(1)=1+a+b，且|f(1)|≤1，所以1+a+b≤1，得a+b≤0。”这里错误：|1+a+b|≤1意味着-1≤1+a+b≤1，所以1+a+b≤1确实成立，但同时也得到1+a+b≥-1，即a+b≥-2。所以a+b≤0是正确的。然后取a=0,b=0得a+b=0，且满足条件，故最大值为0。解析正确。因此答案匹配，应pass。但之前QA可能误判。根据要求，若可解且答案匹配，应pass。所以这里改为pass。","0","0","0","标准答案0正确，解析虽简略但结论正确。","无需修改，解析可更严谨但非错误。","high","已知函数 f(x)=x²+ax+b（a,b∈R），若对于任意 x∈[0,1]，都有 |f(x)|≤1，求 a+b 的最大值。"
"hjb-high-ds-v2-s4-248","hjb-v2","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","fill-in","Foundation","needs-review","true","false","P1","wrong-answer","标准答案'(-∞,-1)和(-1,1)'不正确。函数f(x)=1/(x²-2x-3)的定义域为x≠-1,3。求导得f'(x)=-(2x-2)/(x²-2x-3)²，分母恒正，故f'(x)>0当且仅当-(2x-2)>0，即x<1。因此在定义域内，单调递增区间应为(-∞,-1)和(-1,1)。但需注意在x=1处导数为0，且x=1不在定义域内？实际上x=1在定义域内，因为分母1-2-3=-4≠0。所以x=1是定义域内的点，且f'(1)=0。那么单调递增区间是否包含x=1？通常单调区间指开区间。标准答案写'(-∞,-1)和(-1,1)'，但(-1,1)包含x=1吗？不包含，因为区间表示(-1,1)是开区间，不包含1。所以标准答案正确。但检查：f'(x)>0的解为x<1且x≠-1，所以递增区间为(-∞,-1)和(-1,1)。但(-1,1)不包括1，正确。然而，在x=1处导数为0，不影响单调性。所以答案正确。但为何标记needs-review？因为解析说'在每个连续区间上递增的部分为(-∞,-1)和(-1,1)'，正确。但标准答案写'(-∞,-1)和(-1,1)'，acceptedAnswers包含'(-∞,-1)和(-1,1)'和'(-∞,-1),(-1,1)'，这覆盖了。所以答案匹配。但之前QA可能认为答案错误？实际上，有些教材可能写(-∞,-1)和(-1,1]？但通常单调区间写开区间。所以答案正确。应pass。","(-∞,-1)和(-1,1)","(-∞,-1)和(-1,1)","(-∞,-1)和(-1,1) | (-∞,-1),(-1,1)","标准答案正确，与计算一致。","无需修改。","high","函数 f(x)=1/(x²-2x-3) 的单调递增区间为______。"
"hjb-high-ds-v2-s4-265","hjb-v2","S4","必修 第二册","三角","三角","multiple-choice","Challenge","needs-review","true","false","P1","wrong-answer","标准答案'ω=2，φ=π/6'不正确。由f(0)=2sinφ=1得sinφ=1/2，φ=π/6或5π/6。若φ=π/6，f(x)=2sin(ωx+π/6)。在x=π/6处取得最大值，则ω·π/6+π/6=π/2+2kπ，得ω=2+12k，k∈Z。ω>0，取k=0得ω=2，选项A成立。若φ=5π/6，f(x)=2sin(ωx+5π/6)。在x=π/6处取得最大值，则ω·π/6+5π/6=π/2+2kπ，得ω=-2+12k，取k=1得ω=10，但选项C中ω=2不满足。其他选项也不满足。故只有A正确。但解析说'若φ=5π/6，则对应ω=-2+12k，选项C的ω=2不能使x=π/6成为最大值点'，正确。所以答案A正确。但为何标记needs-review？因为可能认为选项C的ω=2,φ=5π/6也满足？验证：f(0)=2sin(5π/6)=1，正确。在x=π/6处，f(π/6)=2sin(2·π/6+5π/6)=2sin(π/3+5π/6)=2sin(7π/6)=-1，不是最大值。所以C错误。故A唯一正确。答案匹配。应pass。","ω=2，φ=π/6","ω=2，φ=π/6","ω=2，φ=π/6","标准答案正确，选项A唯一满足。","无需修改。","high","已知函数 f(x)=2sin(ωx+φ)（ω>0，0<φ<π），且 f(0)=1，f(x) 在 x=π/6 处取得最大值。则 ω 和 φ 的值可能是（　）。"
"hjb-high-ds-v2-s4-268","hjb-v2","S4","必修 第二册","三角","三角","multiple-choice","Challenge","needs-review","true","false","P1","wrong-answer","标准答案'等腰三角形'不正确。由a cos B = b cos A，用正弦定理得sin A cos B = sin B cos A，即sin(A-B)=0。因为A,B∈(0,π)，所以A-B∈(-π,π)，故A-B=0或π或-π，但只有A-B=0可能，所以A=B。因此三角形是等腰三角形。但选项中有'等腰三角形或直角三角形'，需检查直角三角形是否可能。若A=B，则三角形为等腰，不一定是直角。若A≠B，则sin(A-B)=0无解。所以只能是等腰三角形。但注意：若三角形是直角三角形，比如C=90°，A+B=90°，代入原式：a cos B = b cos A，由正弦定理得sin A cos B = sin B cos A，即sin(A-B)=0，得A=B，所以等腰直角三角形也满足，但此时A=B=45°，是等腰直角三角形，属于等腰三角形。所以等腰三角形已包含等腰直角三角形。因此正确答案是等腰三角形。选项D'等腰三角形或直角三角形'中，直角三角形单独不满足，除非是等腰直角三角形。所以D不正确。故标准答案正确。但解析说'直角三角形情形不能额外满足原式'，意思是单纯的直角三角形（非等腰）不满足。所以答案匹配。应pass。","等腰三角形","等腰三角形","等腰三角形","标准答案正确，由条件推出A=B。","无需修改。","high","在 △ABC 中，角 A、B、C 的对边分别为 a、b、c，且满足 a cos B = b cos A。则 △ABC 的形状是（　）。"
"hjb-high-ds-v3-s4-316","hjb-v3-remediated","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","pass","true","true","none","","","2","2","2","标准答案为2，解析正确，选项中有2且唯一。","无需修改；进入人工抽样复核即可。","high","V3修复变式0316：选择：函数 y=5sin(2x+10π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
"hjb-high-ds-v3-s4-319","hjb-v3-remediated","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","pass","true","true","none","","","2","2","2","标准答案为2，解析正确，选项中有2且唯一。","无需修改；进入人工抽样复核即可。","high","V3修复变式0319：选择：函数 y=7sin(2x+8π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
"hjb-high-ds-v3-s4-322","hjb-v3-remediated","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","pass","true","true","none","","","2","2","2","标准答案为2，解析正确，选项中有2且唯一。","无需修改；进入人工抽样复核即可。","high","V3修复变式0322：选择：函数 y=10sin(2x+6π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
"hjb-high-ds-v3-s4-325","hjb-v3-remediated","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","pass","true","true","none","","","3","3","3","标准答案为3，解析正确，选项中有3且唯一。","无需修改；进入人工抽样复核即可。","high","V3修复变式0325：选择：函数 y=9sin(2x+3π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
"hjb-high-ds-v3-s4-328","hjb-v3-remediated","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","pass","true","true","none","","","2","2","2","标准答案为2，解析正确，选项中有2且唯一。","无需修改；进入人工抽样复核即可。","high","V3修复变式0328：选择：函数 y=4sin(2x+10π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
