id,questionId,reviewStatus,reviewerNotes,illustrationTier,illustrationCategory,reusableTemplateKey,candidatePath,generatedVia,generatedAt,sourceGeneratedPath,importedBytes,importedDimensions,model,size,quality,exactMathLabelsNeeded,sourcePromptZh
hjb-high-ds-v1-s5-221__image2-v1,hjb-high-ds-v1-s5-221,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-221__image2-v1.png,codex-built-in-image_gen,2026-05-27T13:25:01.496Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a16f05827e481918700d0d180e80ef6.png,728344,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0721：填空：直线经过点 (8,7) 和 (9,16)，求斜率。"
hjb-high-ds-v1-s5-224__image2-v1,hjb-high-ds-v1-s5-224,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-224__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:13:19.106Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a1784b32e6881918d6e7a334f640c2e.png,869946,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0724：填空：直线经过点 (2,11) 和 (3,16)，求斜率。"
hjb-high-ds-v1-s5-227__image2-v1,hjb-high-ds-v1-s5-227,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-227__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:13:19.429Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a178506d8948191af73b09040ccac18.png,839545,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0727：填空：直线经过点 (4,6) 和 (5,25)，求斜率。"
hjb-high-ds-v1-s5-230__image2-v1,hjb-high-ds-v1-s5-230,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-230__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:13:19.723Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a178561d6408191ba903b1c18475ae9.png,835588,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0730：填空：直线经过点 (8,10) 和 (9,30)，求斜率。"
hjb-high-ds-v1-s5-233__image2-v1,hjb-high-ds-v1-s5-233,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-233__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:13:20.024Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a1785b3bee8819187866868cb9a258d.png,1051202,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0733：填空：直线经过点 (8,1) 和 (9,12)，求斜率。"
hjb-high-ds-v1-s5-236__image2-v1,hjb-high-ds-v1-s5-236,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-236__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:13:20.307Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a1786058cfc8191825c69ea4e4b43c7.png,875416,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0736：填空：直线经过点 (5,5) 和 (6,18)，求斜率。"
hjb-high-ds-v1-s5-239__image2-v1,hjb-high-ds-v1-s5-239,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-239__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:13:20.631Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a1786657e308191a74e6d41ab30fb6a.png,795264,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0739：填空：直线经过点 (3,1) 和 (4,19)，求斜率。"
hjb-high-ds-v1-s5-242__image2-v1,hjb-high-ds-v1-s5-242,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-242__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:13:20.911Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a1786aa518c81919d53b990ac527f54.png,1087864,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0742：填空：直线经过点 (12,1) 和 (13,15)，求斜率。"
hjb-high-ds-v1-s5-245__image2-v1,hjb-high-ds-v1-s5-245,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-245__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:13:21.181Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a1786fb3f948191b73cabfccfcdec56.png,827261,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0745：填空：直线经过点 (10,9) 和 (11,24)，求斜率。"
hjb-high-ds-v1-s5-248__image2-v1,hjb-high-ds-v1-s5-248,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-248__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:13:21.495Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a1787689e608191b9beb568ea5abaa3.png,713142,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0748：填空：直线经过点 (7,13) 和 (8,22)，求斜率。"
hjb-high-ds-v1-s5-251__image2-v1,hjb-high-ds-v1-s5-251,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-251__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:13:21.882Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a1787b46de08191923aea8814f1e0ef.png,771959,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0751：填空：直线经过点 (8,9) 和 (9,19)，求斜率。"
hjb-high-ds-v1-s5-254__image2-v1,hjb-high-ds-v1-s5-254,pending,,P1,解析几何直线坐标图,P1:analytic-line-coordinate-plane:fill-in,coordination/content-qa/mainland-hjb-high-question-illustrations-gpt-image2-v1/candidates/hjb-high-ds-v1-s5-254__image2-v1.png,codex-built-in-image_gen,2026-05-28T00:31:39.389Z,/Users/dongpinhu/.codex/generated_images/019e6971-f57a-7341-87cc-403d19af7e62/ig_0fdfc6409ec0fe79016a1789f873f48191a295a9bfbb4ce26b.png,734949,"{""width"":1672,""height"":941}",gpt-image-2,1536x864,medium,"yes: coordinates, slope, line names, equations, and intercept labels should be deterministic overlays","变式0754：填空：直线经过点 (9,6) 和 (10,19)，求斜率。"
