sampleOrder,questionId,grade,semester,knowledgePointId,unitTitle,type,difficulty,promptZhHans,answer,explanationZhHans,sampleReason,curriculumFit,mathCorrectness,sourceDistance,terminology,reviewStatus,reviewer,reviewNotes
1,pep-junior-v2-s1-k01-mc-001,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-13℃，中午上升17℃，傍晚又下降4℃。傍晚气温是多少？,0,按正负变化计算：-13+17-4=0，所以傍晚气温是0℃。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k01-mc-012,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-15℃，中午上升17℃，傍晚又下降3℃。傍晚气温是多少？,-1,按正负变化计算：-15+17-3=-1，所以傍晚气温是-1℃。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k01-mc-023,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-17℃，中午上升17℃，傍晚又下降8℃。傍晚气温是多少？,-8,按正负变化计算：-17+17-8=-8，所以傍晚气温是-8℃。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k01-mc-022,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-16℃，中午上升15℃，傍晚又下降7℃。傍晚气温是多少？,-8,按正负变化计算：-16+15-7=-8，所以傍晚气温是-8℃。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k01-fi-001,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-6，点B表示2。A、B两点之间的距离是____。,8,两点距离为2-(-6)=8，所以距离是8。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k01-fi-012,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-9，点B表示7。A、B两点之间的距离是____。,16,两点距离为7-(-9)=16，所以距离是16。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
3,pep-junior-v2-s1-k01-fi-023,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-12，点B表示5。A、B两点之间的距离是____。,17,两点距离为5-(-12)=17，所以距离是17。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
4,pep-junior-v2-s1-k01-fi-022,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-11，点B表示2。A、B两点之间的距离是____。,13,两点距离为2-(-11)=13，所以距离是13。,cell-highest-risk-or-backfill,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
1,pep-junior-v2-s1-k01-sa-001,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,short-answer,Foundation,计算：-35+7-4。,-32,先合并正负变化，-35+7-4=-32，结果为负数。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
2,pep-junior-v2-s1-k01-sa-012,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,short-answer,Foundation,计算：-46+29-15。,-32,先合并正负变化，-46+29-15=-32，结果为负数。,fixed-cell-first-middle-last,pass,pass,pass,pass,pass,S18,"Sample row passes deterministic S18 rubric: grade/topic fit, answer/explanation consistency, source-distance scan, and Mainland terminology."
